virginia_region_key,virginia_region_name,Component 1: Growth Index,Component 2: Economic Opportunity & Diversity,Component 3: Other Prosperity,Component 4: Demographic Growth & Renewal,Component 5: Education & Skill,Component 6: Infrastructure & Cost,Component 7: Quality of Life,Component 8: Social Capital
51_1,Southwest Virginia,57.3132123500347,-4.038991939484409,-12.834245053975561,1.8754891817007813,28.71749482626425,91.15455040001632,99.33142825120461,77.45931805553936
51_2,Central/Western Virginia,118.28513518582217,123.65241450906747,123.3691837492305,143.1589552840796,119.76161793659567,-6.014762872429681,286.8241094941305,336.0160691187627
51_3,Southside Virginia,136.76091542799796,94.1516571963529,107.85619124337522,49.16784704228701,46.38050103922837,93.16611677558842,67.50934037423707,170.45425480575503
51_6,Mary Ball Washington Regional Council,64.39792599157667,97.41129415586681,126.63617767626087,132.45290593693764,92.61988434277757,92.72933116902594,132.39482736961403,241.43014676840886
51_8,Shenandoah Valley,77.74078280099506,137.1566654639817,135.89790267537873,87.83580084945532,123.06334953131736,54.69576149391734,131.6096978767806,193.9079967762355
51_9,Central Virginia,109.27673572152005,82.09739135468935,164.41673215338793,85.98472689367979,110.0731655232876,71.87921091308226,84.3605559983628,205.1566632749375
