virginia_region_key,virginia_region_name,peer_rank,mahalanobis_distance,region_key,region_name,state_name,population,micropolitan_pct,farm_income_pct,services_employment_pct,manufacturing_employment_pct,distance_to_small_msa,distance_to_large_msa,mining_employment_pct
51_1,Southwest Virginia,1,1.9662877809915533,45_3,Catawba Regional Council of Governments,South Carolina,439927.0,6.173296933354852,0.1407402832397714,84.41981689955757,14.9844496035744,50.60492841796451,65.98361866375393,0.5957334968680187
51_1,Southwest Virginia,2,2.071579060771664,42_2,Northwest Pennsylvania,Pennsylvania,684293.0,37.81274980162007,0.1396392249414885,78.51812936729694,21.081578665972398,31.34705939970041,82.73768843991586,0.40029196673067
51_1,Southwest Virginia,3,2.082107693519095,54_7,Region VII Planning and Development Council,West Virginia,111023.0,25.224503030903502,0.1822012783537855,81.9833719036599,12.732493357332649,50.67476704787179,81.75636545459324,5.284134739007457
51_1,Southwest Virginia,4,2.153092334228082,42_4,Northern Tier,Pennsylvania,171984.0,34.97941668992464,0.8866135808198548,77.77777777777779,18.259911894273127,32.25656774622622,159.12623739761003,3.962310327949095
51_1,Southwest Virginia,5,2.234972030238119,13_4,Three Rivers Regional Commission,Georgia,527600.0,18.41641394996209,0.4987176450960826,75.31316101351655,24.686838986483444,60.1559436792611,67.35066458760659,0.0
51_1,Southwest Virginia,6,2.2377288586598856,47_1,First Tennessee Development District,Tennessee,518378.0,13.580630350825071,-0.1236249369454959,79.70861612562943,20.265509623231097,20.21978851913717,97.29453822924692,0.0258742511394622
51_1,Southwest Virginia,7,2.307664348289215,42_7,Northeastern Pennsylvania,Pennsylvania,1027638.0,13.934965425568146,0.0552526556185569,85.01439486765688,14.630631348601522,19.97979697675417,104.7180166923322,0.354973783741603
51_1,Southwest Virginia,8,2.3490249989123377,47_5,South Central Tennessee Development District,Tennessee,467169.0,50.75144112730082,0.521774414310701,71.50280174169662,28.323390695863925,48.32282459930324,51.383162109224536,0.1738075624394615
51_2,Central/Western Virginia,1,0.6889801280206446,47_1,First Tennessee Development District,Tennessee,518378.0,13.580630350825071,-0.1236249369454959,79.70861612562943,20.265509623231097,20.21978851913717,97.29453822924692,0.0258742511394622
51_2,Central/Western Virginia,2,1.0106238972731127,47_3,Southeast Tennessee Development District,Tennessee,666357.0,12.990484079855092,0.3251165398964922,80.73384495516916,19.219325902571164,14.261820762661117,76.53888517714742,0.0468291422596675
51_2,Central/Western Virginia,3,1.0459484712969291,47_6,Southwest Tennessee Development District,Tennessee,251408.0,7.082511296378795,-0.3411463745354562,75.29858508891756,24.701414911082427,12.509270188920013,93.17229877626012,0.0
51_2,Central/Western Virginia,4,1.0709607207813545,45_7,Pee Dee Regional Council of Governments,South Carolina,327628.0,8.114385827829123,0.7156289169864115,78.4943365612709,21.3680567678863,15.545466349466103,72.9458916167974,0.1376066708427895
51_2,Central/Western Virginia,5,1.196349976969671,21_13,Northern Kentucky Area Development District,Kentucky,468852.0,0.0,-0.0285410705250435,84.7741935483871,15.225806451612902,8.938851747971293,59.79357806848783,0.0
51_2,Central/Western Virginia,6,1.3899881305462645,42_7,Northeastern Pennsylvania,Pennsylvania,1027638.0,13.934965425568146,0.0552526556185569,85.01439486765688,14.630631348601522,19.97979697675417,104.7180166923322,0.354973783741603
51_2,Central/Western Virginia,7,1.4757828096231496,13_6,Middle Georgia Regional Commission,Georgia,510228.0,8.580085765579309,0.2939117634848959,89.0121200663768,10.618186401159493,6.19273182173489,98.03912039822644,0.3696935324637133
51_2,Central/Western Virginia,8,1.6976756876656895,21_6,FIVCO Area Development District,Kentucky,134372.0,0.0,-0.1403543350615436,90.5533424831788,9.07173702005155,9.102508677395004,71.88152842207438,0.3749204967696582
51_3,Southside Virginia,1,1.1365542047965536,21_11,Lake Cumberland Area Development District,Kentucky,207076.0,49.44996040101219,1.047049645529036,76.155841946323,23.722938199140827,71.73499659931541,71.7669110130664,0.1212198545361745
51_3,Southside Virginia,2,1.2066317559844864,21_4,Buffalo Trace Area Development District,Kentucky,55869.0,30.550036692978217,0.7326615632867511,78.82415254237289,21.17584745762712,58.4003485603018,51.58490613538673,0.0
51_3,Southside Virginia,3,1.490568244057872,47_5,South Central Tennessee Development District,Tennessee,467169.0,50.75144112730082,0.521774414310701,71.50280174169662,28.323390695863925,48.32282459930324,51.383162109224536,0.1738075624394615
51_3,Southside Virginia,4,1.5880268086493583,47_7,Northwest Tennessee Development District,Tennessee,211543.0,45.34349990309299,2.017288612806222,74.25556586270872,25.600649350649352,37.77709074359792,108.89555010834854,0.1437847866419295
51_3,Southside Virginia,5,1.5975486295212633,47_4,Upper Cumberland Development District,Tennessee,362145.0,59.9699015587679,0.4770065111163126,74.32872784150156,24.895724713242963,74.02382695653513,71.93028123855426,0.7755474452554745
51_3,Southside Virginia,6,1.5978001384208493,45_6,Lower Savannah Council of Governments,South Carolina,310206.0,27.13003616951316,0.3007942921145006,77.74336226785465,22.138095420187884,62.08571767623032,29.445923989012957,0.1185423119574777
51_3,Southside Virginia,7,1.6795304973978282,42_2,Northwest Pennsylvania,Pennsylvania,684293.0,37.81274980162007,0.1396392249414885,78.51812936729694,21.081578665972398,31.34705939970041,82.73768843991586,0.40029196673067
51_3,Southside Virginia,8,1.8935720290895726,21_7,Gateway Area Development District,Kentucky,85492.0,55.094043887147336,-0.1466870387142974,70.70134548151287,29.29865451848713,54.48928569115756,45.77468458566356,0.0
