region_key,region_name,state_name,population,micropolitan_pct,farm_income_pct,services_employment_pct,manufacturing_employment_pct,distance_to_small_msa,distance_to_large_msa,mining_employment_pct
37_2,Land of Sky Regional Council,North Carolina,440463.0,0.0,0.0,86.28994186595449,13.643291654864512,0.0,0.0,0.06676647918099786
37_3,Isothermal Planning & Development Commission,North Carolina,228374.0,0.0,0.0,71.02689702735681,28.87937894569312,0.0,0.0,0.0937240269500787
37_4,High Country Council of Governments,North Carolina,209619.0,0.0,0.0,80.95495634706019,17.596384145870356,0.0,0.0,1.4486595070694583
37_5,Western Piedmont Council of Governments,North Carolina,366031.0,0.0,0.0,67.42674226278153,32.540342157451676,0.0,0.0,0.03291557976679312
37_6,Centralina Regional Council,North Carolina,2318642.0,0.0,0.0,89.65825248441115,10.307628306927787,0.0,0.0,0.03411920866106477
37_7,Piedmont Triad Council of Governments,North Carolina,1745206.0,0.0,0.0,82.70491052685232,17.24532937556261,0.0,0.0,0.049760097585080265
37_8,Triangle J Council of Governments,North Carolina,2063238.0,0.0,0.0,92.66681136257506,7.273074064573838,0.0,0.0,0.06011457285110133
37_9,Kerr-Tar Council of Governments,North Carolina,231267.0,0.0,0.0,72.81905312548645,27.14536680824568,0.0,0.0,0.035580066267873425
42_1,North Central Pennsylvania,Pennsylvania,216304.0,0.0,0.0,72.71315347049875,25.876230886238094,0.0,0.0,1.4106156432631494
42_2,Northwest Pennsylvania,Pennsylvania,684293.0,0.0,0.0,78.51812936729694,21.081578665972394,0.0,0.0,0.40029196673067
42_3,Southwestern Pennsylvania,Pennsylvania,2484676.0,0.0,0.0,90.48537275872917,8.577330397399601,0.0,0.0,0.9372968438712383
42_4,Northern Tier,Pennsylvania,171984.0,0.0,0.0,77.77777777777779,18.259911894273127,0.0,0.0,3.9623103279490945
42_5,Southern Alleghenies,Pennsylvania,435986.0,0.0,0.0,83.4892688940165,15.928343395391472,0.0,0.0,0.5823877105920283
42_6,SEDA-COG,Pennsylvania,683303.0,0.0,0.0,81.40238926358242,18.058473251093808,0.0,0.0,0.539137485323772
42_7,Northeastern Pennsylvania,Pennsylvania,1027638.0,0.0,0.0,85.01439486765688,14.630631348601522,0.0,0.0,0.354973783741603
45_1,Appalachian Council of Governments,South Carolina,1329043.0,0.0,0.0,79.21582936221844,20.723285093812095,0.0,0.0,0.0608855439694737
45_10,Waccamaw Regional Council of Governments,South Carolina,451051.0,0.0,0.0,94.12352443495428,5.830546714475646,0.0,0.0,0.04592885057008178
45_2,Berkeley-Charleston-Dorchester Council of Governments,South Carolina,803398.0,0.0,0.0,89.63357786947883,10.339675989607214,0.0,0.0,0.02674614091395384
45_3,Catawba Regional Council of Governments,South Carolina,439927.0,0.0,0.0,84.41981689955757,14.9844496035744,0.0,0.0,0.5957334968680187
45_4,Central Midlands Council of Governments,South Carolina,770955.0,0.0,0.0,88.7534371053967,11.162380856847264,0.0,0.0,0.08418203775603732
45_5,Lowcountry Council of Governments,South Carolina,275966.0,0.0,0.0,97.30613960049826,2.6728497891435175,0.0,0.0,0.021010610358230906
45_6,Lower Savannah Council of Governments,South Carolina,310206.0,0.0,0.0,77.74336226785465,22.138095420187884,0.0,0.0,0.11854231195747773
45_7,Pee Dee Regional Council of Governments,South Carolina,327628.0,0.0,0.0,78.4943365612709,21.3680567678863,0.0,0.0,0.13760667084278952
45_8,Santee Lynches Regional Council of Governments,South Carolina,218698.0,0.0,0.0,80.22985537190083,19.677599862258955,0.0,0.0,0.0925447658402204
45_9,Upper Savannah Council of Governments,South Carolina,215878.0,0.0,0.0,64.89146164978293,35.044449038660325,0.0,0.0,0.06408931155675004
47_1,First Tennessee Development District,Tennessee,518378.0,0.0,0.0,79.70861612562943,20.265509623231097,0.0,0.0,0.025874251139462214
47_2,East Tennessee Development District,Tennessee,1262694.0,0.0,0.0,84.62051793543387,15.280697851861952,0.0,0.0,0.09878421270417595
47_3,Southeast Tennessee Development District,Tennessee,666357.0,0.0,0.0,80.73384495516916,19.219325902571164,0.0,0.0,0.04682914225966759
47_4,Upper Cumberland Development District,Tennessee,362145.0,0.0,0.0,74.32872784150156,24.895724713242963,0.0,0.0,0.7755474452554745
47_5,South Central Tennessee Development District,Tennessee,467169.0,0.0,0.0,71.50280174169662,28.323390695863925,0.0,0.0,0.17380756243946155
47_6,Southwest Tennessee Development District,Tennessee,251408.0,0.0,0.0,75.29858508891756,24.701414911082427,0.0,0.0,0.0
47_7,Northwest Tennessee Development District,Tennessee,211543.0,0.0,0.0,74.25556586270872,25.600649350649352,0.0,0.0,0.1437847866419295
47_8,Greater Nashville Regional Council,Tennessee,2092305.0,0.0,0.0,90.65149145367741,9.308318370891861,0.0,0.0,0.0401901754307379
47_9,MidSouth Development District,Tennessee,1054955.0,0.0,0.0,92.50429750955901,7.474557002017529,0.0,0.0,0.021145488423467015
51_1,Southwest Virginia,Virginia,370591.0,0.0,0.0,78.48640448126969,18.891352549889135,0.0,0.0,2.6222429688411717
51_2,Central/Western Virginia,Virginia,548297.0,0.0,0.0,82.2449894283515,17.721395652470452,0.0,0.0,0.03361491917804215
51_3,Southside Virginia,Virginia,366338.0,0.0,0.0,79.01952638138762,20.87172218284904,0.0,0.0,0.10875143576333732
51_4,Greater Richmond,Virginia,1074738.0,0.0,0.0,92.69747302747045,7.222200826368982,0.0,0.0,0.08032614616057526
51_5,Hampton Roads,Virginia,1746440.0,0.0,0.0,88.84098712407756,11.153797039203308,0.0,0.0,0.005215836719130789
51_6,Mary Ball Washington Regional Council,Virginia,746929.0,0.0,0.0,95.28392462071493,4.693812238234162,0.0,0.0,0.02226314105091302
51_7,Northern Virginia,Virginia,1393887.0,0.0,0.0,97.11742932975186,2.8252110514198003,0.0,0.0,0.05735961882834484
51_8,Shenandoah Valley,Virginia,548008.0,0.0,0.0,80.92731156688106,19.032416216279312,0.0,0.0,0.04027221683962319
51_9,Central Virginia,Virginia,443709.0,0.0,0.0,91.38918107982273,8.534082874928869,0.0,0.0,0.07673604524840061
54_1,Region I Planning and Development Council,West Virginia,198404.0,0.0,0.0,89.33476447198302,4.847169028858586,0.0,0.0,5.818066499158393
54_10,Region X - Bel-O-Mar Regional Council,West Virginia,87164.0,0.0,0.0,86.82202884730003,6.964477291691501,0.0,0.0,6.213493861008463
54_11,Region XI - Brooke-Hancock Regional Planning and Development Council,West Virginia,51256.0,0.0,0.0,74.49916194428926,25.50083805571075,0.0,0.0,0.0
54_2,Region II Planning and Development Council,West Virginia,234612.0,0.0,0.0,87.98815157808723,9.589390895781554,0.0,0.0,2.422457526131218
54_3,Region III - BCKP Regional Intergovernmental Council,West Virginia,114466.0,0.0,0.0,86.67182473429165,9.03204788858574,0.0,0.0,4.2961273771226125
54_4,Region IV Planning and Development Council,West Virginia,266996.0,0.0,0.0,90.00884387531347,6.597773281804635,0.0,0.0,3.3933828428818917
54_5,Region V - Mid-Ohio Valley Regional Council,West Virginia,162113.0,0.0,0.0,82.13059286940712,15.667609332390667,0.0,0.0,2.2017977982022017
54_6,Region VI Planning and Development Council,West Virginia,286699.0,0.0,0.0,90.78145394699506,6.21531127631803,0.0,0.0,3.0032347766869076
54_7,Region VII Planning and Development Council,West Virginia,111023.0,0.0,0.0,81.9833719036599,12.732493357332647,0.0,0.0,5.284134739007457
54_8,Region VIII Planning and Development Council,West Virginia,81671.0,0.0,0.0,65.40490406353256,34.59509593646745,0.0,0.0,0.0
54_9,Region IX - Eastern Panhandle Regional Planning and Development Council,West Virginia,198563.0,0.0,0.0,86.90173762828981,13.098262371710193,0.0,0.0,0.0
