NAME,B08128_001E,B08128_002E,B08128_003E,B08128_009E,B08128_013E,state,county
"Emporia city, Virginia",2176,1703,1691,67,1171,51,595
"Fairfax city, Virginia",12943,8474,8064,573,5131,51,600
"Falls Church city, Virginia",7948,4339,4032,343,2069,51,610
"Franklin city, Virginia",3367,2343,2228,116,1871,51,620
"Fredericksburg city, Virginia",14354,8940,8637,632,5386,51,630
"Galax city, Virginia",2796,1917,1841,86,1345,51,640
"Hampton city, Virginia",67348,40143,39127,1911,30514,51,650
"Harrisonburg city, Virginia",23583,16542,15870,955,11184,51,660
"Hopewell city, Virginia",9431,6851,6801,262,5582,51,670
"Lexington city, Virginia",2721,1356,1259,15,771,51,678
"Lynchburg city, Virginia",36027,24274,23323,1691,16793,51,680
"Manassas city, Virginia",22588,15743,15239,798,11522,51,683
"Manassas Park city, Virginia",9756,7283,7118,372,5203,51,685
"Martinsville city, Virginia",5308,3949,3866,194,2753,51,690
"Newport News city, Virginia",92115,58903,56551,2750,42214,51,700
"Norfolk city, Virginia",125430,67083,64279,4101,45363,51,710
"Norton city, Virginia",1466,1123,1087,78,746,51,720
"Petersburg city, Virginia",14304,9791,9512,586,6644,51,730
"Poquoson city, Virginia",6350,4027,3781,139,3187,51,735
"Portsmouth city, Virginia",45028,26499,25710,1727,19581,51,740
"Radford city, Virginia",7771,5294,4992,174,3810,51,750
"Richmond city, Virginia",119758,82720,78880,5279,52291,51,760
"Roanoke city, Virginia",46368,33373,32087,1512,24448,51,770
"Salem city, Virginia",12358,8685,8363,282,6577,51,775
"Staunton city, Virginia",12047,7659,7347,526,5854,51,790
"Suffolk city, Virginia",45875,28195,26828,1561,21652,51,800
"Virginia Beach city, Virginia",242547,147938,137750,9752,104491,51,810
"Waynesboro city, Virginia",10864,7743,7400,466,6020,51,820
"Williamsburg city, Virginia",6444,3931,3890,265,2353,51,830
"Winchester city, Virginia",14308,10011,9689,664,6725,51,840
"Adams County, Pennsylvania",50568,36327,35041,2762,28406,42,001
"Allegheny County, Pennsylvania",627652,433111,416229,24965,269257,42,003
"Armstrong County, Pennsylvania",29788,22106,21222,1399,17200,42,005
"Beaver County, Pennsylvania",78748,58374,56016,3324,43571,42,007
"Bedford County, Pennsylvania",21872,16474,15625,1177,12999,42,009
"Berks County, Pennsylvania",206685,157043,151195,9666,115906,42,011
"Blair County, Pennsylvania",56376,40365,38746,2535,32230,42,013
"Bradford County, Pennsylvania",25435,18180,17525,1749,14582,42,015
"Bucks County, Pennsylvania",334130,248896,233754,17329,176542,42,017
"Butler County, Pennsylvania",94590,68344,65189,4773,50708,42,019
"Cambria County, Pennsylvania",56653,39888,38533,2404,31042,42,021
"Cameron County, Pennsylvania",1777,1234,1184,136,941,42,023
"Carbon County, Pennsylvania",29552,22268,21350,1032,17140,42,025
"Centre County, Pennsylvania",73011,42991,41068,3337,28469,42,027
"Chester County, Pennsylvania",278038,209794,196915,14541,136720,42,029
"Clarion County, Pennsylvania",17008,11674,11232,1045,8977,42,031
"Clearfield County, Pennsylvania",34235,22807,21920,1973,17679,42,033
"Clinton County, Pennsylvania",17268,12074,11653,974,9066,42,035
"Columbia County, Pennsylvania",29912,20506,19572,1528,15790,42,037
"Crawford County, Pennsylvania",35404,23748,22552,2752,17667,42,039
"Cumberland County, Pennsylvania",128792,86841,83658,6056,64854,42,041
"Dauphin County, Pennsylvania",142055,94412,90902,6612,66701,42,043
"Delaware County, Pennsylvania",279844,198537,189280,12660,127872,42,045
"Elk County, Pennsylvania",14790,11351,11073,505,9380,42,047
"Erie County, Pennsylvania",122518,83839,80697,6179,61771,42,049
"Fayette County, Pennsylvania",53239,39035,37286,2500,30935,42,051
"Forest County, Pennsylvania",1589,958,930,125,699,42,053
"Franklin County, Pennsylvania",74492,51203,49447,5152,39719,42,055
"Fulton County, Pennsylvania",6793,4761,4562,390,3824,42,057
"Greene County, Pennsylvania",13771,9425,9115,608,7585,42,059
"Huntingdon County, Pennsylvania",18037,11788,11272,1065,8826,42,061
"Indiana County, Pennsylvania",35567,25079,24263,1986,19301,42,063
"Jefferson County, Pennsylvania",19578,14409,13909,1357,11536,42,065
"Juniata County, Pennsylvania",10838,8200,7827,797,6265,42,067
"Lackawanna County, Pennsylvania",100713,71196,68448,4429,52107,42,069
"Lancaster County, Pennsylvania",274411,197861,189637,19051,144376,42,071
"Lawrence County, Pennsylvania",38089,28088,26980,1921,21191,42,073
"Lebanon County, Pennsylvania",68005,48209,46431,3820,36925,42,075
"Lehigh County, Pennsylvania",180104,135247,130361,7756,98238,42,077
"Luzerne County, Pennsylvania",150800,112036,108170,6486,83039,42,079
"Lycoming County, Pennsylvania",51688,36459,35037,2164,27786,42,081
"McKean County, Pennsylvania",17283,11503,11146,848,9077,42,083
"Mercer County, Pennsylvania",47137,33997,32659,2491,26923,42,085
"Mifflin County, Pennsylvania",21056,15371,15045,1572,12274,42,087
"Monroe County, Pennsylvania",77614,57649,54741,3480,41119,42,089
"Montgomery County, Pennsylvania",443958,328213,310677,20684,216597,42,091
"Montour County, Pennsylvania",8683,5017,4695,531,3786,42,093
"Northampton County, Pennsylvania",153491,112249,107495,6635,83718,42,095
"Northumberland County, Pennsylvania",40657,27990,26947,2088,21698,42,097
"Perry County, Pennsylvania",22091,15374,14936,1476,11975,42,099
"Philadelphia County, Pennsylvania",717569,483321,466913,31695,224005,42,101
"Pike County, Pennsylvania",25645,17767,17107,1396,12770,42,103
"Potter County, Pennsylvania",6670,4412,4148,598,3252,42,105
"Schuylkill County, Pennsylvania",63364,46685,45157,3121,37059,42,107
"Snyder County, Pennsylvania",19142,13536,12980,1351,10128,42,109
"Somerset County, Pennsylvania",31886,22720,21644,2112,18328,42,111
"Sullivan County, Pennsylvania",2507,1687,1590,192,1281,42,113
"Susquehanna County, Pennsylvania",16495,11763,11248,1137,9078,42,115
"Tioga County, Pennsylvania",18275,11957,11409,1650,9432,42,117
"Union County, Pennsylvania",16432,9773,9059,1330,7035,42,119
"Venango County, Pennsylvania",21359,14097,13482,1061,10757,42,121
"Warren County, Pennsylvania",16977,12037,11585,829,9039,42,123
"Washington County, Pennsylvania",100001,73744,70274,4901,53758,42,125
"Wayne County, Pennsylvania",20812,14657,13674,1383,10927,42,127
"Westmoreland County, Pennsylvania",169014,123706,118414,8401,95433,42,129
"Wyoming County, Pennsylvania",11892,8933,8538,570,7145,42,131
"York County, Pennsylvania",225878,164090,157561,10959,127690,42,133
"Allegany County, Maryland",26115,17007,16040,1242,13010,24,001
"Anne Arundel County, Maryland",306689,189101,176713,13859,132387,24,003
"Baltimore County, Maryland",422546,276436,260457,18676,194111,24,005
"Calvert County, Maryland",48004,28163,26748,2550,21646,24,009
"Caroline County, Maryland",15769,10247,9561,1158,7930,24,011
"Carroll County, Maryland",90034,60085,56701,5032,44676,24,013
"Cecil County, Maryland",49384,33799,32157,1835,24853,24,015
"Charles County, Maryland",84812,45013,42783,2714,34279,24,017
"Dorchester County, Maryland",14681,9412,8899,1293,7245,24,019
"Frederick County, Maryland",143078,93987,88875,6643,65126,24,021
"Garrett County, Maryland",13283,8348,7749,1117,6058,24,023
"Harford County, Maryland",134818,88134,83634,5266,66122,24,025
"Howard County, Maryland",173546,103514,95546,7497,67473,24,027
"Kent County, Maryland",9119,5573,5056,1003,3795,24,029
"Montgomery County, Maryland",551214,328172,304283,35347,181660,24,031
"Prince George's County, Maryland",492653,288336,277931,23982,177365,24,033
"Queen Anne's County, Maryland",25693,16764,15572,1885,12630,24,035
"St. Mary's County, Maryland",58080,31555,30401,2505,23907,24,037
"Somerset County, Maryland",9396,5527,5180,703,3616,24,039
"Talbot County, Maryland",16883,10779,9655,1737,7197,24,041
"Washington County, Maryland",70057,48529,46482,3353,35787,24,043
"Wicomico County, Maryland",50503,34251,32685,2568,26687,24,045
"Worcester County, Maryland",24119,16126,14306,1837,11379,24,047
"Baltimore city, Maryland",270605,165089,158919,10796,92348,24,510
"Kent County, Delaware",82419,53860,50815,2643,40876,10,001
"New Castle County, Delaware",284140,202863,192210,11865,140349,10,003
"Sussex County, Delaware",102322,72295,66426,6304,53227,10,005
"Barbour County, West Virginia",5578,3920,3867,229,3307,54,001
"Berkeley County, West Virginia",61078,42569,41410,2014,33471,54,003
"Boone County, West Virginia",7010,4635,4495,194,3677,54,005
"Braxton County, West Virginia",3730,2739,2664,84,2223,54,007
"Brooke County, West Virginia",9282,6260,5919,228,4887,54,009
"Cabell County, West Virginia",39546,25911,24987,1364,19917,54,011
"Calhoun County, West Virginia",1794,1339,1283,60,1186,54,013
"Clay County, West Virginia",2519,1459,1407,52,1179,54,015
"Doddridge County, West Virginia",2927,2174,2079,40,1696,54,017
"Fayette County, West Virginia",13818,9977,9679,572,7855,54,019
"Gilmer County, West Virginia",2245,1317,1278,60,874,54,021
"Grant County, West Virginia",4973,3507,3386,322,2992,54,023
"Greenbrier County, West Virginia",13148,9427,9060,754,7971,54,025
"Hampshire County, West Virginia",8516,5566,5230,544,4465,54,027
"Hancock County, West Virginia",12409,8724,8188,519,6599,54,029
"Hardy County, West Virginia",6157,4254,3946,555,3205,54,031
"Harrison County, West Virginia",28346,18180,17514,1073,14822,54,033
"Jackson County, West Virginia",10149,7578,7237,298,5932,54,035
"Jefferson County, West Virginia",27856,18670,17572,1532,13349,54,037
"Kanawha County, West Virginia",76292,49697,47760,2864,38244,54,039
"Lewis County, West Virginia",6537,4814,4677,453,3727,54,041
"Lincoln County, West Virginia",6418,4317,3985,207,3381,54,043
"Logan County, West Virginia",9181,6360,6319,175,5534,54,045
"McDowell County, West Virginia",3175,1833,1813,101,1353,54,047
"Marion County, West Virginia",24828,16855,16328,856,12804,54,049
"Marshall County, West Virginia",12888,9276,9147,301,7721,54,051
"Mason County, West Virginia",9091,6631,6521,315,5974,54,053
"Mercer County, West Virginia",22693,15458,14843,668,12613,54,055
"Mineral County, West Virginia",11553,8326,7963,558,6567,54,057
"Mingo County, West Virginia",6017,4129,3945,161,3192,54,059
"Monongalia County, West Virginia",53500,32967,31358,1725,23240,54,061
"Monroe County, West Virginia",4208,3037,2955,259,2278,54,063
"Morgan County, West Virginia",7721,5291,5090,349,4008,54,065
"Nicholas County, West Virginia",9044,6332,6034,401,5299,54,067
"Ohio County, West Virginia",18314,12681,12094,613,9931,54,069
"Pendleton County, West Virginia",2432,1479,1395,270,1192,54,071
"Pleasants County, West Virginia",2989,2011,1935,223,1596,54,073
"Pocahontas County, West Virginia",2486,1576,1477,120,1101,54,075
"Preston County, West Virginia",13272,9051,8840,729,6546,54,077
"Putnam County, West Virginia",25790,18082,17445,1090,14562,54,079
"Raleigh County, West Virginia",26338,18596,17371,697,14698,54,081
"Randolph County, West Virginia",10436,7085,6879,592,5649,54,083
"Ritchie County, West Virginia",2859,1717,1659,226,1419,54,085
"Roane County, West Virginia",4125,2657,2534,251,2065,54,087
"Summers County, West Virginia",3356,1774,1753,306,1378,54,089
"Taylor County, West Virginia",6456,4465,4408,292,3637,54,091
"Tucker County, West Virginia",2972,1548,1477,187,1168,54,093
"Tyler County, West Virginia",2925,1845,1843,101,1670,54,095
"Upshur County, West Virginia",9267,6491,6311,532,5204,54,097
"Wayne County, West Virginia",13872,8776,8540,533,7239,54,099
"Webster County, West Virginia",2578,1757,1730,72,1374,54,101
"Wetzel County, West Virginia",5082,3612,3446,156,2850,54,103
"Wirt County, West Virginia",1949,1350,1319,90,1118,54,105
"Wood County, West Virginia",35520,25065,24033,1394,20056,54,107
"Wyoming County, West Virginia",5972,3910,3859,178,3379,54,109
"Adair County, Kentucky",7592,5420,4987,483,3923,21,001
"Allen County, Kentucky",8711,6200,5919,721,4772,21,003
"Anderson County, Kentucky",10865,6952,6675,596,5857,21,005
"Ballard County, Kentucky",3224,2276,2150,192,1960,21,007
"Barren County, Kentucky",18337,13497,12931,1432,10557,21,009
"Bath County, Kentucky",4661,3417,3284,328,2817,21,011
"Bell County, Kentucky",6848,4402,4346,390,3334,21,013
"Boone County, Kentucky",69275,53619,52012,2477,42565,21,015
"Bourbon County, Kentucky",8999,6621,6325,801,5081,21,017
"Boyd County, Kentucky",18840,12619,12190,1042,10021,21,019
"Boyle County, Kentucky",12192,8548,8253,719,6606,21,021
"Bracken County, Kentucky",3557,2600,2496,252,1982,21,023
"Breathitt County, Kentucky",4508,2700,2682,224,2145,21,025
"Breckinridge County, Kentucky",7611,5340,5223,361,4169,21,027
"Bullitt County, Kentucky",40309,32068,30723,1205,25394,21,029
"Butler County, Kentucky",4548,3075,2927,473,2451,21,031
"Caldwell County, Kentucky",5305,3801,3652,307,3117,21,033
"Calloway County, Kentucky",17096,11847,11459,1034,8963,21,035
"Campbell County, Kentucky",47046,34477,33071,1850,24504,21,037
"Carlisle County, Kentucky",1792,1337,1332,93,1164,21,039
"Carroll County, Kentucky",4464,3553,3447,252,2767,21,041
"Carter County, Kentucky",8799,5859,5723,295,4380,21,043
"Casey County, Kentucky",5331,3649,3572,526,2859,21,045
"Christian County, Kentucky",30102,16609,16055,1845,13313,21,047
"Clark County, Kentucky",16615,12562,12057,772,10190,21,049
"Clay County, Kentucky",6120,4066,4014,309,3102,21,051
"Clinton County, Kentucky",3710,2709,2486,290,2145,21,053
"Crittenden County, Kentucky",3374,2605,2474,182,1863,21,055
"Cumberland County, Kentucky",2193,1360,1294,228,1011,21,057
"Daviess County, Kentucky",46641,33798,32596,2203,27655,21,059
"Edmonson County, Kentucky",4518,3285,3143,274,2578,21,061
"Elliott County, Kentucky",1818,1111,1021,293,878,21,063
"Estill County, Kentucky",4572,3074,3054,201,2255,21,065
"Fayette County, Kentucky",165422,111741,105592,8212,81745,21,067
"Fleming County, Kentucky",5874,3915,3859,644,3350,21,069
"Floyd County, Kentucky",10890,6934,6686,462,6039,21,071
"Franklin County, Kentucky",24289,14498,13946,1177,10782,21,073
"Fulton County, Kentucky",2160,1742,1689,134,1349,21,075
"Gallatin County, Kentucky",3908,3196,3124,95,2756,21,077
"Garrard County, Kentucky",7139,4861,4514,406,3866,21,079
"Grant County, Kentucky",10990,8429,8194,434,6788,21,081
"Graves County, Kentucky",15060,11330,10496,796,9130,21,083
"Grayson County, Kentucky",10404,7225,7105,619,5778,21,085
"Green County, Kentucky",3961,2895,2809,228,2248,21,087
"Greenup County, Kentucky",13549,9429,9021,558,7667,21,089
"Hancock County, Kentucky",3917,2871,2806,131,2559,21,091
"Hardin County, Kentucky",49975,33046,31854,1968,25819,21,093
"Harlan County, Kentucky",7271,4500,4431,306,3242,21,095
"Harrison County, Kentucky",8227,5676,5573,631,4730,21,097
"Hart County, Kentucky",7675,5764,5557,722,4523,21,099
"Henderson County, Kentucky",19291,14590,13861,790,11377,21,101
"Henry County, Kentucky",6857,4800,4580,504,3589,21,103
"Hickman County, Kentucky",1810,1201,1114,170,838,21,105
"Hopkins County, Kentucky",17727,11915,11600,782,10492,21,107
"Jackson County, Kentucky",4274,2935,2834,59,2076,21,109
"Jefferson County, Kentucky",384235,287972,275750,17654,209736,21,111
"Jessamine County, Kentucky",24518,16752,15746,1770,12180,21,113
"Johnson County, Kentucky",7168,4616,4525,342,3764,21,115
"Kenton County, Kentucky",87466,65957,63816,3170,48926,21,117
"Knott County, Kentucky",4104,2490,2414,189,1929,21,119
"Knox County, Kentucky",8941,5611,5421,494,4810,21,121
"Larue County, Kentucky",6371,4655,4571,373,4184,21,123
"Laurel County, Kentucky",25559,18738,17992,1567,14513,21,125
"Lawrence County, Kentucky",4394,2978,2860,181,2520,21,127
"Lee County, Kentucky",2232,1498,1462,163,1125,21,129
"Leslie County, Kentucky",3236,2218,2194,145,1817,21,131
"Letcher County, Kentucky",6866,3910,3775,456,2922,21,133
"Lewis County, Kentucky",3977,2841,2544,355,2156,21,135
"Lincoln County, Kentucky",9532,6243,6037,949,5236,21,137
"Livingston County, Kentucky",3797,2677,2609,310,1980,21,139
"Logan County, Kentucky",11345,8460,8069,845,7093,21,141
"Lyon County, Kentucky",3086,2013,1950,188,1733,21,143
"McCracken County, Kentucky",29475,21996,21009,1373,18007,21,145
"McCreary County, Kentucky",4724,3218,3158,381,2507,21,147
"McLean County, Kentucky",3687,2493,2406,271,1996,21,149
"Madison County, Kentucky",43928,30041,28781,2178,22794,21,151
"Magoffin County, Kentucky",2859,1899,1817,87,1399,21,153
"Marion County, Kentucky",7362,5403,5182,541,4590,21,155
"Marshall County, Kentucky",13664,9785,9361,966,7634,21,157
"Martin County, Kentucky",2992,2019,1896,39,1550,21,159
"Mason County, Kentucky",7236,5300,4980,408,4531,21,161
"Meade County, Kentucky",13684,9036,8358,718,6674,21,163
"Menifee County, Kentucky",1989,1446,1376,169,1159,21,165
"Mercer County, Kentucky",9949,7379,7123,389,6014,21,167
"Metcalfe County, Kentucky",4206,2908,2829,332,2426,21,169
"Monroe County, Kentucky",4782,3255,3005,472,2488,21,171
"Montgomery County, Kentucky",11427,8877,8762,374,7791,21,173
"Morgan County, Kentucky",4323,2496,2280,332,1918,21,175
"Muhlenberg County, Kentucky",12094,8731,8142,673,7103,21,177
"Nelson County, Kentucky",22182,16598,15629,981,13553,21,179
"Nicholas County, Kentucky",2897,2300,2139,196,1809,21,181
"Ohio County, Kentucky",9620,6805,6592,626,5604,21,183
"Oldham County, Kentucky",32388,24055,22277,1639,17006,21,185
"Owen County, Kentucky",4839,3229,3019,396,2307,21,187
"Owsley County, Kentucky",1091,663,663,104,508,21,189
"Pendleton County, Kentucky",6637,4827,4748,268,3831,21,191
"Perry County, Kentucky",9916,6479,6370,475,4360,21,193
"Pike County, Kentucky",18901,13214,12749,607,10966,21,195
"Powell County, Kentucky",4637,3247,3117,244,2676,21,197
"Pulaski County, Kentucky",26510,18282,17418,1539,15041,21,199
"Robertson County, Kentucky",816,492,484,94,442,21,201
"Rockcastle County, Kentucky",5875,3975,3919,384,3229,21,203
"Rowan County, Kentucky",10525,6190,5991,389,4767,21,205
"Russell County, Kentucky",7306,5095,4829,518,4231,21,207
"Scott County, Kentucky",28795,21623,20768,1281,17066,21,209
"Shelby County, Kentucky",23908,17969,16876,1344,13051,21,211
"Simpson County, Kentucky",8711,6696,6519,806,5147,21,213
"Spencer County, Kentucky",9528,7329,7005,324,6071,21,215
"Taylor County, Kentucky",11795,8612,8048,580,6554,21,217
"Todd County, Kentucky",4967,3246,3100,605,2278,21,219
"Trigg County, Kentucky",5676,3351,3172,547,2608,21,221
"Trimble County, Kentucky",3515,2614,2454,401,2118,21,223
"Union County, Kentucky",5643,4028,3885,278,3330,21,225
"Warren County, Kentucky",65956,47770,45387,3315,36268,21,227
"Washington County, Kentucky",5686,4007,3892,530,3074,21,229
"Wayne County, Kentucky",6769,5034,4788,458,3850,21,231
"Webster County, Kentucky",5288,3940,3885,277,3219,21,233
"Whitley County, Kentucky",12974,8320,7893,703,5850,21,235
"Wolfe County, Kentucky",1505,837,823,147,654,21,237
"Woodford County, Kentucky",13540,8714,8236,1082,6865,21,239
"Anderson County, Tennessee",32457,22457,21818,2035,17885,47,001
"Bedford County, Tennessee",22971,17142,16725,1560,12684,47,003
"Benton County, Tennessee",5834,4111,4041,478,3469,47,005
"Bledsoe County, Tennessee",5497,3860,3830,650,3142,47,007
"Blount County, Tennessee",64637,47019,45176,3768,37779,47,009
"Bradley County, Tennessee",49631,34546,33470,3511,27735,47,011
"Campbell County, Tennessee",14927,10373,9950,1159,8580,47,013
"Cannon County, Tennessee",6287,4529,4343,518,3831,47,015
"Carroll County, Tennessee",11616,7904,7673,1049,6225,47,017
"Carter County, Tennessee",22795,15652,15217,1581,12885,47,019
"Cheatham County, Tennessee",20410,14516,14035,2020,10908,47,021
"Chester County, Tennessee",6995,4842,4599,263,4163,47,023
"Claiborne County, Tennessee",12619,9116,8733,631,7512,47,025
"Clay County, Tennessee",2592,1601,1479,369,1186,47,027
"Cocke County, Tennessee",14604,11158,10727,708,8638,47,029
"Coffee County, Tennessee",25023,18458,17856,2158,14940,47,031
"Crockett County, Tennessee",6377,4344,4222,714,3864,47,033
"Cumberland County, Tennessee",22039,15876,15502,2105,12996,47,035
"Davidson County, Tennessee",390556,278204,266301,29135,190599,47,037
"Decatur County, Tennessee",4370,3224,3193,389,2663,47,039
"DeKalb County, Tennessee",8153,5922,5631,403,4866,47,041
"Dickson County, Tennessee",25497,19021,18236,1826,15082,47,043
"Dyer County, Tennessee",15817,11674,11016,1094,9625,47,045
"Fayette County, Tennessee",18894,13534,12865,1646,10216,47,047
"Fentress County, Tennessee",7127,4895,4716,834,4062,47,049
"Franklin County, Tennessee",18881,13581,13232,1442,11136,47,051
"Gibson County, Tennessee",21155,15349,14680,1440,12410,47,053
"Giles County, Tennessee",12609,9647,9350,695,8252,47,055
"Grainger County, Tennessee",9411,6749,6496,971,5329,47,057
"Greene County, Tennessee",28512,20888,20124,1562,17581,47,059
"Grundy County, Tennessee",5266,3392,3295,415,2663,47,061
"Hamblen County, Tennessee",26689,20771,20111,1827,17477,47,063
"Hamilton County, Tennessee",179167,128613,123261,11447,95586,47,065
"Hancock County, Tennessee",2101,1374,1311,113,1129,47,067
"Hardeman County, Tennessee",8687,6001,5798,571,4908,47,069
"Hardin County, Tennessee",10426,7686,7123,649,6486,47,071
"Hawkins County, Tennessee",21481,15538,15075,1296,12988,47,073
"Haywood County, Tennessee",7153,5045,4962,467,4140,47,075
"Henderson County, Tennessee",11506,8179,7925,1146,7000,47,077
