NAME,EMP,ESTAB,NAICS2017,state,county
"Accomack County, Virginia",495,26,56,51,001
"Albemarle County, Virginia",1884,153,56,51,003
"Amelia County, Virginia",62,18,56,51,007
"Bath County, Virginia",9,6,56,51,017
"Brunswick County, Virginia",457,17,56,51,025
"Buckingham County, Virginia",40,8,56,51,029
"Carroll County, Virginia",98,15,56,51,035
"Charles City County, Virginia",92,14,56,51,036
"Charlotte County, Virginia",44,11,56,51,037
"Craig County, Virginia",16,3,56,51,045
"Cumberland County, Virginia",79,10,56,51,049
"Dickenson County, Virginia",47,8,56,51,051
"Dinwiddie County, Virginia",178,33,56,51,053
"Floyd County, Virginia",98,15,56,51,063
"Grayson County, Virginia",29,8,56,51,077
"Greensville County, Virginia",96,10,56,51,081
"King and Queen County, Virginia",35,9,56,51,097
"Lunenburg County, Virginia",67,11,56,51,111
"Mathews County, Virginia",53,18,56,51,115
"Nelson County, Virginia",112,22,56,51,125
"Northumberland County, Virginia",57,15,56,51,133
"Page County, Virginia",301,24,56,51,139
"Pittsylvania County, Virginia",365,50,56,51,143
"Richmond County, Virginia",98,10,56,51,159
"Roanoke County, Virginia",2026,130,56,51,161
"Rockingham County, Virginia",1292,92,56,51,165
"Surry County, Virginia",14,5,56,51,181
"Sussex County, Virginia",167,9,56,51,183
"Tazewell County, Virginia",168,23,56,51,185
"Warren County, Virginia",352,39,56,51,187
"Westmoreland County, Virginia",109,14,56,51,193
"Wise County, Virginia",1093,14,56,51,195
"Buena Vista city, Virginia",103,7,56,51,530
"Covington city, Virginia",18,3,56,51,580
"Poquoson city, Virginia",109,24,56,51,735
"Radford city, Virginia",41,7,56,51,750
"Waynesboro city, Virginia",107,27,56,51,820
"Alleghany County, Virginia",178,9,56,51,005
"Amherst County, Virginia",140,25,56,51,009
"Appomattox County, Virginia",42,13,56,51,011
"Arlington County, Virginia",11080,305,56,51,013
"Augusta County, Virginia",810,99,56,51,015
"Buchanan County, Virginia",56,8,56,51,027
"Campbell County, Virginia",1155,72,56,51,031
"Caroline County, Virginia",114,25,56,51,033
"Clarke County, Virginia",122,22,56,51,043
"Culpeper County, Virginia",673,97,56,51,047
"Essex County, Virginia",119,13,56,51,057
"Fluvanna County, Virginia",214,42,56,51,065
"Franklin County, Virginia",784,71,56,51,067
"Giles County, Virginia",30,7,56,51,071
"Gloucester County, Virginia",311,57,56,51,073
"Goochland County, Virginia",667,72,56,51,075
"Greene County, Virginia",327,33,56,51,079
"Henry County, Virginia",944,54,56,51,089
"Isle of Wight County, Virginia",675,64,56,51,093
"King George County, Virginia",194,25,56,51,099
"King William County, Virginia",119,23,56,51,101
"Lancaster County, Virginia",69,22,56,51,103
"Lee County, Virginia",39,5,56,51,105
"Louisa County, Virginia",220,54,56,51,109
"Madison County, Virginia",48,19,56,51,113
"Middlesex County, Virginia",75,15,56,51,119
"New Kent County, Virginia",249,32,56,51,127
"Northampton County, Virginia",44,12,56,51,131
"Nottoway County, Virginia",17,5,56,51,135
"Orange County, Virginia",315,38,56,51,137
"Patrick County, Virginia",256,12,56,51,141
"Prince George County, Virginia",491,36,56,51,149
"Pulaski County, Virginia",224,35,56,51,155
"Rappahannock County, Virginia",55,9,56,51,157
"Rockbridge County, Virginia",159,25,56,51,163
"Russell County, Virginia",59,13,56,51,167
"Scott County, Virginia",262,6,56,51,169
"Shenandoah County, Virginia",663,43,56,51,171
"Smyth County, Virginia",241,11,56,51,173
"Southampton County, Virginia",43,13,56,51,175
"Washington County, Virginia",682,49,56,51,191
"Wythe County, Virginia",345,38,56,51,197
"York County, Virginia",1572,108,56,51,199
"Bristol city, Virginia",61,9,56,51,520
"Colonial Heights city, Virginia",156,19,56,51,570
"Danville city, Virginia",1083,47,56,51,590
"Emporia city, Virginia",340,8,56,51,595
"Franklin city, Virginia",32,7,56,51,620
"Galax city, Virginia",207,6,56,51,640
"Hampton city, Virginia",3429,142,56,51,650
"Harrisonburg city, Virginia",535,57,56,51,660
"Hopewell city, Virginia",73,18,56,51,670
"Lexington city, Virginia",6,3,56,51,678
"Manassas Park city, Virginia",274,33,56,51,685
"Martinsville city, Virginia",1066,27,56,51,690
"Norton city, Virginia",14,4,56,51,720
"Petersburg city, Virginia",467,17,56,51,730
"Williamsburg city, Virginia",285,18,56,51,830
"Mecklenburg County, Virginia",370,33,56,51,117
"Manassas city, Virginia",1287,90,56,51,683
"Portsmouth city, Virginia",1710,85,56,51,740
"Virginia Beach city, Virginia",12228,710,56,51,810
"Winchester city, Virginia",1258,55,56,51,840
"Bedford County, Virginia",1243,121,56,51,019
"Botetourt County, Virginia",734,60,56,51,023
"Chesterfield County, Virginia",7931,482,56,51,041
"Fairfax County, Virginia",56067,1859,56,51,059
"Fauquier County, Virginia",666,119,56,51,061
"Frederick County, Virginia",785,96,56,51,069
"Halifax County, Virginia",416,30,56,51,083
"Hanover County, Virginia",3300,226,56,51,085
"Henrico County, Virginia",13087,536,56,51,087
"James City County, Virginia",1425,146,56,51,095
"Loudoun County, Virginia",11819,607,56,51,107
"Montgomery County, Virginia",914,96,56,51,121
"Powhatan County, Virginia",430,60,56,51,145
"Prince Edward County, Virginia",357,22,56,51,147
"Prince William County, Virginia",6530,619,56,51,153
"Spotsylvania County, Virginia",1857,167,56,51,177
"Stafford County, Virginia",2540,166,56,51,179
"Alexandria city, Virginia",11582,259,56,51,510
"Charlottesville city, Virginia",1791,86,56,51,540
"Chesapeake city, Virginia",9314,365,56,51,550
"Fairfax city, Virginia",1893,88,56,51,600
"Falls Church city, Virginia",343,32,56,51,610
"Fredericksburg city, Virginia",655,47,56,51,630
"Lynchburg city, Virginia",1733,97,56,51,680
"Newport News city, Virginia",4104,230,56,51,700
"Norfolk city, Virginia",8009,250,56,51,710
