NAME,EMP,ESTAB,NAICS2017,state,county
"Accomack County, Virginia",83,5,22,51,001
"Alleghany County, Virginia",7,3,22,51,005
"Arlington County, Virginia",404,4,22,51,013
"Augusta County, Virginia",61,3,22,51,015
"Bath County, Virginia",124,3,22,51,017
"Brunswick County, Virginia",46,4,22,51,025
"Campbell County, Virginia",55,4,22,51,031
"Caroline County, Virginia",115,3,22,51,033
"Chesterfield County, Virginia",576,19,22,51,041
"Gloucester County, Virginia",44,3,22,51,073
"Halifax County, Virginia",149,4,22,51,083
"Pulaski County, Virginia",42,4,22,51,155
"Stafford County, Virginia",73,6,22,51,179
"Surry County, Virginia",768,3,22,51,181
"Wythe County, Virginia",20,3,22,51,197
"Fairfax city, Virginia",97,3,22,51,600
"Hopewell city, Virginia",87,4,22,51,670
"Lynchburg city, Virginia",94,5,22,51,680
"Newport News city, Virginia",116,5,22,51,700
"Petersburg city, Virginia",84,3,22,51,730
"Portsmouth city, Virginia",31,3,22,51,740
"Richmond city, Virginia",2069,30,22,51,760
"Staunton city, Virginia",96,4,22,51,790
"Suffolk city, Virginia",146,3,22,51,800
"Fairfax County, Virginia",1707,18,22,51,059
"Fauquier County, Virginia",109,5,22,51,061
"Franklin County, Virginia",28,3,22,51,067
"Hanover County, Virginia",41,5,22,51,085
"Henrico County, Virginia",1275,15,22,51,087
"Isle of Wight County, Virginia",51,3,22,51,093
"Lee County, Virginia",25,3,22,51,105
"Louisa County, Virginia",793,5,22,51,109
"Mecklenburg County, Virginia",93,3,22,51,117
"Pittsylvania County, Virginia",58,7,22,51,143
"Powhatan County, Virginia",29,3,22,51,145
"Prince William County, Virginia",534,15,22,51,153
"Roanoke County, Virginia",75,4,22,51,161
"Rockingham County, Virginia",120,4,22,51,165
"Russell County, Virginia",48,3,22,51,167
"Shenandoah County, Virginia",34,3,22,51,171
"Tazewell County, Virginia",74,4,22,51,185
"Warren County, Virginia",110,4,22,51,187
"Washington County, Virginia",85,5,22,51,191
"Wise County, Virginia",112,5,22,51,195
"York County, Virginia",54,4,22,51,199
"Alexandria city, Virginia",167,7,22,51,510
"Charlottesville city, Virginia",129,9,22,51,540
"Chesapeake city, Virginia",113,8,22,51,550
"Roanoke city, Virginia",457,9,22,51,770
"Virginia Beach city, Virginia",266,7,22,51,810
"Loudoun County, Virginia",127,8,22,51,107
"Fluvanna County, Virginia",96,5,22,51,065
"Adams County, Pennsylvania",64,4,22,42,001
"Allegheny County, Pennsylvania",3037,64,22,42,003
"Armstrong County, Pennsylvania",105,5,22,42,005
"Blair County, Pennsylvania",162,7,22,42,013
"Bucks County, Pennsylvania",441,26,22,42,017
"Chester County, Pennsylvania",1455,53,22,42,029
"Clinton County, Pennsylvania",58,5,22,42,035
"Columbia County, Pennsylvania",93,10,22,42,037
"Crawford County, Pennsylvania",120,7,22,42,039
"Dauphin County, Pennsylvania",835,31,22,42,043
"Elk County, Pennsylvania",84,6,22,42,047
"Franklin County, Pennsylvania",58,10,22,42,055
"Huntingdon County, Pennsylvania",75,6,22,42,061
