NAME,EMP,ESTAB,NAICS2017,state,county
"Albemarle County, Virginia",48,6,21,51,003
"Augusta County, Virginia",30,4,21,51,015
"Buchanan County, Virginia",1157,16,21,51,027
"Caroline County, Virginia",14,3,21,51,033
"Chesterfield County, Virginia",36,3,21,51,041
"Culpeper County, Virginia",41,4,21,51,047
"Dinwiddie County, Virginia",49,4,21,51,053
"Prince William County, Virginia",88,4,21,51,153
"Russell County, Virginia",204,10,21,51,167
"Washington County, Virginia",66,7,21,51,191
"Wise County, Virginia",243,15,21,51,195
"Wythe County, Virginia",136,5,21,51,197
"Richmond city, Virginia",34,3,21,51,760
"Suffolk city, Virginia",12,3,21,51,800
"Buckingham County, Virginia",84,6,21,51,029
"Dickenson County, Virginia",161,6,21,51,051
"Fairfax County, Virginia",68,5,21,51,059
"Franklin County, Virginia",12,3,21,51,067
"Goochland County, Virginia",73,4,21,51,075
"Grayson County, Virginia",22,3,21,51,077
"Hanover County, Virginia",78,3,21,51,085
"Lee County, Virginia",33,5,21,51,105
"Loudoun County, Virginia",199,7,21,51,107
"Pittsylvania County, Virginia",5,4,21,51,143
"Rockingham County, Virginia",39,5,21,51,165
"Sussex County, Virginia",56,5,21,51,183
"Tazewell County, Virginia",225,20,21,51,185
"Chesapeake city, Virginia",17,3,21,51,550
"Roanoke city, Virginia",69,4,21,51,770
"Adams County, Pennsylvania",79,4,21,42,001
"Allegheny County, Pennsylvania",1262,62,21,42,003
"Armstrong County, Pennsylvania",550,33,21,42,005
"Beaver County, Pennsylvania",72,10,21,42,007
"Berks County, Pennsylvania",226,10,21,42,011
"Bradford County, Pennsylvania",411,24,21,42,015
"Butler County, Pennsylvania",692,28,21,42,019
"Cambria County, Pennsylvania",80,6,21,42,021
"Carbon County, Pennsylvania",17,4,21,42,025
"Clinton County, Pennsylvania",176,5,21,42,035
"Columbia County, Pennsylvania",40,3,21,42,037
"Dauphin County, Pennsylvania",72,11,21,42,043
"Delaware County, Pennsylvania",87,4,21,42,045
"Fayette County, Pennsylvania",539,20,21,42,051
"Forest County, Pennsylvania",14,4,21,42,053
"Greene County, Pennsylvania",2057,21,21,42,059
"Huntingdon County, Pennsylvania",48,5,21,42,061
"Indiana County, Pennsylvania",696,48,21,42,063
"Jefferson County, Pennsylvania",94,15,21,42,065
"Lackawanna County, Pennsylvania",51,4,21,42,069
"Lawrence County, Pennsylvania",145,9,21,42,073
"Luzerne County, Pennsylvania",309,18,21,42,079
"Mercer County, Pennsylvania",83,12,21,42,085
"Monroe County, Pennsylvania",84,8,21,42,089
"Montgomery County, Pennsylvania",213,14,21,42,091
"Northampton County, Pennsylvania",28,4,21,42,095
"Northumberland County, Pennsylvania",180,15,21,42,097
"Susquehanna County, Pennsylvania",490,48,21,42,115
"Tioga County, Pennsylvania",460,15,21,42,117
"Westmoreland County, Pennsylvania",639,23,21,42,129
"Wyoming County, Pennsylvania",230,13,21,42,131
"York County, Pennsylvania",247,9,21,42,133
"Blair County, Pennsylvania",13,3,21,42,013
"Bucks County, Pennsylvania",149,11,21,42,017
"Centre County, Pennsylvania",165,11,21,42,027
"Chester County, Pennsylvania",105,9,21,42,029
"Clarion County, Pennsylvania",116,21,21,42,031
"Clearfield County, Pennsylvania",465,31,21,42,033
"Cumberland County, Pennsylvania",141,9,21,42,041
