NAME,S2401_C01_001E,S2401_C01_002E,S2401_C01_003E,S2401_C01_004E,S2401_C01_005E,S2401_C01_006E,state,county
"Bradford County, Pennsylvania",25961,8210,3038,2349,689,1191,42,015
"Bucks County, Pennsylvania",339862,163685,70487,43269,27218,27258,42,017
"Butler County, Pennsylvania",96617,42429,17541,11118,6423,6959,42,019
"Cambria County, Pennsylvania",57707,19504,6312,3926,2386,2245,42,021
"Cameron County, Pennsylvania",1810,454,197,172,25,77,42,023
"Carbon County, Pennsylvania",30774,9320,2858,2097,761,1428,42,025
"Centre County, Pennsylvania",74670,38053,11547,7695,3852,6299,42,027
"Chester County, Pennsylvania",282948,155124,70628,43624,27004,31810,42,029
"Clarion County, Pennsylvania",17376,5569,1900,1312,588,674,42,031
"Clearfield County, Pennsylvania",34861,11200,3986,2724,1262,1187,42,033
"Clinton County, Pennsylvania",17621,5368,2002,1636,366,606,42,035
"Columbia County, Pennsylvania",30240,10243,3374,2525,849,1448,42,037
"Crawford County, Pennsylvania",36129,11483,4642,3454,1188,1215,42,039
"Cumberland County, Pennsylvania",131777,58487,23104,13795,9309,11339,42,041
"Dauphin County, Pennsylvania",143394,57934,22850,14001,8849,9071,42,043
"Delaware County, Pennsylvania",285672,130592,53223,34032,19191,20337,42,045
"Elk County, Pennsylvania",14970,4097,1305,991,314,655,42,047
"Erie County, Pennsylvania",124388,46791,18871,12745,6126,5684,42,049
"Fayette County, Pennsylvania",54363,17198,6360,4795,1565,1790,42,051
"Forest County, Pennsylvania",1630,424,172,119,53,57,42,053
"Franklin County, Pennsylvania",75850,25500,9215,6491,2724,3862,42,055
"Fulton County, Pennsylvania",6879,1883,685,483,202,260,42,057
"Greene County, Pennsylvania",14223,4788,1606,1194,412,427,42,059
"Huntingdon County, Pennsylvania",18332,6081,2236,1471,765,456,42,061
"Indiana County, Pennsylvania",36508,11818,4233,3067,1166,1377,42,063
"Jefferson County, Pennsylvania",19921,5238,1857,1302,555,551,42,065
"Juniata County, Pennsylvania",10918,2794,1324,874,450,178,42,067
"Lackawanna County, Pennsylvania",102307,37537,13007,8717,4290,4968,42,069
"Lancaster County, Pennsylvania",279799,104416,43875,29336,14539,13657,42,071
"Lawrence County, Pennsylvania",38886,12721,5195,3498,1697,1448,42,073
"Lebanon County, Pennsylvania",68515,23539,9890,6674,3216,3140,42,075
"Lehigh County, Pennsylvania",183365,69340,28074,18826,9248,9847,42,077
"Luzerne County, Pennsylvania",153692,51505,19766,12821,6945,5511,42,079
"Lycoming County, Pennsylvania",52429,18084,6636,4639,1997,2067,42,081
"McKean County, Pennsylvania",17575,5577,1899,1329,570,737,42,083
"Mercer County, Pennsylvania",47850,16025,5493,4003,1490,1668,42,085
"Mifflin County, Pennsylvania",21229,5448,2187,1791,396,530,42,087
"Monroe County, Pennsylvania",79168,26804,9653,6917,2736,4801,42,089
"Montgomery County, Pennsylvania",451495,239796,100227,61534,38693,45027,42,091
"Montour County, Pennsylvania",8711,4130,935,653,282,514,42,093
"Northampton County, Pennsylvania",155896,62795,23894,15935,7959,10104,42,095
"Northumberland County, Pennsylvania",41461,12669,4356,2827,1529,1350,42,097
"Perry County, Pennsylvania",22346,7087,3312,1885,1427,1091,42,099
"Philadelphia County, Pennsylvania",736737,312775,113607,67073,46534,46450,42,101
"Pike County, Pennsylvania",26380,8606,3283,2397,886,1161,42,103
"Potter County, Pennsylvania",6827,2089,923,666,257,174,42,105
"Schuylkill County, Pennsylvania",64570,19955,7643,5199,2444,2106,42,107
"Snyder County, Pennsylvania",19430,6348,2301,1669,632,611,42,109
"Somerset County, Pennsylvania",32749,10483,4101,2734,1367,1087,42,111
"Sullivan County, Pennsylvania",2548,749,311,181,130,80,42,113
"Susquehanna County, Pennsylvania",16812,5514,2481,1907,574,561,42,115
"Tioga County, Pennsylvania",18529,5835,2238,1657,581,659,42,117
"Union County, Pennsylvania",16876,6997,2206,1579,627,806,42,119
"Venango County, Pennsylvania",21733,6448,2111,1463,648,635,42,121
"Warren County, Pennsylvania",17363,5291,2184,1573,611,693,42,123
"Washington County, Pennsylvania",102148,40823,17162,12251,4911,6254,42,125
"Wayne County, Pennsylvania",21217,6381,2581,1940,641,397,42,127
"Westmoreland County, Pennsylvania",171612,67245,26135,17135,9000,10209,42,129
"Wyoming County, Pennsylvania",12048,3661,1485,1024,461,484,42,131
"York County, Pennsylvania",230648,84303,35176,23289,11887,12891,42,133
"Allegany County, Maryland",26552,9240,3143,2310,833,1263,24,001
"Anne Arundel County, Maryland",299789,152491,66661,43972,22689,35691,24,003
"Baltimore County, Maryland",429630,204198,78751,48591,30160,37479,24,005
"Calvert County, Maryland",47275,22932,10310,6842,3468,4909,24,009
"Caroline County, Maryland",16020,5114,2116,1653,463,628,24,011
"Carroll County, Maryland",91143,44709,20006,13433,6573,7969,24,013
"Cecil County, Maryland",50196,18940,7133,4439,2694,3889,24,015
"Charles County, Maryland",84642,36742,16354,9423,6931,8403,24,017
"Dorchester County, Maryland",15001,4871,1972,1517,455,519,24,019
"Frederick County, Maryland",144673,72133,30716,20495,10221,16530,24,021
"Garrett County, Maryland",13555,4645,2052,1637,415,528,24,023
"Harford County, Maryland",136000,65223,28335,18192,10143,12687,24,025
"Howard County, Maryland",174305,113303,41587,26106,15481,33064,24,027
"Kent County, Maryland",9279,4020,1556,1200,356,554,24,029
"Montgomery County, Maryland",560749,330660,125990,75276,50714,84015,24,031
"Prince George's County, Maryland",500565,212277,86291,49983,36308,43440,24,033
"Queen Anne's County, Maryland",26180,11155,5287,4103,1184,1407,24,035
"St. Mary's County, Maryland",57306,28594,11983,7035,4948,9341,24,037
"Somerset County, Maryland",9661,2877,773,583,190,260,24,039
"Talbot County, Maryland",17056,7484,3150,2239,911,1003,24,041
"Washington County, Maryland",70953,26356,10861,7370,3491,4699,24,043
"Wicomico County, Maryland",50869,17655,6473,4768,1705,2034,24,045
"Worcester County, Maryland",24644,9773,4715,3439,1276,965,24,047
"Baltimore city, Maryland",275370,130060,45797,28536,17261,23038,24,510
"Kent County, Delaware",81794,28900,10570,6880,3690,3952,10,001
"New Castle County, Delaware",288800,131702,54637,33490,21147,23596,10,003
"Sussex County, Delaware",103861,36217,15186,11162,4024,3718,10,005
"Barbour County, West Virginia",5728,1469,379,333,46,230,54,001
"Berkeley County, West Virginia",61928,21258,8707,5872,2835,3283,54,003
"Boone County, West Virginia",7033,2153,641,500,141,205,54,005
"Braxton County, West Virginia",3812,735,295,268,27,144,54,007
"Brooke County, West Virginia",9592,2915,1069,772,297,173,54,009
"Cabell County, West Virginia",40146,16186,4870,3665,1205,1559,54,011
"Calhoun County, West Virginia",1927,416,143,92,51,18,54,013
"Clay County, West Virginia",2572,819,200,138,62,65,54,015
"Doddridge County, West Virginia",2990,773,310,207,103,73,54,017
"Fayette County, West Virginia",14182,3887,1209,712,497,276,54,019
"Gilmer County, West Virginia",2367,920,268,174,94,137,54,021
"Grant County, West Virginia",5055,1192,350,301,49,141,54,023
"Greenbrier County, West Virginia",13422,4347,1627,1045,582,486,54,025
"Hampshire County, West Virginia",8739,2407,951,791,160,348,54,027
"Hancock County, West Virginia",12537,4130,1146,848,298,496,54,029
"Hardy County, West Virginia",6406,1785,949,751,198,183,54,031
"Harrison County, West Virginia",28754,10877,3081,2227,854,1672,54,033
"Jackson County, West Virginia",10164,3961,1233,946,287,453,54,035
"Jefferson County, West Virginia",28390,12472,5387,3322,2065,2260,54,037
"Kanawha County, West Virginia",76835,30959,10672,6151,4521,4059,54,039
"Lewis County, West Virginia",6608,2116,921,689,232,238,54,041
"Lincoln County, West Virginia",6626,1630,635,572,63,204,54,043
"Logan County, West Virginia",9520,2951,1042,648,394,228,54,045
"McDowell County, West Virginia",3309,1053,417,306,111,79,54,047
"Marion County, West Virginia",25410,9501,3150,2014,1136,1626,54,049
"Marshall County, West Virginia",13143,3852,1061,798,263,347,54,051
"Mason County, West Virginia",9417,2624,967,698,269,183,54,053
"Mercer County, West Virginia",23119,7794,2126,1461,665,590,54,055
"Mineral County, West Virginia",11730,3536,1094,684,410,515,54,057
"Mingo County, West Virginia",6360,1847,545,360,185,234,54,059
"Monongalia County, West Virginia",54386,27584,7636,4636,3000,4596,54,061
"Monroe County, West Virginia",4632,1200,411,292,119,73,54,063
"Morgan County, West Virginia",7791,1892,736,450,286,232,54,065
"Nicholas County, West Virginia",9174,2693,1111,953,158,337,54,067
"Ohio County, West Virginia",18826,7081,2553,1635,918,693,54,069
"Pendleton County, West Virginia",2471,679,293,274,19,31,54,071
"Pleasants County, West Virginia",3074,809,289,205,84,141,54,073
"Pocahontas County, West Virginia",2571,616,229,174,55,43,54,075
"Preston County, West Virginia",13408,3635,1168,798,370,590,54,077
"Putnam County, West Virginia",25765,10418,4056,2764,1292,1243,54,079
"Raleigh County, West Virginia",26785,9728,3283,2240,1043,598,54,081
"Randolph County, West Virginia",10621,3487,1397,1117,280,232,54,083
"Ritchie County, West Virginia",2886,658,311,188,123,45,54,085
"Roane County, West Virginia",4169,1355,492,309,183,109,54,087
"Summers County, West Virginia",3543,1214,465,386,79,212,54,089
"Taylor County, West Virginia",6664,1958,860,588,272,230,54,091
"Tucker County, West Virginia",3000,955,305,252,53,54,54,093
"Tyler County, West Virginia",3008,892,217,147,70,42,54,095
"Upshur County, West Virginia",9536,2903,980,758,222,444,54,097
"Wayne County, West Virginia",14240,5253,1487,1090,397,437,54,099
"Webster County, West Virginia",2669,627,195,183,12,7,54,101
"Wetzel County, West Virginia",5116,1321,569,433,136,182,54,103
"Wirt County, West Virginia",2012,593,225,159,66,62,54,105
"Wood County, West Virginia",35901,12522,4942,3173,1769,1424,54,107
"Wyoming County, West Virginia",6143,1874,245,200,45,42,54,109
"Adair County, Kentucky",7825,2590,930,703,227,168,21,001
"Allen County, Kentucky",8890,2812,1326,1135,191,322,21,003
"Anderson County, Kentucky",10892,4101,1832,1201,631,552,21,005
"Ballard County, Kentucky",3248,1103,559,487,72,71,21,007
"Barren County, Kentucky",18702,5834,2141,1509,632,595,21,009
"Bath County, Kentucky",4862,1169,579,493,86,46,21,011
"Bell County, Kentucky",7246,2050,663,452,211,132,21,013
"Boone County, Kentucky",70514,27524,12934,8464,4470,4152,21,015
"Bourbon County, Kentucky",9098,3395,1708,1296,412,249,21,017
"Boyd County, Kentucky",19119,7343,2567,1928,639,581,21,019
"Boyle County, Kentucky",12717,4446,1658,1206,452,521,21,021
"Bracken County, Kentucky",3706,1153,523,444,79,89,21,023
"Breathitt County, Kentucky",4553,1694,488,363,125,88,21,025
"Breckinridge County, Kentucky",7803,1959,655,546,109,181,21,027
"Bullitt County, Kentucky",41100,12579,5618,3939,1679,1761,21,029
"Butler County, Kentucky",4673,1332,519,488,31,97,21,031
"Caldwell County, Kentucky",5434,1575,652,502,150,164,21,033
"Calloway County, Kentucky",17388,5872,2216,1646,570,565,21,035
"Campbell County, Kentucky",47628,22525,9831,5888,3943,3475,21,037
"Carlisle County, Kentucky",1817,482,180,174,6,42,21,039
"Carroll County, Kentucky",4487,693,361,290,71,106,21,041
"Carter County, Kentucky",9177,2748,966,665,301,113,21,043
"Casey County, Kentucky",5490,1620,650,562,88,55,21,045
"Christian County, Kentucky",24053,6571,2660,1950,710,758,21,047
"Clark County, Kentucky",16821,5978,2524,1708,816,900,21,049
"Clay County, Kentucky",6202,1864,794,627,167,117,21,051
"Clinton County, Kentucky",3746,1019,360,291,69,117,21,053
"Crittenden County, Kentucky",3485,900,292,190,102,117,21,055
"Cumberland County, Kentucky",2361,588,194,149,45,99,21,057
"Daviess County, Kentucky",47470,15673,6212,4376,1836,1527,21,059
"Edmonson County, Kentucky",4727,1315,606,514,92,139,21,061
"Elliott County, Kentucky",1884,580,155,155,0,61,21,063
"Estill County, Kentucky",4815,992,310,131,179,153,21,065
"Fayette County, Kentucky",169451,78699,27767,18306,9461,12343,21,067
"Fleming County, Kentucky",6049,2010,990,882,108,136,21,069
"Floyd County, Kentucky",11249,3897,1632,1237,395,173,21,071
"Franklin County, Kentucky",24728,10320,4533,2706,1827,1603,21,073
"Fulton County, Kentucky",2196,596,286,224,62,62,21,075
"Gallatin County, Kentucky",3940,832,295,216,79,147,21,077
"Garrard County, Kentucky",7209,2232,974,826,148,96,21,079
"Grant County, Kentucky",11179,2829,1309,988,321,216,21,081
"Graves County, Kentucky",15371,4773,2190,1565,625,451,21,083
"Grayson County, Kentucky",10639,3031,1041,710,331,265,21,085
"Green County, Kentucky",4088,989,381,257,124,72,21,087
"Greenup County, Kentucky",13741,5330,1375,1062,313,458,21,089
"Hancock County, Kentucky",3973,932,402,330,72,87,21,091
"Hardin County, Kentucky",47348,16335,7139,4246,2893,2258,21,093
"Harlan County, Kentucky",7463,2273,560,439,121,136,21,095
"Harrison County, Kentucky",8446,2438,1138,864,274,219,21,097
"Hart County, Kentucky",7892,1773,709,568,141,296,21,099
"Henderson County, Kentucky",19627,5762,2415,1531,884,769,21,101
"Henry County, Kentucky",6939,1852,848,615,233,177,21,103
"Hickman County, Kentucky",1829,729,371,296,75,104,21,105
"Hopkins County, Kentucky",18087,6031,1974,1433,541,603,21,107
"Jackson County, Kentucky",4321,968,331,280,51,131,21,109
"Jefferson County, Kentucky",391362,157782,63094,40315,22779,22897,21,111
"Jessamine County, Kentucky",24987,9524,3461,2478,983,871,21,113
"Johnson County, Kentucky",7662,2535,691,439,252,283,21,115
"Kenton County, Kentucky",88706,38230,16884,10306,6578,5407,21,117
"Knott County, Kentucky",4219,1494,405,365,40,113,21,119
"Knox County, Kentucky",9221,2756,789,502,287,199,21,121
"Larue County, Kentucky",6473,2073,545,416,129,581,21,123
"Laurel County, Kentucky",25949,7871,2720,1937,783,975,21,125
"Lawrence County, Kentucky",4586,1477,254,140,114,248,21,127
"Lee County, Kentucky",2286,549,144,66,78,76,21,129
"Leslie County, Kentucky",3344,825,233,206,27,38,21,131
"Letcher County, Kentucky",6989,2389,593,484,109,118,21,133
"Lewis County, Kentucky",4136,1074,228,117,111,75,21,135
"Lincoln County, Kentucky",9865,3102,984,689,295,242,21,137
"Livingston County, Kentucky",3837,1037,437,362,75,170,21,139
"Logan County, Kentucky",11675,3585,1337,1233,104,613,21,141
"Lyon County, Kentucky",3149,840,344,142,202,73,21,143
"McCracken County, Kentucky",29964,10707,3851,2783,1068,1157,21,145
"McCreary County, Kentucky",4881,1523,635,504,131,118,21,147
"McLean County, Kentucky",3784,1339,608,390,218,106,21,149
"Madison County, Kentucky",45222,16814,6533,4407,2126,2377,21,151
"Magoffin County, Kentucky",2983,785,180,151,29,4,21,153
"Marion County, Kentucky",7767,2407,883,675,208,335,21,155
"Marshall County, Kentucky",13941,4361,1868,1536,332,461,21,157
"Martin County, Kentucky",3032,942,253,183,70,3,21,159
"Mason County, Kentucky",7271,2275,940,724,216,153,21,161
"Meade County, Kentucky",13375,4259,2056,1321,735,403,21,163
"Menifee County, Kentucky",2005,609,241,164,77,92,21,165
"Mercer County, Kentucky",10029,3403,1143,630,513,366,21,167
"Metcalfe County, Kentucky",4343,1224,449,291,158,51,21,169
"Monroe County, Kentucky",4932,1479,566,463,103,124,21,171
"Montgomery County, Kentucky",11632,2945,1132,835,297,551,21,173
"Morgan County, Kentucky",4367,1398,388,281,107,134,21,175
"Muhlenberg County, Kentucky",12526,3922,893,725,168,577,21,177
"Nelson County, Kentucky",22467,7228,2732,1951,781,978,21,179
"Nicholas County, Kentucky",2969,719,427,343,84,39,21,181
"Ohio County, Kentucky",10000,2873,863,634,229,379,21,183
"Oldham County, Kentucky",32761,16162,7537,4945,2592,1861,21,185
"Owen County, Kentucky",4952,1463,579,342,237,208,21,187
"Owsley County, Kentucky",1098,321,151,77,74,7,21,189
"Pendleton County, Kentucky",6688,1895,668,513,155,230,21,191
"Perry County, Kentucky",10104,3087,692,491,201,152,21,193
"Pike County, Kentucky",19273,7103,1967,1311,656,630,21,195
"Powell County, Kentucky",4832,1287,414,278,136,164,21,197
"Pulaski County, Kentucky",27268,8515,2672,1734,938,733,21,199
"Robertson County, Kentucky",832,267,150,110,40,1,21,201
"Rockcastle County, Kentucky",6066,1726,580,388,192,230,21,203
"Rowan County, Kentucky",10932,4315,1111,835,276,308,21,205
"Russell County, Kentucky",7414,2323,713,511,202,187,21,207
"Scott County, Kentucky",29395,11049,4363,2925,1438,1892,21,209
"Shelby County, Kentucky",24238,8578,4054,2698,1356,1080,21,211
"Simpson County, Kentucky",8926,2276,869,743,126,326,21,213
"Spencer County, Kentucky",9917,3434,1595,1075,520,489,21,215
"Taylor County, Kentucky",12119,3672,1217,879,338,229,21,217
"Todd County, Kentucky",5048,1600,705,498,207,68,21,219
"Trigg County, Kentucky",5743,1814,622,475,147,103,21,221
"Trimble County, Kentucky",3631,911,301,261,40,107,21,223
"Union County, Kentucky",5686,1443,621,476,145,102,21,225
"Warren County, Kentucky",68496,23858,8879,5975,2904,2986,21,227
"Washington County, Kentucky",5717,1920,774,605,169,272,21,229
"Wayne County, Kentucky",6899,1601,687,532,155,102,21,231
"Webster County, Kentucky",5348,1253,439,254,185,56,21,233
"Whitley County, Kentucky",13246,4312,1310,841,469,361,21,235
"Wolfe County, Kentucky",1527,344,74,66,8,0,21,237
"Woodford County, Kentucky",13606,5795,2499,1670,829,590,21,239
"Anderson County, Tennessee",32947,12044,3749,2507,1242,2607,47,001
"Bedford County, Tennessee",23327,6208,2536,1722,814,800,47,003
"Benton County, Tennessee",6071,1633,617,449,168,178,47,005
"Bledsoe County, Tennessee",5617,1350,599,520,79,78,47,007
"Blount County, Tennessee",65081,21532,8961,6142,2819,2307,47,009
"Bradley County, Tennessee",51057,17199,6713,4605,2108,1898,47,011
"Campbell County, Tennessee",15272,4365,1662,1310,352,319,47,013
"Cannon County, Tennessee",6445,2125,697,468,229,246,47,015
"Carroll County, Tennessee",11911,3493,1176,1002,174,254,47,017
"Carter County, Tennessee",23155,7575,2600,1898,702,678,47,019
"Cheatham County, Tennessee",20813,6963,3128,2029,1099,1103,47,021
"Chester County, Tennessee",7039,1724,382,318,64,249,47,023
"Claiborne County, Tennessee",12931,3764,1478,1092,386,132,47,025
"Clay County, Tennessee",2638,803,351,286,65,23,47,027
"Cocke County, Tennessee",14689,3665,1556,1023,533,212,47,029
"Coffee County, Tennessee",25872,8548,3488,2481,1007,1272,47,031
"Crockett County, Tennessee",6449,2014,803,666,137,95,47,033
"Cumberland County, Tennessee",22676,6116,2475,1588,887,690,47,035
