NAME,NESTAB,NRCPTOT,NAICS2017,state,county
"Virginia Beach city, Virginia",36719,1753186,00,51,810
"Waynesboro city, Virginia",1388,53012,00,51,820
"Williamsburg city, Virginia",988,42336,00,51,830
"Adams County, Pennsylvania",7035,353075,00,42,001
"Allegheny County, Pennsylvania",87448,4436768,00,42,003
"Armstrong County, Pennsylvania",3500,159580,00,42,005
"Bedford County, Pennsylvania",3365,179154,00,42,009
"Wyoming County, Pennsylvania",1700,81582,00,42,131
"York County, Pennsylvania",29091,1525215,00,42,133
"Beaver County, Pennsylvania",9542,422482,00,42,007
"Berks County, Pennsylvania",27188,1388121,00,42,011
"Blair County, Pennsylvania",6530,326739,00,42,013
"Bradford County, Pennsylvania",3511,172441,00,42,015
"Bucks County, Pennsylvania",56398,3705894,00,42,017
"Butler County, Pennsylvania",13314,708417,00,42,019
"Cambria County, Pennsylvania",6181,277730,00,42,021
"Cameron County, Pennsylvania",207,6624,00,42,023
"Carbon County, Pennsylvania",3511,172053,00,42,025
"Chester County, Pennsylvania",45473,2983026,00,42,029
"Centre County, Pennsylvania",10056,517866,00,42,027
"Clarion County, Pennsylvania",2351,132933,00,42,031
"Clearfield County, Pennsylvania",4080,204073,00,42,033
"Clinton County, Pennsylvania",1974,110551,00,42,035
"Columbia County, Pennsylvania",3455,163617,00,42,037
"Crawford County, Pennsylvania",5371,271059,00,42,039
"Cumberland County, Pennsylvania",18032,1009371,00,42,041
"Dauphin County, Pennsylvania",18444,901360,00,42,043
"Delaware County, Pennsylvania",46592,2555433,00,42,045
"Elk County, Pennsylvania",1481,64801,00,42,047
"Erie County, Pennsylvania",14444,694812,00,42,049
"Fayette County, Pennsylvania",6434,286980,00,42,051
"Forest County, Pennsylvania",228,8918,00,42,053
"Franklin County, Pennsylvania",9581,472493,00,42,055
"Fulton County, Pennsylvania",945,47044,00,42,057
"Greene County, Pennsylvania",1405,62976,00,42,059
"Huntingdon County, Pennsylvania",2482,127069,00,42,061
"Indiana County, Pennsylvania",4927,254774,00,42,063
"Juniata County, Pennsylvania",1880,102869,00,42,067
"Jefferson County, Pennsylvania",3020,171599,00,42,065
"Lackawanna County, Pennsylvania",13204,717393,00,42,069
"Lancaster County, Pennsylvania",45923,2664170,00,42,071
"Lawrence County, Pennsylvania",5234,246867,00,42,073
"Lebanon County, Pennsylvania",9287,476579,00,42,075
"Lehigh County, Pennsylvania",26490,1357294,00,42,077
"Luzerne County, Pennsylvania",19103,1000828,00,42,079
"Lycoming County, Pennsylvania",6429,324269,00,42,081
"McKean County, Pennsylvania",2028,83190,00,42,083
"Mercer County, Pennsylvania",6520,350672,00,42,085
"Mifflin County, Pennsylvania",2850,140150,00,42,087
"Monroe County, Pennsylvania",11623,621620,00,42,089
"Montgomery County, Pennsylvania",75893,5106816,00,42,091
"Montour County, Pennsylvania",1045,54296,00,42,093
"Northampton County, Pennsylvania",20563,1161119,00,42,095
"Northumberland County, Pennsylvania",4644,240487,00,42,097
"Perry County, Pennsylvania",3081,160812,00,42,099
"Philadelphia County, Pennsylvania",113491,4895388,00,42,101
