NAME,NESTAB,NRCPTOT,NAICS2017,state,county
"Mecklenburg County, North Carolina",113810,6025786,00,37,119
"Mitchell County, North Carolina",1191,44945,00,37,121
"Montgomery County, North Carolina",1691,69728,00,37,123
"Moore County, North Carolina",9179,488278,00,37,125
"Nash County, North Carolina",6427,290015,00,37,127
"New Hanover County, North Carolina",23379,1245022,00,37,129
"Northampton County, North Carolina",935,41419,00,37,131
"Onslow County, North Carolina",12585,475329,00,37,133
"Orange County, North Carolina",14011,721859,00,37,135
"Pamlico County, North Carolina",1045,50129,00,37,137
"Pasquotank County, North Carolina",2876,111428,00,37,139
"Pender County, North Carolina",5619,277023,00,37,141
"Perquimans County, North Carolina",973,41335,00,37,143
"Person County, North Carolina",2459,111740,00,37,145
"Pitt County, North Carolina",12083,500700,00,37,147
"Polk County, North Carolina",2077,98064,00,37,149
"Richmond County, North Carolina",2305,82698,00,37,153
"Randolph County, North Carolina",10456,473084,00,37,151
"Robeson County, North Carolina",8697,337794,00,37,155
"Rockingham County, North Carolina",5505,237120,00,37,157
"Rowan County, North Carolina",10598,465160,00,37,159
"Rutherford County, North Carolina",4610,207980,00,37,161
"Sampson County, North Carolina",3956,192183,00,37,163
"Yadkin County, North Carolina",2531,113999,00,37,197
"Yancey County, North Carolina",1774,79894,00,37,199
"Stokes County, North Carolina",2999,122960,00,37,169
"Scotland County, North Carolina",1914,63644,00,37,165
"Stanly County, North Carolina",4487,221236,00,37,167
"Surry County, North Carolina",5112,244539,00,37,171
"Swain County, North Carolina",1239,55707,00,37,173
"Transylvania County, North Carolina",3333,162705,00,37,175
"Tyrrell County, North Carolina",284,13332,00,37,177
"Union County, North Carolina",22699,1216020,00,37,179
"Vance County, North Carolina",2495,111206,00,37,181
"Wake County, North Carolina",104281,5354113,00,37,183
"Warren County, North Carolina",1060,44059,00,37,185
"Wayne County, North Carolina",7189,306648,00,37,191
"Washington County, North Carolina",663,21653,00,37,187
"Watauga County, North Carolina",5235,260868,00,37,189
"Wilkes County, North Carolina",4737,237830,00,37,193
"Wilson County, North Carolina",5223,210144,00,37,195
"Abbeville County, South Carolina",1624,64511,00,45,001
"Aiken County, South Carolina",13195,533705,00,45,003
"Williamsburg County, South Carolina",1792,54523,00,45,089
"York County, South Carolina",22017,961314,00,45,091
"Allendale County, South Carolina",506,13496,00,45,005
"Anderson County, South Carolina",15210,698517,00,45,007
"Bamberg County, South Carolina",889,29482,00,45,009
"Barnwell County, South Carolina",1409,46631,00,45,011
"Beaufort County, South Carolina",19852,1240341,00,45,013
"Berkeley County, South Carolina",18987,852881,00,45,015
"Calhoun County, South Carolina",1021,48146,00,45,017
"Charleston County, South Carolina",44612,2888169,00,45,019
"Cherokee County, South Carolina",2946,104258,00,45,021
"Chester County, South Carolina",1861,70721,00,45,023
"Chesterfield County, South Carolina",2532,100771,00,45,025
"Clarendon County, South Carolina",2319,103480,00,45,027
"Colleton County, South Carolina",3405,145428,00,45,029
"Darlington County, South Carolina",3780,142900,00,45,031
"Dillon County, South Carolina",1680,66295,00,45,033
"Dorchester County, South Carolina",13131,528155,00,45,035
"Fairfield County, South Carolina",1564,55251,00,45,039
"Edgefield County, South Carolina",1906,80406,00,45,037
"Florence County, South Carolina",9250,403882,00,45,041
"Georgetown County, South Carolina",5965,310051,00,45,043
"Greenville County, South Carolina",49913,2494135,00,45,045
"Greenwood County, South Carolina",4357,175661,00,45,047
"Hampton County, South Carolina",1306,47753,00,45,049
"Horry County, South Carolina",32643,1681396,00,45,051
"Jasper County, South Carolina",2709,141946,00,45,053
"Kershaw County, South Carolina",5070,232628,00,45,055
"Lancaster County, South Carolina",7479,317462,00,45,057
"Laurens County, South Carolina",4130,165979,00,45,059
"Lee County, South Carolina",876,30163,00,45,061
"Lexington County, South Carolina",23123,1073918,00,45,063
"McCormick County, South Carolina",619,28635,00,45,065
"Marion County, South Carolina",1680,60868,00,45,067
"Marlboro County, South Carolina",1131,41486,00,45,069
"Newberry County, South Carolina",2790,99090,00,45,071
"Oconee County, South Carolina",5653,258723,00,45,073
"Orangeburg County, South Carolina",5900,209800,00,45,075
"Pickens County, South Carolina",9281,415270,00,45,077
"Richland County, South Carolina",32831,1425462,00,45,079
"Saluda County, South Carolina",1130,49318,00,45,081
"Sumter County, South Carolina",7104,263335,00,45,085
"Spartanburg County, South Carolina",27653,1393974,00,45,083
"Union County, South Carolina",1219,39039,00,45,087
"Appling County, Georgia",1237,51193,00,13,001
"Atkinson County, Georgia",623,29904,00,13,003
"Bacon County, Georgia",737,28345,00,13,005
"Terrell County, Georgia",997,38019,00,13,273
"Turner County, Georgia",850,33982,00,13,287
"Baker County, Georgia",210,8794,00,13,007
"Baldwin County, Georgia",3706,138321,00,13,009
"Banks County, Georgia",1580,89029,00,13,011
"Barrow County, Georgia",9148,417549,00,13,013
"Bartow County, Georgia",9986,474932,00,13,015
"Ben Hill County, Georgia",1221,44924,00,13,017
"Berrien County, Georgia",1249,57855,00,13,019
"Bibb County, Georgia",15792,519248,00,13,021
"Bleckley County, Georgia",903,33336,00,13,023
"Butts County, Georgia",2163,88640,00,13,035
"Brantley County, Georgia",1112,46511,00,13,025
"Brooks County, Georgia",1070,43348,00,13,027
"Bryan County, Georgia",3723,169936,00,13,029
"Bulloch County, Georgia",5868,246150,00,13,031
"Burke County, Georgia",2185,82326,00,13,033
"Calhoun County, Georgia",399,14957,00,13,037
"Camden County, Georgia",3409,121025,00,13,039
"Candler County, Georgia",926,49186,00,13,043
"Carroll County, Georgia",10660,429192,00,13,045
"Catoosa County, Georgia",4853,235860,00,13,047
"Charlton County, Georgia",597,21803,00,13,049
"Chatham County, Georgia",27085,1283873,00,13,051
"Chattahoochee County, Georgia",265,5088,00,13,053
"Chattooga County, Georgia",1510,87546,00,13,055
"Clarke County, Georgia",10664,404735,00,13,059
"Cherokee County, Georgia",30556,1534800,00,13,057
"Clay County, Georgia",281,10476,00,13,061
"Clayton County, Georgia",38859,1075551,00,13,063
"Clinch County, Georgia",447,17520,00,13,065
"Cobb County, Georgia",93791,4511087,00,13,067
"Coffee County, Georgia",3495,164497,00,13,069
"Colquitt County, Georgia",3485,147785,00,13,071
"Columbia County, Georgia",13027,561966,00,13,073
"Cook County, Georgia",1313,63917,00,13,075
"Coweta County, Georgia",14723,577634,00,13,077
"Crawford County, Georgia",884,33417,00,13,079
"Crisp County, Georgia",1860,66279,00,13,081
"Dade County, Georgia",1131,54451,00,13,083
"Dawson County, Georgia",3029,177718,00,13,085
"Decatur County, Georgia",2011,81208,00,13,087
"DeKalb County, Georgia",95344,3665173,00,13,089
"Dodge County, Georgia",1504,55283,00,13,091
"Dooly County, Georgia",828,28226,00,13,093
"Dougherty County, Georgia",9221,293987,00,13,095
"Douglas County, Georgia",17367,588876,00,13,097
"Early County, Georgia",825,31994,00,13,099
"Echols County, Georgia",232,9792,00,13,101
"Effingham County, Georgia",5143,230438,00,13,103
"Elbert County, Georgia",1630,70311,00,13,105
"Emanuel County, Georgia",1888,82480,00,13,107
"Evans County, Georgia",732,24233,00,13,109
"Fannin County, Georgia",3247,205906,00,13,111
"Fayette County, Georgia",13242,639234,00,13,113
"Floyd County, Georgia",7918,325744,00,13,115
"Forsyth County, Georgia",26798,1612257,00,13,117
"Franklin County, Georgia",1871,95269,00,13,119
"Fulton County, Georgia",135662,7147466,00,13,121
"Gilmer County, Georgia",3203,172425,00,13,123
"Glascock County, Georgia",192,5282,00,13,125
"Glynn County, Georgia",8220,403320,00,13,127
"Gordon County, Georgia",4046,212485,00,13,129
"Grady County, Georgia",1701,68296,00,13,131
"Greene County, Georgia",2112,131616,00,13,133
"Gwinnett County, Georgia",136971,6563960,00,13,135
"Habersham County, Georgia",3778,166935,00,13,137
"Hall County, Georgia",21159,1055259,00,13,139
"Hancock County, Georgia",811,19824,00,13,141
"Haralson County, Georgia",2537,111581,00,13,143
"Harris County, Georgia",3017,139832,00,13,145
"Henry County, Georgia",29765,1058383,00,13,151
"Hart County, Georgia",2253,99207,00,13,147
"Heard County, Georgia",906,34482,00,13,149
"Houston County, Georgia",13517,469272,00,13,153
"Irwin County, Georgia",750,30717,00,13,155
"Jackson County, Georgia",7692,361172,00,13,157
"Jasper County, Georgia",1474,67851,00,13,159
"Jeff Davis County, Georgia",1083,46203,00,13,161
"Jefferson County, Georgia",1577,56003,00,13,163
"Jenkins County, Georgia",524,24828,00,13,165
"Johnson County, Georgia",606,30716,00,13,167
"Jones County, Georgia",2326,89244,00,13,169
"Laurens County, Georgia",4510,208422,00,13,175
"Lamar County, Georgia",1614,58883,00,13,171
"Lanier County, Georgia",695,32605,00,13,173
"Lee County, Georgia",2880,102237,00,13,177
"Liberty County, Georgia",4127,117242,00,13,179
"Lincoln County, Georgia",688,29624,00,13,181
"Long County, Georgia",1074,38816,00,13,183
"Lowndes County, Georgia",9022,417989,00,13,185
"Lumpkin County, Georgia",2994,139801,00,13,187
"McDuffie County, Georgia",2029,74192,00,13,189
"McIntosh County, Georgia",1105,45800,00,13,191
"Macon County, Georgia",872,32975,00,13,193
"Madison County, Georgia",2636,105712,00,13,195
"Marion County, Georgia",542,24976,00,13,197
"Meriwether County, Georgia",1960,67937,00,13,199
"Miller County, Georgia",348,11191,00,13,201
"Mitchell County, Georgia",1621,58213,00,13,205
"Monroe County, Georgia",2646,124755,00,13,207
"Montgomery County, Georgia",669,27171,00,13,209
"Morgan County, Georgia",2451,174104,00,13,211
"Murray County, Georgia",2150,95155,00,13,213
"Muscogee County, Georgia",15437,538483,00,13,215
"Newton County, Georgia",13269,446739,00,13,217
"Oconee County, Georgia",4498,284327,00,13,219
"Oglethorpe County, Georgia",1298,53658,00,13,221
"Paulding County, Georgia",17893,666202,00,13,223
"Peach County, Georgia",2435,95735,00,13,225
"Pickens County, Georgia",3624,187107,00,13,227
"Pierce County, Georgia",1306,60116,00,13,229
"Pike County, Georgia",1807,87018,00,13,231
"Polk County, Georgia",2984,109803,00,13,233
"Pulaski County, Georgia",757,20579,00,13,235
"Putnam County, Georgia",2366,125101,00,13,237
"Quitman County, Georgia",168,6197,00,13,239
"Rabun County, Georgia",2105,109455,00,13,241
"Stewart County, Georgia",269,6848,00,13,259
"Randolph County, Georgia",639,19840,00,13,243
"Richmond County, Georgia",16439,560984,00,13,245
"Rockdale County, Georgia",11306,396137,00,13,247
"Schley County, Georgia",381,13496,00,13,249
"Screven County, Georgia",1088,42487,00,13,251
"Seminole County, Georgia",653,31132,00,13,253
"Spalding County, Georgia",6608,246055,00,13,255
"Sumter County, Georgia",2279,80016,00,13,261
"Stephens County, Georgia",1882,75351,00,13,257
"Talbot County, Georgia",522,15084,00,13,263
"Taliaferro County, Georgia",137,4176,00,13,265
"Tattnall County, Georgia",1578,64827,00,13,267
"Taylor County, Georgia",565,23332,00,13,269
"Telfair County, Georgia",826,32379,00,13,271
"Troup County, Georgia",6106,225586,00,13,285
"Thomas County, Georgia",3771,176244,00,13,275
"Tift County, Georgia",3768,173233,00,13,277
"Toombs County, Georgia",2160,98316,00,13,279
"Towns County, Georgia",1321,68457,00,13,281
"Treutlen County, Georgia",540,20541,00,13,283
"Wilkinson County, Georgia",646,21181,00,13,319
"Worth County, Georgia",1573,67416,00,13,321
"Twiggs County, Georgia",652,26477,00,13,289
"Union County, Georgia",2651,133781,00,13,291
"Upson County, Georgia",1995,69021,00,13,293
"Walker County, Georgia",4718,212400,00,13,295
"Ware County, Georgia",2369,96844,00,13,299
"Walton County, Georgia",10815,486695,00,13,297
"Warren County, Georgia",521,17402,00,13,301
"Washington County, Georgia",1479,53733,00,13,303
"Wayne County, Georgia",1984,91231,00,13,305
"Webster County, Georgia",190,7252,00,13,307
"Wheeler County, Georgia",390,20261,00,13,309
"White County, Georgia",2846,142202,00,13,311
"Whitfield County, Georgia",6907,354522,00,13,313
"Wilcox County, Georgia",547,21555,00,13,315
"Wilkes County, Georgia",758,29666,00,13,317
