NAME,EMP,ESTAB,NAICS2017,state,county
"Accomack County, Virginia",84,44,53,51,001
"Albemarle County, Virginia",967,181,53,51,003
"Alleghany County, Virginia",26,4,53,51,005
"Amelia County, Virginia",10,9,53,51,007
"Amherst County, Virginia",16,12,53,51,009
"Appomattox County, Virginia",16,9,53,51,011
"Brunswick County, Virginia",32,8,53,51,025
"Buckingham County, Virginia",7,6,53,51,029
"Carroll County, Virginia",32,16,53,51,035
"Charles City County, Virginia",12,5,53,51,036
"Charlotte County, Virginia",12,7,53,51,037
"Cumberland County, Virginia",5,5,53,51,049
"Floyd County, Virginia",16,6,53,51,063
"Fluvanna County, Virginia",24,17,53,51,065
"Grayson County, Virginia",10,9,53,51,077
"Greene County, Virginia",27,17,53,51,079
"King and Queen County, Virginia",6,5,53,51,097
"King George County, Virginia",45,19,53,51,099
"King William County, Virginia",26,11,53,51,101
"Madison County, Virginia",16,13,53,51,113
"Mathews County, Virginia",16,7,53,51,115
"Nelson County, Virginia",41,18,53,51,125
"New Kent County, Virginia",29,23,53,51,127
"Northampton County, Virginia",33,18,53,51,131
"Nottoway County, Virginia",16,11,53,51,135
"Page County, Virginia",11,12,53,51,139
"Rappahannock County, Virginia",14,8,53,51,157
"Richmond County, Virginia",13,4,53,51,159
"Rockingham County, Virginia",504,55,53,51,165
"Scott County, Virginia",12,5,53,51,169
"Southampton County, Virginia",19,13,53,51,175
"Colonial Heights city, Virginia",144,36,53,51,570
"Covington city, Virginia",16,8,53,51,580
"Hopewell city, Virginia",39,17,53,51,670
"Manassas Park city, Virginia",51,10,53,51,685
"Portsmouth city, Virginia",339,87,53,51,740
"Winchester city, Virginia",245,69,53,51,840
"Virginia Beach city, Virginia",5371,876,53,51,810
"Arlington County, Virginia",3516,512,53,51,013
"Augusta County, Virginia",201,68,53,51,015
"Bath County, Virginia",25,6,53,51,017
"Botetourt County, Virginia",107,34,53,51,023
"Buchanan County, Virginia",31,7,53,51,027
"Caroline County, Virginia",23,15,53,51,033
"Clarke County, Virginia",30,24,53,51,043
"Dinwiddie County, Virginia",76,16,53,51,053
"Essex County, Virginia",19,10,53,51,057
"Frederick County, Virginia",411,81,53,51,069
"Giles County, Virginia",19,8,53,51,071
"Gloucester County, Virginia",95,41,53,51,073
"Greensville County, Virginia",13,5,53,51,081
"Halifax County, Virginia",61,21,53,51,083
