state,county,NAME,pct_pre_1960,total_units,units_pre_1960
51,193,"Westmoreland County, Virginia",24.105225483178238,11176,2694
51,195,"Wise County, Virginia",25.958261077557854,16723,4341
51,197,"Wythe County, Virginia",24.301994301994302,14040,3412
51,199,"York County, Virginia",7.306934241175417,27905,2039
51,510,"Alexandria city, Virginia",29.225075698104742,80253,23454
51,520,"Bristol city, Virginia",41.967477799561756,8671,3639
51,530,"Buena Vista city, Virginia",34.7160829649779,2941,1021
51,540,"Charlottesville city, Virginia",37.927654609101516,21425,8126
51,550,"Chesapeake city, Virginia",9.734317808910767,95076,9255
51,570,"Colonial Heights city, Virginia",28.523944355533672,8123,2317
51,580,"Covington city, Virginia",66.34962282715644,3049,2023
51,590,"Danville city, Virginia",48.35583867928761,22291,10779
51,595,"Emporia city, Virginia",46.08540925266904,2810,1295
51,600,"Fairfax city, Virginia",33.21892094819264,9323,3097
51,610,"Falls Church city, Virginia",33.14835971927534,6127,2031
51,620,"Franklin city, Virginia",39.95375128468653,3892,1555
51,630,"Fredericksburg city, Virginia",24.178907410463772,12118,2930
51,640,"Galax city, Virginia",34.93215525402335,3169,1107
51,650,"Hampton city, Virginia",24.15506958250497,62372,15066
51,660,"Harrisonburg city, Virginia",16.726705736867572,18599,3111
51,670,"Hopewell city, Virginia",34.58473355736918,10415,3602
51,678,"Lexington city, Virginia",55.128712871287135,2525,1392
51,680,"Lynchburg city, Virginia",38.10650187753171,33821,12888
51,683,"Manassas city, Virginia",7.21505751132799,14345,1035
51,685,"Manassas Park city, Virginia",15.92936464591298,5493,875
51,690,"Martinsville city, Virginia",53.60692984947458,7042,3775
51,700,"Newport News city, Virginia",18.967691384777368,81681,15493
51,710,"Norfolk city, Virginia",46.12820764919871,101710,46917
51,720,"Norton city, Virginia",33.637339055793994,1864,627
51,730,"Petersburg city, Virginia",40.148263753413964,17941,7203
51,735,"Poquoson city, Virginia",21.108179419525065,4927,1040
51,740,"Portsmouth city, Virginia",41.92732504176722,43096,18069
51,750,"Radford city, Virginia",33.33333333333333,6450,2150
51,760,"Richmond city, Virginia",52.583300455507334,111524,58643
51,770,"Roanoke city, Virginia",52.23289414275746,48726,25451
51,775,"Salem city, Virginia",32.732516222062,11096,3632
51,790,"Staunton city, Virginia",42.503863987635235,12293,5225
51,800,"Suffolk city, Virginia",16.770921821504878,38847,6515
51,810,"Virginia Beach city, Virginia",8.223173344704687,189951,15620
51,820,"Waynesboro city, Virginia",31.998444790046655,10288,3292
51,830,"Williamsburg city, Virginia",15.806001395673414,5732,906
51,840,"Winchester city, Virginia",41.0021857038776,12353,5065
42,001,"Adams County, Pennsylvania",30.32840113177791,43118,13077
42,003,"Allegheny County, Pennsylvania",55.22220415639403,602734,332843
42,005,"Armstrong County, Pennsylvania",50.69936590824319,32172,16311
42,007,"Beaver County, Pennsylvania",54.473857200647245,79104,43091
42,009,"Bedford County, Pennsylvania",40.72280969974943,23547,9589
42,011,"Berks County, Pennsylvania",42.71259330435088,170678,72901
42,013,"Blair County, Pennsylvania",53.43499139908256,55808,29821
42,015,"Bradford County, Pennsylvania",43.75233502020854,29443,12882
42,017,"Bucks County, Pennsylvania",30.225470365690004,255599,77256
42,019,"Butler County, Pennsylvania",30.554873126732886,85479,26118
42,021,"Cambria County, Pennsylvania",57.7849415703171,64522,37284
42,023,"Cameron County, Pennsylvania",56.06673407482305,3956,2218
42,025,"Carbon County, Pennsylvania",42.11463777849155,34247,14423
42,027,"Centre County, Pennsylvania",26.43200633065498,65712,17369
42,029,"Chester County, Pennsylvania",23.725272197515718,208672,49508
42,031,"Clarion County, Pennsylvania",42.20246599989416,18897,7975
42,033,"Clearfield County, Pennsylvania",45.063815289461964,38157,17195
42,035,"Clinton County, Pennsylvania",40.9923213230951,18623,7634
42,037,"Columbia County, Pennsylvania",40.38727058427345,29695,11993
42,039,"Crawford County, Pennsylvania",43.92906189326135,42234,18553
42,041,"Cumberland County, Pennsylvania",29.925609689063158,109154,32665
