NAME,EMP,ESTAB,NAICS2017,state,county
"Accomack County, Virginia",909,100,72,51,001
"Albemarle County, Virginia",3964,216,72,51,003
"Alleghany County, Virginia",307,24,72,51,005
"Amelia County, Virginia",129,10,72,51,007
"Amherst County, Virginia",578,41,72,51,009
"Appomattox County, Virginia",248,22,72,51,011
"Augusta County, Virginia",1288,97,72,51,015
"Bath County, Virginia",1000,17,72,51,017
"Bland County, Virginia",56,7,72,51,021
"Botetourt County, Virginia",775,57,72,51,023
"Brunswick County, Virginia",79,13,72,51,025
"Buchanan County, Virginia",241,19,72,51,027
"Buckingham County, Virginia",89,9,72,51,029
"Caroline County, Virginia",520,48,72,51,033
"Carroll County, Virginia",549,38,72,51,035
"Charles City County, Virginia",38,3,72,51,036
"Charlotte County, Virginia",148,11,72,51,037
"Clarke County, Virginia",205,27,72,51,043
"Craig County, Virginia",29,6,72,51,045
"Dickenson County, Virginia",175,13,72,51,051
"Dinwiddie County, Virginia",299,24,72,51,053
"Essex County, Virginia",473,29,72,51,057
"Fauquier County, Virginia",2155,134,72,51,061
"Fluvanna County, Virginia",179,20,72,51,065
"Goochland County, Virginia",445,36,72,51,075
"Grayson County, Virginia",114,13,72,51,077
"Greene County, Virginia",444,34,72,51,079
"Greensville County, Virginia",155,12,72,51,081
"Halifax County, Virginia",781,58,72,51,083
"Henry County, Virginia",1023,74,72,51,089
"James City County, Virginia",2990,156,72,51,095
"King and Queen County, Virginia",50,4,72,51,097
"King George County, Virginia",454,39,72,51,099
"King William County, Virginia",368,26,72,51,101
"Lunenburg County, Virginia",34,7,72,51,111
"Madison County, Virginia",208,19,72,51,113
"Middlesex County, Virginia",284,28,72,51,119
"Northampton County, Virginia",411,42,72,51,131
"Northumberland County, Virginia",125,18,72,51,133
"Orange County, Virginia",785,62,72,51,137
"Page County, Virginia",513,59,72,51,139
"Patrick County, Virginia",180,18,72,51,141
"Pittsylvania County, Virginia",549,56,72,51,143
"Powhatan County, Virginia",482,37,72,51,145
"Prince Edward County, Virginia",858,46,72,51,147
"Prince George County, Virginia",1252,44,72,51,149
"Pulaski County, Virginia",909,70,72,51,155
"Rappahannock County, Virginia",280,18,72,51,157
"Richmond County, Virginia",172,14,72,51,159
"Russell County, Virginia",419,33,72,51,167
"Scott County, Virginia",367,22,72,51,169
"Shenandoah County, Virginia",1150,99,72,51,171
"Smyth County, Virginia",671,47,72,51,173
"Southampton County, Virginia",73,7,72,51,175
"Stafford County, Virginia",3627,209,72,51,179
"Surry County, Virginia",27,4,72,51,181
"Warren County, Virginia",1306,83,72,51,187
"Westmoreland County, Virginia",300,35,72,51,193
"Wise County, Virginia",989,62,72,51,195
"Wythe County, Virginia",1365,80,72,51,197
"Bristol city, Virginia",1777,79,72,51,520
"Buena Vista city, Virginia",165,13,72,51,530
"Colonial Heights city, Virginia",2125,90,72,51,570
"Covington city, Virginia",306,19,72,51,580
"Emporia city, Virginia",572,24,72,51,595
"Fairfax city, Virginia",2776,192,72,51,600
"Falls Church city, Virginia",1056,108,72,51,610
"Franklin city, Virginia",494,28,72,51,620
"Harrisonburg city, Virginia",4430,219,72,51,660
"Hopewell city, Virginia",668,53,72,51,670
"Lexington city, Virginia",657,45,72,51,678
"Martinsville city, Virginia",610,41,72,51,690
"Norfolk city, Virginia",10168,640,72,51,710
"Salem city, Virginia",1620,94,72,51,775
"Staunton city, Virginia",1157,85,72,51,790
"Suffolk city, Virginia",3106,161,72,51,800
"Waynesboro city, Virginia",1434,71,72,51,820
"Williamsburg city, Virginia",2867,155,72,51,830
"Winchester city, Virginia",2601,148,72,51,840
"Arlington County, Virginia",12330,660,72,51,013
"Bedford County, Virginia",1328,107,72,51,019
"Campbell County, Virginia",1472,85,72,51,031
"Chesterfield County, Virginia",11861,629,72,51,041
"Culpeper County, Virginia",1490,92,72,51,047
"Cumberland County, Virginia",57,9,72,51,049
"Floyd County, Virginia",199,20,72,51,063
"Franklin County, Virginia",1035,74,72,51,067
"Frederick County, Virginia",2120,136,72,51,069
"Giles County, Virginia",406,29,72,51,071
"Gloucester County, Virginia",1125,64,72,51,073
"Hanover County, Virginia",3820,230,72,51,085
"Henrico County, Virginia",14162,779,72,51,087
"Isle of Wight County, Virginia",1097,60,72,51,093
"Lancaster County, Virginia",515,39,72,51,103
"Lee County, Virginia",247,18,72,51,105
"Loudoun County, Virginia",14685,802,72,51,107
"Louisa County, Virginia",544,44,72,51,109
"Mathews County, Virginia",146,18,72,51,115
"Mecklenburg County, Virginia",1038,76,72,51,117
"Montgomery County, Virginia",4082,221,72,51,121
"Nelson County, Virginia",920,24,72,51,125
"New Kent County, Virginia",409,38,72,51,127
"Nottoway County, Virginia",279,29,72,51,135
"Prince William County, Virginia",13628,789,72,51,153
"Roanoke County, Virginia",2718,165,72,51,161
"Rockbridge County, Virginia",656,55,72,51,163
"Rockingham County, Virginia",2387,98,72,51,165
"Sussex County, Virginia",189,16,72,51,183
"Tazewell County, Virginia",1192,63,72,51,185
"Washington County, Virginia",1413,94,72,51,191
"York County, Virginia",3178,179,72,51,199
"Charlottesville city, Virginia",4423,300,72,51,540
"Chesapeake city, Virginia",9825,514,72,51,550
"Danville city, Virginia",2975,147,72,51,590
"Fredericksburg city, Virginia",3784,185,72,51,630
"Galax city, Virginia",515,33,72,51,640
"Hampton city, Virginia",5380,279,72,51,650
"Lynchburg city, Virginia",5535,273,72,51,680
"Manassas city, Virginia",1875,137,72,51,683
"Manassas Park city, Virginia",60,8,72,51,685
"Norton city, Virginia",342,22,72,51,720
"Petersburg city, Virginia",784,85,72,51,730
"Poquoson city, Virginia",297,28,72,51,735
"Portsmouth city, Virginia",2243,166,72,51,740
"Radford city, Virginia",753,41,72,51,750
"Richmond city, Virginia",10793,710,72,51,760
"Roanoke city, Virginia",5356,291,72,51,770
"Newport News city, Virginia",7571,418,72,51,700
"Virginia Beach city, Virginia",23263,1317,72,51,810
"Fairfax County, Virginia",37850,2440,72,51,059
"Spotsylvania County, Virginia",4325,211,72,51,177
"Alexandria city, Virginia",7386,401,72,51,510
"Adams County, Pennsylvania",3743,215,72,42,001
"Allegheny County, Pennsylvania",48629,3309,72,42,003
"Montour County, Pennsylvania",605,35,72,42,093
"Armstrong County, Pennsylvania",1172,108,72,42,005
"Beaver County, Pennsylvania",4131,322,72,42,007
"Bedford County, Pennsylvania",1474,106,72,42,009
"Clinton County, Pennsylvania",1076,82,72,42,035
"Franklin County, Pennsylvania",4017,277,72,42,055
"Greene County, Pennsylvania",1341,65,72,42,059
"Wyoming County, Pennsylvania",543,66,72,42,131
"York County, Pennsylvania",12749,762,72,42,133
"Berks County, Pennsylvania",11389,772,72,42,011
"Blair County, Pennsylvania",4320,287,72,42,013
"Bradford County, Pennsylvania",1177,118,72,42,015
"Bucks County, Pennsylvania",19826,1448,72,42,017
"Butler County, Pennsylvania",6744,387,72,42,019
"Cambria County, Pennsylvania",3720,289,72,42,021
"Cameron County, Pennsylvania",74,14,72,42,023
"Carbon County, Pennsylvania",1531,133,72,42,025
"Centre County, Pennsylvania",5092,328,72,42,027
"Chester County, Pennsylvania",13067,1043,72,42,029
"Clarion County, Pennsylvania",1040,83,72,42,031
"Clearfield County, Pennsylvania",2170,181,72,42,033
"Columbia County, Pennsylvania",2138,166,72,42,037
"Crawford County, Pennsylvania",1922,170,72,42,039
"Cumberland County, Pennsylvania",8618,579,72,42,041
"Dauphin County, Pennsylvania",10253,694,72,42,043
"Delaware County, Pennsylvania",15719,1170,72,42,045
"Elk County, Pennsylvania",819,80,72,42,047
"Erie County, Pennsylvania",9768,617,72,42,049
"Fayette County, Pennsylvania",4241,255,72,42,051
"Forest County, Pennsylvania",130,24,72,42,053
"Fulton County, Pennsylvania",237,20,72,42,057
"Huntingdon County, Pennsylvania",1167,83,72,42,061
"Indiana County, Pennsylvania",2203,151,72,42,063
"Jefferson County, Pennsylvania",872,99,72,42,065
"Juniata County, Pennsylvania",316,29,72,42,067
"Lackawanna County, Pennsylvania",6555,551,72,42,069
"Lancaster County, Pennsylvania",16324,1093,72,42,071
"Lawrence County, Pennsylvania",2337,161,72,42,073
"Lebanon County, Pennsylvania",3421,230,72,42,075
"Lehigh County, Pennsylvania",11588,805,72,42,077
"Luzerne County, Pennsylvania",9951,741,72,42,079
"Lycoming County, Pennsylvania",4252,271,72,42,081
"McKean County, Pennsylvania",1036,90,72,42,083
"Mercer County, Pennsylvania",4039,253,72,42,085
"Mifflin County, Pennsylvania",1187,87,72,42,087
"Monroe County, Pennsylvania",8234,405,72,42,089
"Montgomery County, Pennsylvania",27418,1975,72,42,091
"Northampton County, Pennsylvania",11129,731,72,42,095
"Northumberland County, Pennsylvania",1384,173,72,42,097
"Perry County, Pennsylvania",525,70,72,42,099
"Philadelphia County, Pennsylvania",42930,3913,72,42,101
