NAME,EMP,ESTAB,NAICS2017,state,county
"Accomack County, Virginia",173,17,48-49,51,001
"Albemarle County, Virginia",704,52,48-49,51,003
"Bland County, Virginia",4,5,48-49,51,021
"Greensville County, Virginia",536,17,48-49,51,081
"Highland County, Virginia",32,3,48-49,51,091
"Patrick County, Virginia",88,14,48-49,51,141
"Scott County, Virginia",85,11,48-49,51,169
"Southampton County, Virginia",114,18,48-49,51,175
"Surry County, Virginia",9,7,48-49,51,181
"Wythe County, Virginia",360,28,48-49,51,197
"Covington city, Virginia",229,7,48-49,51,580
"Lexington city, Virginia",21,3,48-49,51,678
"Petersburg city, Virginia",290,20,48-49,51,730
"Alleghany County, Virginia",11,6,48-49,51,005
"Amelia County, Virginia",85,15,48-49,51,007
"Amherst County, Virginia",196,25,48-49,51,009
"Appomattox County, Virginia",29,10,48-49,51,011
"Brunswick County, Virginia",118,28,48-49,51,025
"Buchanan County, Virginia",125,49,48-49,51,027
"Buckingham County, Virginia",58,20,48-49,51,029
"Caroline County, Virginia",294,24,48-49,51,033
"Carroll County, Virginia",133,18,48-49,51,035
"Charles City County, Virginia",266,15,48-49,51,036
"Charlotte County, Virginia",211,23,48-49,51,037
"Cumberland County, Virginia",63,13,48-49,51,049
"Dickenson County, Virginia",116,18,48-49,51,051
"Dinwiddie County, Virginia",1672,37,48-49,51,053
"Floyd County, Virginia",9,8,48-49,51,063
"Fluvanna County, Virginia",48,11,48-49,51,065
"Goochland County, Virginia",772,25,48-49,51,075
"Grayson County, Virginia",113,12,48-49,51,077
"King and Queen County, Virginia",55,8,48-49,51,097
"King George County, Virginia",167,14,48-49,51,099
"King William County, Virginia",79,18,48-49,51,101
"Lancaster County, Virginia",68,8,48-49,51,103
"Lee County, Virginia",73,9,48-49,51,105
"Lunenburg County, Virginia",48,14,48-49,51,111
"Madison County, Virginia",29,5,48-49,51,113
"Mathews County, Virginia",11,5,48-49,51,115
"Nelson County, Virginia",38,13,48-49,51,125
"New Kent County, Virginia",61,17,48-49,51,127
"Northumberland County, Virginia",19,13,48-49,51,133
"Nottoway County, Virginia",30,12,48-49,51,135
"Page County, Virginia",161,21,48-49,51,139
"Prince George County, Virginia",1119,33,48-49,51,149
"Pulaski County, Virginia",540,24,48-49,51,155
"Richmond County, Virginia",72,4,48-49,51,159
"Rockbridge County, Virginia",95,16,48-49,51,163
"Russell County, Virginia",401,36,48-49,51,167
"Sussex County, Virginia",69,8,48-49,51,183
"Buena Vista city, Virginia",15,3,48-49,51,530
"Hopewell city, Virginia",16,13,48-49,51,670
"Manassas Park city, Virginia",72,8,48-49,51,685
"Martinsville city, Virginia",432,11,48-49,51,690
"Poquoson city, Virginia",20,5,48-49,51,735
"Radford city, Virginia",35,5,48-49,51,750
"Williamsburg city, Virginia",15,4,48-49,51,830
"Franklin County, Virginia",200,38,48-49,51,067
"Rockingham County, Virginia",3438,94,48-49,51,165
"Shenandoah County, Virginia",432,48,48-49,51,171
"Stafford County, Virginia",1115,78,48-49,51,179
"Warren County, Virginia",1788,43,48-49,51,187
"Alexandria city, Virginia",1264,58,48-49,51,510
"Bristol city, Virginia",387,10,48-49,51,520
"Lynchburg city, Virginia",953,48,48-49,51,680
"Newport News city, Virginia",1425,98,48-49,51,700
"Roanoke city, Virginia",3515,92,48-49,51,770
"Waynesboro city, Virginia",602,21,48-49,51,820
"Winchester city, Virginia",138,18,48-49,51,840
"Arlington County, Virginia",4585,78,48-49,51,013
"Augusta County, Virginia",2755,87,48-49,51,015
"Bedford County, Virginia",292,43,48-49,51,019
"Botetourt County, Virginia",1077,34,48-49,51,023
"Campbell County, Virginia",595,37,48-49,51,031
"Chesterfield County, Virginia",8639,278,48-49,51,041
"Clarke County, Virginia",41,11,48-49,51,043
"Culpeper County, Virginia",201,38,48-49,51,047
"Essex County, Virginia",47,10,48-49,51,057
"Fairfax County, Virginia",9843,446,48-49,51,059
"Fauquier County, Virginia",362,57,48-49,51,061
"Frederick County, Virginia",2558,102,48-49,51,069
"Giles County, Virginia",31,6,48-49,51,071
"Gloucester County, Virginia",175,23,48-49,51,073
"Greene County, Virginia",118,10,48-49,51,079
"Halifax County, Virginia",1266,37,48-49,51,083
"Hanover County, Virginia",3492,102,48-49,51,085
