fips,NAME,median_age
47163,"Sullivan County, Tennessee",45.2
47165,"Sumner County, Tennessee",39.8
47167,"Tipton County, Tennessee",38.4
47169,"Trousdale County, Tennessee",34.6
47171,"Unicoi County, Tennessee",47.4
47173,"Union County, Tennessee",42.6
47175,"Van Buren County, Tennessee",47.4
47177,"Warren County, Tennessee",40.3
47179,"Washington County, Tennessee",40.1
47181,"Wayne County, Tennessee",44.3
47183,"Weakley County, Tennessee",37.9
47185,"White County, Tennessee",43.0
47187,"Williamson County, Tennessee",40.0
47189,"Wilson County, Tennessee",40.0
37001,"Alamance County, North Carolina",39.1
37003,"Alexander County, North Carolina",43.9
37005,"Alleghany County, North Carolina",50.6
37007,"Anson County, North Carolina",41.1
37009,"Ashe County, North Carolina",49.6
37011,"Avery County, North Carolina",46.5
37013,"Beaufort County, North Carolina",46.9
37015,"Bertie County, North Carolina",45.9
37017,"Bladen County, North Carolina",45.0
37019,"Brunswick County, North Carolina",55.7
37021,"Buncombe County, North Carolina",42.3
37023,"Burke County, North Carolina",45.1
37025,"Cabarrus County, North Carolina",37.6
37027,"Caldwell County, North Carolina",45.1
37029,"Camden County, North Carolina",41.1
37031,"Carteret County, North Carolina",49.9
37033,"Caswell County, North Carolina",46.4
37035,"Catawba County, North Carolina",41.5
37037,"Chatham County, North Carolina",47.6
37039,"Cherokee County, North Carolina",52.9
37041,"Chowan County, North Carolina",48.7
37043,"Clay County, North Carolina",54.1
37045,"Cleveland County, North Carolina",41.4
37047,"Columbus County, North Carolina",41.8
37049,"Craven County, North Carolina",38.5
37051,"Cumberland County, North Carolina",31.7
37053,"Currituck County, North Carolina",42.5
37055,"Dare County, North Carolina",48.1
37057,"Davidson County, North Carolina",42.6
37059,"Davie County, North Carolina",45.2
37061,"Duplin County, North Carolina",40.6
37063,"Durham County, North Carolina",35.8
37065,"Edgecombe County, North Carolina",41.6
37067,"Forsyth County, North Carolina",38.4
37069,"Franklin County, North Carolina",41.0
37071,"Gaston County, North Carolina",39.9
37073,"Gates County, North Carolina",47.3
37075,"Graham County, North Carolina",45.3
37077,"Granville County, North Carolina",42.5
37079,"Greene County, North Carolina",40.0
37081,"Guilford County, North Carolina",37.2
37083,"Halifax County, North Carolina",43.6
37085,"Harnett County, North Carolina",35.2
37087,"Haywood County, North Carolina",47.7
37089,"Henderson County, North Carolina",47.7
37091,"Hertford County, North Carolina",41.7
37093,"Hoke County, North Carolina",33.5
37095,"Hyde County, North Carolina",46.8
37097,"Iredell County, North Carolina",40.8
37099,"Jackson County, North Carolina",39.2
37101,"Johnston County, North Carolina",38.4
37103,"Jones County, North Carolina",47.9
37105,"Lee County, North Carolina",39.6
37107,"Lenoir County, North Carolina",42.7
37109,"Lincoln County, North Carolina",44.3
37111,"McDowell County, North Carolina",44.3
37113,"Macon County, North Carolina",50.6
37115,"Madison County, North Carolina",44.6
37117,"Martin County, North Carolina",46.7
37119,"Mecklenburg County, North Carolina",35.4
37121,"Mitchell County, North Carolina",47.4
37123,"Montgomery County, North Carolina",43.7
37125,"Moore County, North Carolina",43.0
37127,"Nash County, North Carolina",41.7
37129,"New Hanover County, North Carolina",40.2
37131,"Northampton County, North Carolina",51.3
37133,"Onslow County, North Carolina",26.9
37135,"Orange County, North Carolina",36.2
37137,"Pamlico County, North Carolina",54.2
37139,"Pasquotank County, North Carolina",39.0
37141,"Pender County, North Carolina",42.6
37143,"Perquimans County, North Carolina",49.8
37145,"Person County, North Carolina",43.7
37147,"Pitt County, North Carolina",33.2
37149,"Polk County, North Carolina",54.2
37151,"Randolph County, North Carolina",41.4
37153,"Richmond County, North Carolina",40.1
37155,"Robeson County, North Carolina",36.8
37157,"Rockingham County, North Carolina",45.1
37159,"Rowan County, North Carolina",40.7
37161,"Rutherford County, North Carolina",44.9
37163,"Sampson County, North Carolina",39.6
37165,"Scotland County, North Carolina",39.0
37167,"Stanly County, North Carolina",41.4
37169,"Stokes County, North Carolina",47.4
37171,"Surry County, North Carolina",43.8
37173,"Swain County, North Carolina",41.6
37175,"Transylvania County, North Carolina",52.4
37177,"Tyrrell County, North Carolina",45.3
37179,"Union County, North Carolina",38.9
37181,"Vance County, North Carolina",40.7
37183,"Wake County, North Carolina",37.0
37185,"Warren County, North Carolina",48.6
37187,"Washington County, North Carolina",48.0
37189,"Watauga County, North Carolina",32.1
37191,"Wayne County, North Carolina",37.5
37193,"Wilkes County, North Carolina",45.3
37195,"Wilson County, North Carolina",40.9
37197,"Yadkin County, North Carolina",44.5
37199,"Yancey County, North Carolina",48.0
45001,"Abbeville County, South Carolina",44.5
45003,"Aiken County, South Carolina",41.8
45005,"Allendale County, South Carolina",43.1
45007,"Anderson County, South Carolina",40.6
45009,"Bamberg County, South Carolina",40.8
45011,"Barnwell County, South Carolina",40.9
45013,"Beaufort County, South Carolina",46.8
45015,"Berkeley County, South Carolina",36.7
45017,"Calhoun County, South Carolina",46.8
45019,"Charleston County, South Carolina",38.9
45021,"Cherokee County, South Carolina",40.0
45023,"Chester County, South Carolina",41.8
45025,"Chesterfield County, South Carolina",42.6
45027,"Clarendon County, South Carolina",45.5
45029,"Colleton County, South Carolina",41.6
45031,"Darlington County, South Carolina",41.4
45033,"Dillon County, South Carolina",37.5
45035,"Dorchester County, South Carolina",37.7
45037,"Edgefield County, South Carolina",42.9
45039,"Fairfield County, South Carolina",46.6
45041,"Florence County, South Carolina",39.0
45043,"Georgetown County, South Carolina",51.0
45045,"Greenville County, South Carolina",38.5
45047,"Greenwood County, South Carolina",40.2
45049,"Hampton County, South Carolina",40.2
45051,"Horry County, South Carolina",47.6
45053,"Jasper County, South Carolina",43.6
45055,"Kershaw County, South Carolina",40.6
45057,"Lancaster County, South Carolina",42.2
45059,"Laurens County, South Carolina",41.2
45061,"Lee County, South Carolina",41.5
45063,"Lexington County, South Carolina",39.4
45065,"McCormick County, South Carolina",57.9
45067,"Marion County, South Carolina",41.6
45069,"Marlboro County, South Carolina",41.5
45071,"Newberry County, South Carolina",42.6
45073,"Oconee County, South Carolina",46.2
45075,"Orangeburg County, South Carolina",40.5
45077,"Pickens County, South Carolina",36.1
45079,"Richland County, South Carolina",33.9
45081,"Saluda County, South Carolina",43.3
45083,"Spartanburg County, South Carolina",38.0
45085,"Sumter County, South Carolina",36.9
45087,"Union County, South Carolina",44.2
45089,"Williamsburg County, South Carolina",43.2
45091,"York County, South Carolina",39.2
13001,"Appling County, Georgia",39.6
13003,"Atkinson County, Georgia",35.5
13005,"Bacon County, Georgia",38.1
13007,"Baker County, Georgia",47.0
13009,"Baldwin County, Georgia",36.1
13011,"Banks County, Georgia",42.3
13013,"Barrow County, Georgia",36.2
13015,"Bartow County, Georgia",38.2
13017,"Ben Hill County, Georgia",38.7
13019,"Berrien County, Georgia",39.8
13021,"Bibb County, Georgia",36.5
13023,"Bleckley County, Georgia",37.7
13025,"Brantley County, Georgia",40.2
13027,"Brooks County, Georgia",42.6
13029,"Bryan County, Georgia",34.4
13031,"Bulloch County, Georgia",29.7
13033,"Burke County, Georgia",38.8
13035,"Butts County, Georgia",38.7
13037,"Calhoun County, Georgia",39.2
13039,"Camden County, Georgia",34.0
13043,"Candler County, Georgia",41.6
13045,"Carroll County, Georgia",35.2
13047,"Catoosa County, Georgia",40.8
13049,"Charlton County, Georgia",39.4
13051,"Chatham County, Georgia",36.7
13053,"Chattahoochee County, Georgia",23.9
13055,"Chattooga County, Georgia",40.2
13057,"Cherokee County, Georgia",39.7
13059,"Clarke County, Georgia",28.9
13061,"Clay County, Georgia",42.7
13063,"Clayton County, Georgia",33.0
13065,"Clinch County, Georgia",38.4
13067,"Cobb County, Georgia",37.2
13069,"Coffee County, Georgia",36.4
13071,"Colquitt County, Georgia",37.1
13073,"Columbia County, Georgia",37.4
13075,"Cook County, Georgia",37.3
13077,"Coweta County, Georgia",39.1
13079,"Crawford County, Georgia",45.8
13081,"Crisp County, Georgia",40.4
13083,"Dade County, Georgia",42.5
13085,"Dawson County, Georgia",43.9
13087,"Decatur County, Georgia",38.3
13089,"DeKalb County, Georgia",36.3
13091,"Dodge County, Georgia",42.0
13093,"Dooly County, Georgia",45.1
13095,"Dougherty County, Georgia",36.2
13097,"Douglas County, Georgia",36.7
13099,"Early County, Georgia",40.4
13101,"Echols County, Georgia",34.7
13103,"Effingham County, Georgia",36.4
13105,"Elbert County, Georgia",42.8
13107,"Emanuel County, Georgia",37.4
13109,"Evans County, Georgia",36.6
13111,"Fannin County, Georgia",53.8
