NAME,EMP,ESTAB,NAICS2017,state,county
"Accomack County, Virginia",1336,145,44-45,51,001
"Albemarle County, Virginia",6567,335,44-45,51,003
"Appomattox County, Virginia",703,54,44-45,51,011
"Bath County, Virginia",72,17,44-45,51,017
"Bland County, Virginia",131,15,44-45,51,021
"Brunswick County, Virginia",248,43,44-45,51,025
"Buchanan County, Virginia",655,61,44-45,51,027
"Charlotte County, Virginia",290,36,44-45,51,037
"Cumberland County, Virginia",152,27,44-45,51,049
"Dinwiddie County, Virginia",604,52,44-45,51,053
"Floyd County, Virginia",445,48,44-45,51,063
"Gloucester County, Virginia",2218,142,44-45,51,073
"Greensville County, Virginia",248,20,44-45,51,081
"Highland County, Virginia",36,13,44-45,51,091
"King George County, Virginia",975,59,44-45,51,099
"Lee County, Virginia",712,61,44-45,51,105
"Lunenburg County, Virginia",291,30,44-45,51,111
"Nottoway County, Virginia",673,61,44-45,51,135
"Orange County, Virginia",1462,119,44-45,51,137
"Page County, Virginia",773,68,44-45,51,139
"Russell County, Virginia",905,80,44-45,51,167
"Scott County, Virginia",627,65,44-45,51,169
"Surry County, Virginia",42,11,44-45,51,181
"Sussex County, Virginia",267,33,44-45,51,183
"Wise County, Virginia",1745,133,44-45,51,195
"Buena Vista city, Virginia",178,19,44-45,51,530
"Covington city, Virginia",574,36,44-45,51,580
"Emporia city, Virginia",679,52,44-45,51,595
"Franklin city, Virginia",1022,57,44-45,51,620
"Galax city, Virginia",1091,75,44-45,51,640
"Hopewell city, Virginia",653,68,44-45,51,670
"Lexington city, Virginia",396,37,44-45,51,678
"Martinsville city, Virginia",1345,85,44-45,51,690
"Norton city, Virginia",767,39,44-45,51,720
"Poquoson city, Virginia",251,25,44-45,51,735
"Williamsburg city, Virginia",1304,103,44-45,51,830
"Alleghany County, Virginia",345,43,44-45,51,005
"Amelia County, Virginia",263,27,44-45,51,007
"Amherst County, Virginia",1231,87,44-45,51,009
"Arlington County, Virginia",8249,497,44-45,51,013
"Augusta County, Virginia",2282,173,44-45,51,015
"Botetourt County, Virginia",728,77,44-45,51,023
"Buckingham County, Virginia",351,43,44-45,51,029
"Campbell County, Virginia",2208,181,44-45,51,031
"Carroll County, Virginia",801,78,44-45,51,035
"Charles City County, Virginia",144,9,44-45,51,036
"Clarke County, Virginia",413,45,44-45,51,043
"Craig County, Virginia",130,8,44-45,51,045
"Culpeper County, Virginia",2547,150,44-45,51,047
"Dickenson County, Virginia",427,41,44-45,51,051
"Fluvanna County, Virginia",404,34,44-45,51,065
"Franklin County, Virginia",2095,176,44-45,51,067
"Giles County, Virginia",651,62,44-45,51,071
"Goochland County, Virginia",774,62,44-45,51,075
"Grayson County, Virginia",127,22,44-45,51,077
"Greene County, Virginia",868,53,44-45,51,079
"Halifax County, Virginia",1436,125,44-45,51,083
