state,county,NAME,EMP_ambulatory,EMP_hospitals,total_healthcare_employment
13,255,"Spalding County, Georgia",1746,0.0,1746.0
13,257,"Stephens County, Georgia",448,0.0,448.0
13,259,"Stewart County, Georgia",41,0.0,41.0
13,261,"Sumter County, Georgia",471,0.0,471.0
13,267,"Tattnall County, Georgia",134,0.0,134.0
13,269,"Taylor County, Georgia",34,0.0,34.0
13,271,"Telfair County, Georgia",30,0.0,30.0
13,273,"Terrell County, Georgia",32,0.0,32.0
13,275,"Thomas County, Georgia",1120,0.0,1120.0
13,277,"Tift County, Georgia",1645,0.0,1645.0
13,279,"Toombs County, Georgia",770,0.0,770.0
13,281,"Towns County, Georgia",170,0.0,170.0
13,283,"Treutlen County, Georgia",11,0.0,11.0
13,285,"Troup County, Georgia",1372,0.0,1372.0
13,287,"Turner County, Georgia",45,0.0,45.0
13,291,"Union County, Georgia",436,0.0,436.0
13,293,"Upson County, Georgia",447,0.0,447.0
13,295,"Walker County, Georgia",217,0.0,217.0
13,297,"Walton County, Georgia",985,0.0,985.0
13,299,"Ware County, Georgia",1189,0.0,1189.0
13,303,"Washington County, Georgia",261,0.0,261.0
13,305,"Wayne County, Georgia",514,0.0,514.0
13,311,"White County, Georgia",229,0.0,229.0
13,313,"Whitfield County, Georgia",2238,0.0,2238.0
13,315,"Wilcox County, Georgia",18,0.0,18.0
13,317,"Wilkes County, Georgia",134,0.0,134.0
13,319,"Wilkinson County, Georgia",36,0.0,36.0
13,321,"Worth County, Georgia",67,0.0,67.0
21,001,"Adair County, Kentucky",236,0.0,236.0
21,003,"Allen County, Kentucky",39,0.0,39.0
21,005,"Anderson County, Kentucky",155,0.0,155.0
21,007,"Ballard County, Kentucky",27,0.0,27.0
21,009,"Barren County, Kentucky",834,0.0,834.0
21,011,"Bath County, Kentucky",94,0.0,94.0
21,013,"Bell County, Kentucky",636,0.0,636.0
21,015,"Boone County, Kentucky",2036,0.0,2036.0
21,017,"Bourbon County, Kentucky",155,0.0,155.0
21,019,"Boyd County, Kentucky",1290,0.0,1290.0
21,021,"Boyle County, Kentucky",1177,0.0,1177.0
21,025,"Breathitt County, Kentucky",241,0.0,241.0
21,027,"Breckinridge County, Kentucky",165,0.0,165.0
21,029,"Bullitt County, Kentucky",1134,0.0,1134.0
21,031,"Butler County, Kentucky",79,0.0,79.0
21,033,"Caldwell County, Kentucky",147,0.0,147.0
21,035,"Calloway County, Kentucky",348,0.0,348.0
21,037,"Campbell County, Kentucky",1092,0.0,1092.0
21,039,"Carlisle County, Kentucky",18,0.0,18.0
21,041,"Carroll County, Kentucky",49,0.0,49.0
21,043,"Carter County, Kentucky",232,0.0,232.0
21,045,"Casey County, Kentucky",141,0.0,141.0
21,047,"Christian County, Kentucky",679,1485.0,2164.0
21,049,"Clark County, Kentucky",611,0.0,611.0
21,051,"Clay County, Kentucky",205,444.0,649.0
21,053,"Clinton County, Kentucky",151,0.0,151.0
21,055,"Crittenden County, Kentucky",36,0.0,36.0
21,057,"Cumberland County, Kentucky",63,0.0,63.0
21,059,"Daviess County, Kentucky",2992,0.0,2992.0
21,061,"Edmonson County, Kentucky",59,0.0,59.0
21,063,"Elliott County, Kentucky",48,0.0,48.0
21,065,"Estill County, Kentucky",169,0.0,169.0
21,067,"Fayette County, Kentucky",10814,14913.0,25727.0
21,069,"Fleming County, Kentucky",114,0.0,114.0
21,071,"Floyd County, Kentucky",776,962.0,1738.0
21,073,"Franklin County, Kentucky",889,0.0,889.0
21,075,"Fulton County, Kentucky",96,0.0,96.0
21,077,"Gallatin County, Kentucky",88,0.0,88.0
21,079,"Garrard County, Kentucky",69,0.0,69.0
21,081,"Grant County, Kentucky",203,0.0,203.0
21,083,"Graves County, Kentucky",357,0.0,357.0
21,085,"Grayson County, Kentucky",379,0.0,379.0
21,087,"Green County, Kentucky",112,0.0,112.0
21,089,"Greenup County, Kentucky",474,0.0,474.0
21,091,"Hancock County, Kentucky",57,0.0,57.0
21,093,"Hardin County, Kentucky",2664,3797.0,6461.0
21,095,"Harlan County, Kentucky",422,0.0,422.0
21,097,"Harrison County, Kentucky",240,0.0,240.0
21,099,"Hart County, Kentucky",177,0.0,177.0
21,101,"Henderson County, Kentucky",820,0.0,820.0
21,103,"Henry County, Kentucky",87,0.0,87.0
21,107,"Hopkins County, Kentucky",823,0.0,823.0
21,109,"Jackson County, Kentucky",76,0.0,76.0
21,111,"Jefferson County, Kentucky",28388,20594.0,48982.0
21,113,"Jessamine County, Kentucky",640,0.0,640.0
21,115,"Johnson County, Kentucky",191,0.0,191.0
21,117,"Kenton County, Kentucky",4560,4792.0,9352.0
21,119,"Knott County, Kentucky",82,0.0,82.0
21,121,"Knox County, Kentucky",550,0.0,550.0
21,123,"Larue County, Kentucky",44,0.0,44.0
21,125,"Laurel County, Kentucky",1376,623.0,1999.0
21,127,"Lawrence County, Kentucky",225,0.0,225.0
21,129,"Lee County, Kentucky",173,0.0,173.0
21,131,"Leslie County, Kentucky",81,0.0,81.0
21,133,"Letcher County, Kentucky",427,0.0,427.0
21,135,"Lewis County, Kentucky",137,0.0,137.0
21,137,"Lincoln County, Kentucky",218,0.0,218.0
21,139,"Livingston County, Kentucky",35,0.0,35.0
21,141,"Logan County, Kentucky",233,0.0,233.0
21,143,"Lyon County, Kentucky",107,0.0,107.0
21,145,"McCracken County, Kentucky",2703,2155.0,4858.0
21,147,"McCreary County, Kentucky",117,0.0,117.0
21,149,"McLean County, Kentucky",32,0.0,32.0
21,151,"Madison County, Kentucky",1627,0.0,1627.0
21,153,"Magoffin County, Kentucky",206,0.0,206.0
21,155,"Marion County, Kentucky",244,0.0,244.0
21,157,"Marshall County, Kentucky",184,0.0,184.0
21,159,"Martin County, Kentucky",103,0.0,103.0
21,161,"Mason County, Kentucky",601,0.0,601.0
