fips,pct_millennial_genz_2017,NAME,pct_millennial_genz_2022,millennial_genz_balance_change
10001,47.34528863091628,"Kent County, Delaware",51.56962719298246,4.22433856206618
10003,46.26366578023768,"New Castle County, Delaware",51.250948617778455,4.987282837540775
10005,36.500410575687425,"Sussex County, Delaware",39.0180663819037,2.5176558062162755
13001,45.5470737913486,"Appling County, Georgia",50.85407515861395,5.30700136726535
13003,50.29471911463972,"Atkinson County, Georgia",55.547489413188146,5.252770298548427
13005,46.59987587552088,"Bacon County, Georgia",51.90339378703538,5.303517911514497
13007,41.064287911411874,"Baker County, Georgia",41.79986101459347,0.7355731031815935
13009,49.88468381400048,"Baldwin County, Georgia",54.40403855817991,4.519354744179431
13011,42.7816805532865,"Banks County, Georgia",47.29340079429846,4.511720241011965
13013,49.81291362068736,"Barrow County, Georgia",55.154681927510985,5.341768306823624
13015,46.50809272775109,"Bartow County, Georgia",52.25847728726808,5.750384559516988
13017,45.20611394163965,"Ben Hill County, Georgia",51.907507717397635,6.701393775757985
13019,43.946565688440096,"Berrien County, Georgia",50.31066146148348,6.364095773043381
13021,48.65939463238112,"Bibb County, Georgia",54.44766661982447,5.788271987443345
13023,47.132013459582126,"Bleckley County, Georgia",51.84081205188109,4.708798592298962
13025,44.19097278800717,"Brantley County, Georgia",49.56089478044739,5.369921992440219
13027,40.64879390875936,"Brooks County, Georgia",47.02304147465438,6.374247565895018
13029,50.233638161855346,"Bryan County, Georgia",58.70874541615735,8.475107254302003
13031,58.70602912858344,"Bulloch County, Georgia",62.833055656465696,4.127026527882258
13033,47.56016780746302,"Burke County, Georgia",51.300488967415866,3.740321159952849
13035,44.93122771268467,"Butts County, Georgia",51.76710289162292,6.835875178938252
13037,44.379517145932645,"Calhoun County, Georgia",51.7518770110833,7.372359865150656
13039,53.53096532190156,"Camden County, Georgia",58.43026948552763,4.89930416362607
13043,45.3185239581421,"Candler County, Georgia",47.980997624703086,2.6624736665609845
13045,50.659715573813294,"Carroll County, Georgia",56.41096118607363,5.751245612260334
13047,43.73462881433126,"Catoosa County, Georgia",48.289543290424966,4.554914476093707
13049,41.96559438401605,"Charlton County, Georgia",50.4582768789352,8.492682494919151
13051,50.23432081987769,"Chatham County, Georgia",54.08146733003449,3.8471465101568043
13053,77.2801009372747,"Chattahoochee County, Georgia",83.45032971708147,6.170228779806777
13055,43.43649517684888,"Chattooga County, Georgia",49.70283511364549,6.266339936796612
13057,45.56245124970326,"Cherokee County, Georgia",50.41907605923289,4.8566248095296345
13059,61.376402220891265,"Clarke County, Georgia",64.68757760119196,3.3111753803006962
13061,41.93121693121693,"Clay County, Georgia",45.60420315236428,3.6729862211473474
13063,53.61480941090644,"Clayton County, Georgia",59.36580361240854,5.7509942015021025
13065,47.8491455509723,"Clinch County, Georgia",52.74839862952481,4.899253078552505
13067,47.9966769137513,"Cobb County, Georgia",54.00613465689405,6.009457743142747
13069,48.94536331536889,"Coffee County, Georgia",53.61389817911557,4.668534863746686
13071,48.603181521028546,"Colquitt County, Georgia",54.892716041298314,6.289534520269768
13073,47.91717400833548,"Columbia County, Georgia",53.37016715417312,5.452993145837638
13075,46.666666666666664,"Cook County, Georgia",52.818698526853034,6.152031860186369
13077,45.89646052965257,"Coweta County, Georgia",51.21228356923411,5.315823039581538
13079,40.355268469923296,"Crawford County, Georgia",44.151036525172756,3.795768055249461
13081,45.846555096718106,"Crisp County, Georgia",49.00024685262898,3.1536917559108772
13083,42.015722884166564,"Dade County, Georgia",47.79850976045323,5.782786876286664
13085,40.03504722827713,"Dawson County, Georgia",45.88557850484372,5.850531276566592
13087,46.55663693890389,"Decatur County, Georgia",52.4722155317758,5.91557859287191
13089,49.145049492844386,"DeKalb County, Georgia",55.491724349028985,6.346674856184599
13091,42.4298532972511,"Dodge County, Georgia",48.13034990238775,5.7004966051366495
13093,39.037927844588346,"Dooly County, Georgia",43.262726949092205,4.224799104503859
13095,50.001092633465184,"Dougherty County, Georgia",54.75552106117265,4.754428427707467
13097,48.17697927963925,"Douglas County, Georgia",54.27436349189899,6.09738421225974
13099,43.306102835175395,"Early County, Georgia",49.07467683437181,5.768573999196413
13101,45.400149588631265,"Echols County, Georgia",55.54356622605881,10.143416637427542
13103,48.66957450908263,"Effingham County, Georgia",55.15969011238019,6.490115603297561
13105,41.4765657403567,"Elbert County, Georgia",45.47266223811957,3.9960964977628706
13107,47.053595235979024,"Emanuel County, Georgia",52.82228139869909,5.768686162720066
13109,47.72706144835921,"Evans County, Georgia",54.28943210335533,6.562370654996123
13111,32.38562091503268,"Fannin County, Georgia",34.44724013209624,2.0616192170635586
13113,40.99142385726978,"Fayette County, Georgia",45.81289462430508,4.821470767035301
13115,46.26053425381721,"Floyd County, Georgia",52.598410813772944,6.337876559955731
13117,45.4529105537151,"Forsyth County, Georgia",51.39066047981045,5.93774992609535
13119,43.37155141526335,"Franklin County, Georgia",48.82027257240205,5.448721157138699
13121,49.72595554323945,"Fulton County, Georgia",55.88364358195912,6.1576880387196695
13123,37.536300398460185,"Gilmer County, Georgia",39.87436149624036,2.3380610977801766
13125,39.841427155599604,"Glascock County, Georgia",45.229073372373406,5.387646216773803
13127,43.20150478632274,"Glynn County, Georgia",46.48203769836577,3.2805329120430358
13129,46.46249822770452,"Gordon County, Georgia",51.93562343168643,5.473125203981908
13131,45.68428617055254,"Grady County, Georgia",50.18600191754554,4.501715746993
13133,36.128376763088696,"Greene County, Georgia",38.80651945320715,2.678142690118456
13135,50.11135406998564,"Gwinnett County, Georgia",55.88892008889567,5.777566018910029
