fips,NAME,total_population,hispanic_population,pct_hispanic
42103,"Pike County, Pennsylvania",58996,7048,11.946572648993152
42105,"Potter County, Pennsylvania",16390,255,1.5558267236119585
42107,"Schuylkill County, Pennsylvania",143201,8813,6.154286632076592
42109,"Snyder County, Pennsylvania",39797,931,2.339372314496068
42111,"Somerset County, Pennsylvania",73802,1140,1.544673586081678
42113,"Sullivan County, Pennsylvania",5880,138,2.3469387755102042
42115,"Susquehanna County, Pennsylvania",38540,739,1.9174883238194083
42117,"Tioga County, Pennsylvania",41186,558,1.3548293109308989
42119,"Union County, Pennsylvania",42908,2406,5.6073459494732925
42121,"Venango County, Pennsylvania",50475,563,1.1154036651807826
42123,"Warren County, Pennsylvania",38492,527,1.3691156603969656
42125,"Washington County, Pennsylvania",209631,3917,1.8685213541890275
42127,"Wayne County, Pennsylvania",51227,2518,4.915376656841119
42129,"Westmoreland County, Pennsylvania",354414,4827,1.3619665137381707
42131,"Wyoming County, Pennsylvania",26219,564,2.1511117891605323
42133,"York County, Pennsylvania",457051,38943,8.52049333662983
24001,"Allegany County, Maryland",68161,1377,2.0202168395416735
24003,"Anne Arundel County, Maryland",588109,51224,8.70995002627064
24005,"Baltimore County, Maryland",850737,51697,6.076731116667078
24009,"Calvert County, Maryland",93244,4319,4.631933421989618
24011,"Caroline County, Maryland",33320,2736,8.211284513805522
24013,"Carroll County, Maryland",173225,7169,4.138548131043441
24015,"Cecil County, Maryland",103876,5069,4.879856752281567
24017,"Charles County, Maryland",167035,11269,6.746490256533062
24019,"Dorchester County, Maryland",32557,1992,6.118499861780877
24021,"Frederick County, Maryland",273829,30072,10.982036234292204
24023,"Garrett County, Maryland",28856,362,1.2545051289159967
24025,"Harford County, Maryland",261059,12948,4.959798359757756
24027,"Howard County, Maryland",332011,24823,7.4765595115824475
24029,"Kent County, Maryland",19289,900,4.665871740370159
24031,"Montgomery County, Maryland",1056910,211486,20.009840005298464
24033,"Prince George's County, Maryland",957189,190973,19.951441146941722
24035,"Queen Anne's County, Maryland",50316,2303,4.577072899276572
24037,"St. Mary's County, Maryland",113814,6471,5.685592282144552
24039,"Somerset County, Maryland",24672,988,4.004539559014267
24041,"Talbot County, Maryland",37663,2744,7.285664976236625
24043,"Washington County, Maryland",154645,9630,6.227165443434965
24045,"Wicomico County, Maryland",103815,5949,5.730385782401387
24047,"Worcester County, Maryland",52827,2023,3.829481136540027
24510,"Baltimore city, Maryland",584548,34381,5.881638462538577
10001,"Kent County, Delaware",182400,14162,7.764254385964913
10003,"New Castle County, Delaware",570567,61685,10.811175549935415
10005,"Sussex County, Delaware",240668,22849,9.493991723037546
54001,"Barbour County, West Virginia",15527,182,1.172151735686224
54003,"Berkeley County, West Virginia",123283,6432,5.217264343015663
54005,"Boone County, West Virginia",21705,71,0.3271135683022345
54007,"Braxton County, West Virginia",12505,137,1.095561775289884
54009,"Brooke County, West Virginia",22349,233,1.042552239473802
54011,"Cabell County, West Virginia",93965,1407,1.4973660405470122
54013,"Calhoun County, West Virginia",6279,19,0.3025959547698678
54015,"Clay County, West Virginia",8049,8,0.0993912287240651
54017,"Doddridge County, West Virginia",7847,129,1.6439403593730089
54019,"Fayette County, West Virginia",40545,529,1.3047231471204834
54021,"Gilmer County, West Virginia",7444,294,3.9494895217624935
54023,"Grant County, West Virginia",11034,48,0.4350190320826536
54025,"Greenbrier County, West Virginia",32995,675,2.0457645097742083
54027,"Hampshire County, West Virginia",23275,371,1.593984962406015
54029,"Hancock County, West Virginia",28907,468,1.6189850209291867
54031,"Hardy County, West Virginia",14249,670,4.702084356796968
54033,"Harrison County, West Virginia",65862,1188,1.8037715222738453
54035,"Jackson County, West Virginia",27868,312,1.1195636572412804
54037,"Jefferson County, West Virginia",58043,3747,6.4555588098478704
54039,"Kanawha County, West Virginia",179895,2101,1.1679034992634592
54041,"Lewis County, West Virginia",16920,229,1.3534278959810875
54043,"Lincoln County, West Virginia",20410,253,1.2395884370406662
54045,"Logan County, West Virginia",32350,344,1.063369397217929
54047,"McDowell County, West Virginia",18911,386,2.041140077203744
54049,"Marion County, West Virginia",56194,787,1.4005053920347368
54051,"Marshall County, West Virginia",30509,301,0.9865941197679372
54053,"Mason County, West Virginia",25488,326,1.2790332705586942
54055,"Mercer County, West Virginia",59530,771,1.2951453048882917
54057,"Mineral County, West Virginia",26957,286,1.0609489186482175
54059,"Mingo County, West Virginia",23466,64,0.27273502088127505
54061,"Monongalia County, West Virginia",105988,2413,2.2766728308865156
54063,"Monroe County, West Virginia",12438,244,1.9617301817012383
54065,"Morgan County, West Virginia",17237,331,1.9202877530892848
54067,"Nicholas County, West Virginia",24624,243,0.9868421052631579
54069,"Ohio County, West Virginia",42224,540,1.2788935202728307
54071,"Pendleton County, West Virginia",6156,90,1.461988304093567
54073,"Pleasants County, West Virginia",7622,200,2.623983206507478
54075,"Pocahontas County, West Virginia",7940,59,0.743073047858942
54077,"Preston County, West Virginia",34206,797,2.330000584692744
54079,"Putnam County, West Virginia",57347,737,1.2851587702931278
54081,"Raleigh County, West Virginia",74303,1211,1.629813062729634
54083,"Randolph County, West Virginia",28005,276,0.9855382967327263
54085,"Ritchie County, West Virginia",8507,26,0.3056306571059128
54087,"Roane County, West Virginia",14027,159,1.1335281956227274
54089,"Summers County, West Virginia",11985,280,2.336253650396329
54091,"Taylor County, West Virginia",16602,161,0.9697626791952777
54093,"Tucker County, West Virginia",6747,9,0.1333926189417519
54095,"Tyler County, West Virginia",8336,137,1.643474088291747
54097,"Upshur County, West Virginia",23875,335,1.4031413612565447
54099,"Wayne County, West Virginia",38933,289,0.7423008758636632
54101,"Webster County, West Virginia",8362,53,0.6338196603683329
54103,"Wetzel County, West Virginia",14431,161,1.1156538008454022
54105,"Wirt County, West Virginia",5202,0,0.0
54107,"Wood County, West Virginia",84272,1209,1.4346402126447693
54109,"Wyoming County, West Virginia",21237,182,0.8569948674483213
21001,"Adair County, Kentucky",18887,468,2.4778948483083605
21003,"Allen County, Kentucky",20773,503,2.421412410340346
21005,"Anderson County, Kentucky",23839,514,2.1561307101807965
21007,"Ballard County, Kentucky",7742,125,1.6145698785843452
21009,"Barren County, Kentucky",44511,1608,3.612590146255982
21011,"Bath County, Kentucky",12739,228,1.7897794175366983
21013,"Bell County, Kentucky",24248,329,1.3568129330254042
21015,"Boone County, Kentucky",136150,6174,4.5347043701799485
21017,"Bourbon County, Kentucky",20228,1451,7.1732252323511965
21019,"Boyd County, Kentucky",48242,947,1.9630197752995313
21021,"Boyle County, Kentucky",30613,1036,3.384183190147976
21023,"Bracken County, Kentucky",8420,67,0.7957244655581949
21025,"Breathitt County, Kentucky",13580,157,1.1561119293078057
21027,"Breckinridge County, Kentucky",20528,400,1.9485580670303975
21029,"Bullitt County, Kentucky",82482,2139,2.5932930821270097
21031,"Butler County, Kentucky",12365,467,3.7767893247068334
21033,"Caldwell County, Kentucky",12635,277,2.192322912544519
21035,"Calloway County, Kentucky",37345,1050,2.8116213683223994
21037,"Campbell County, Kentucky",93122,2116,2.272287966323747
21039,"Carlisle County, Kentucky",4782,118,2.46758678377248
21041,"Carroll County, Kentucky",10842,745,6.871425936174138
21043,"Carter County, Kentucky",26671,265,0.9935885418619474
21045,"Casey County, Kentucky",15942,488,3.061096474720863
21047,"Christian County, Kentucky",72766,6145,8.444878102410467
21049,"Clark County, Kentucky",36897,1231,3.336314605523484
21051,"Clay County, Kentucky",20322,250,1.2301938785552602
21053,"Clinton County, Kentucky",9295,309,3.3243679397525554
21055,"Crittenden County, Kentucky",8979,175,1.9489920926606525
21057,"Cumberland County, Kentucky",5974,105,1.757616337462337
21059,"Daviess County, Kentucky",102916,3549,3.4484433907264176
21061,"Edmonson County, Kentucky",12179,191,1.5682732572460791
21063,"Elliott County, Kentucky",7378,70,0.9487666034155597
21065,"Estill County, Kentucky",14138,118,0.834630074975244
21067,"Fayette County, Kentucky",321276,23839,7.420099851840785
21069,"Fleming County, Kentucky",15111,257,1.7007477996161737
21071,"Floyd County, Kentucky",35780,68,0.19005030743432086
21073,"Franklin County, Kentucky",51475,1993,3.87178241864983
21075,"Fulton County, Kentucky",6480,95,1.4660493827160492
21077,"Gallatin County, Kentucky",8720,511,5.860091743119266
21079,"Garrard County, Kentucky",17175,421,2.451237263464338
21081,"Grant County, Kentucky",25085,777,3.097468606737094
21083,"Graves County, Kentucky",36701,2713,7.3921691507043406
21085,"Grayson County, Kentucky",26465,394,1.4887587379557907
21087,"Green County, Kentucky",11198,199,1.7771030541168065
21089,"Greenup County, Kentucky",35853,436,1.2160767578724234
21091,"Hancock County, Kentucky",9058,160,1.7663943475380879
21093,"Hardin County, Kentucky",111005,6658,5.997928021260304
21095,"Harlan County, Kentucky",26589,79,0.29711534845236753
21097,"Harrison County, Kentucky",18803,480,2.5527841301919905
21099,"Hart County, Kentucky",19345,393,2.031532695787025
21101,"Henderson County, Kentucky",44770,1315,2.937234755416574
21103,"Henry County, Kentucky",15731,580,3.6869874769563284
21105,"Hickman County, Kentucky",4491,100,2.22667557336896
21107,"Hopkins County, Kentucky",45223,1021,2.2577007275059153
21109,"Jackson County, Kentucky",13002,140,1.0767574219350868
21111,"Jefferson County, Kentucky",779232,48984,6.286189478871504
21113,"Jessamine County, Kentucky",53381,2095,3.924617373222682
21115,"Johnson County, Kentucky",22631,128,0.5655958640802439
21117,"Kenton County, Kentucky",169066,6094,3.604509481504264
21119,"Knott County, Kentucky",14282,153,1.0712785324184289
21121,"Knox County, Kentucky",30207,449,1.4864104346674611
21123,"Larue County, Kentucky",14902,497,3.335122802308415
21125,"Laurel County, Kentucky",62442,987,1.5806668588450083
21127,"Lawrence County, Kentucky",16228,245,1.5097362583189549
21129,"Lee County, Kentucky",7338,171,2.3303352412101392
21131,"Leslie County, Kentucky",10468,73,0.6973633931983186
21133,"Letcher County, Kentucky",21490,199,0.9260120986505351
21135,"Lewis County, Kentucky",13063,4,0.030620837479905075
21137,"Lincoln County, Kentucky",24320,457,1.8791118421052633
21139,"Livingston County, Kentucky",8980,229,2.5501113585746102
21141,"Logan County, Kentucky",27498,854,3.1056804131209543
21143,"Lyon County, Kentucky",8721,219,2.5111799105607155
21145,"McCracken County, Kentucky",67573,1882,2.7851360750595653
21147,"McCreary County, Kentucky",16892,276,1.633909542978925
21149,"McLean County, Kentucky",9173,188,2.0494930775100837
21151,"Madison County, Kentucky",92955,2550,2.7432628691302243
21153,"Magoffin County, Kentucky",11647,152,1.3050570962479608
21155,"Marion County, Kentucky",19627,557,2.8379273449839504
21157,"Marshall County, Kentucky",31706,575,1.8135368699930612
21159,"Martin County, Kentucky",11298,206,1.823331563108515
21161,"Mason County, Kentucky",17068,375,2.1970939770330444
21163,"Meade County, Kentucky",29964,1197,3.9947937525030035
21165,"Menifee County, Kentucky",6174,149,2.4133462908973113
21167,"Mercer County, Kentucky",22662,747,3.29626687847498
21169,"Metcalfe County, Kentucky",10313,204,1.978085910986134
21171,"Monroe County, Kentucky",11331,364,3.212426087723943
21173,"Montgomery County, Kentucky",28188,838,2.972896267915425
21175,"Morgan County, Kentucky",13840,152,1.0982658959537572
21177,"Muhlenberg County, Kentucky",30735,511,1.6625996421018383
21179,"Nelson County, Kentucky",46779,1108,2.3685841937621586
21181,"Nicholas County, Kentucky",7613,0,0.0
21183,"Ohio County, Kentucky",23782,822,3.456395593305862
21185,"Oldham County, Kentucky",67997,2773,4.078121093577658
21187,"Owen County, Kentucky",11229,63,0.56104728827144
21189,"Owsley County, Kentucky",4054,0,0.0
21191,"Pendleton County, Kentucky",14638,211,1.441453750512365
21193,"Perry County, Kentucky",28136,311,1.1053454648848449
21195,"Pike County, Kentucky",58196,579,0.9949137397759297
21197,"Powell County, Kentucky",13089,259,1.9787607915043166
21199,"Pulaski County, Kentucky",65145,1752,2.6893852175915263
21201,"Robertson County, Kentucky",2207,39,1.7671046669687356
21203,"Rockcastle County, Kentucky",16171,177,1.094551975759075
21205,"Rowan County, Kentucky",24551,513,2.089527921469594
21207,"Russell County, Kentucky",18021,693,3.845513567504578
21209,"Scott County, Kentucky",57286,2590,4.521174457982753
21211,"Shelby County, Kentucky",48105,4622,9.60814884107681
21213,"Simpson County, Kentucky",19574,539,2.753652804740983
21215,"Spencer County, Kentucky",19549,514,2.6292905007928793
21217,"Taylor County, Kentucky",26056,666,2.556033159349094
21219,"Todd County, Kentucky",12281,589,4.796026382216432
21221,"Trigg County, Kentucky",14154,353,2.493994630493147
21223,"Trimble County, Kentucky",8510,291,3.419506462984724
21225,"Union County, Kentucky",13495,259,1.9192293442015562
21227,"Warren County, Kentucky",135307,7652,5.655287605223677
21229,"Washington County, Kentucky",12025,64,0.5322245322245323
21231,"Wayne County, Kentucky",19666,729,3.706905318824367
21233,"Webster County, Kentucky",12951,752,5.8065014284611225
21235,"Whitley County, Kentucky",36648,563,1.5362366295568652
21237,"Wolfe County, Kentucky",6573,0,0.0
21239,"Woodford County, Kentucky",26886,1793,6.668898311388826
47001,"Anderson County, Tennessee",77337,2661,3.440785135187556
47003,"Bedford County, Tennessee",50533,6857,13.569350721310828
47005,"Benton County, Tennessee",15933,289,1.813845477938869
47007,"Bledsoe County, Tennessee",14816,448,3.023758099352052
47009,"Blount County, Tennessee",135951,5234,3.8499165140381457
47011,"Bradley County, Tennessee",108859,7506,6.8951579566227865
47013,"Campbell County, Tennessee",39397,661,1.6777927253344163
47015,"Cannon County, Tennessee",14481,397,2.7415233754574957
47017,"Carroll County, Tennessee",28381,881,3.1041894225009687
47019,"Carter County, Tennessee",56315,1526,2.7097576134244874
47021,"Cheatham County, Tennessee",41184,1580,3.836441336441337
47023,"Chester County, Tennessee",17392,511,2.9381324747010122
47025,"Claiborne County, Tennessee",32092,482,1.5019319456562383
47027,"Clay County, Tennessee",7592,211,2.779241306638567
47029,"Cocke County, Tennessee",36186,1029,2.843641187199469
47031,"Coffee County, Tennessee",58080,3030,5.216942148760331
47033,"Crockett County, Tennessee",13955,1610,11.537083482622716
47035,"Cumberland County, Tennessee",61552,1982,3.220041590850013
47037,"Davidson County, Tennessee",709786,75237,10.599955479538902
47039,"Decatur County, Tennessee",11483,408,3.5530784638160755
47041,"DeKalb County, Tennessee",20209,1697,8.397248750556683
47043,"Dickson County, Tennessee",54563,2301,4.21714348551216
47045,"Dyer County, Tennessee",36818,1382,3.7535987832038673
47047,"Fayette County, Tennessee",42228,1335,3.161409491332765
47049,"Fentress County, Tennessee",18642,344,1.8452955691449415
47051,"Franklin County, Tennessee",42980,1614,3.7552349930200095
47053,"Gibson County, Tennessee",50455,1525,3.0224952928351994
47055,"Giles County, Tennessee",30317,1001,3.3017778803971365
47057,"Grainger County, Tennessee",23648,862,3.6451285520974293
47059,"Greene County, Tennessee",70399,2290,3.2528871148737903
47061,"Grundy County, Tennessee",13550,216,1.5940959409594095
47063,"Hamblen County, Tennessee",64531,7928,12.285568176535309
47065,"Hamilton County, Tennessee",367193,22890,6.233778966374631
47067,"Hancock County, Tennessee",6726,47,0.6987808504311627
47069,"Hardeman County, Tennessee",25519,507,1.9867549668874174
47071,"Hardin County, Tennessee",26824,705,2.628243364151506
47073,"Hawkins County, Tennessee",57107,1017,1.7808674943527063
47075,"Haywood County, Tennessee",17806,766,4.301920700887341
47077,"Henderson County, Tennessee",27845,753,2.7042557012030883
47079,"Henry County, Tennessee",32305,916,2.8354743847701593
47081,"Hickman County, Tennessee",24996,719,2.876460233637382
47083,"Houston County, Tennessee",8253,234,2.8353326063249726
47085,"Humphreys County, Tennessee",19032,517,2.716477511559479
47087,"Jackson County, Tennessee",11730,284,2.4211423699914745
47089,"Jefferson County, Tennessee",55017,2128,3.8678953777923186
47091,"Johnson County, Tennessee",17982,405,2.2522522522522523
47093,"Knox County, Tennessee",481406,22896,4.756068682151864
47095,"Lake County, Tennessee",6898,200,2.8993911278631486
47097,"Lauderdale County, Tennessee",25171,725,2.880298756505502
47099,"Lawrence County, Tennessee",44377,1128,2.5418572684048044
47101,"Lewis County, Tennessee",12637,332,2.6272058241671283
47103,"Lincoln County, Tennessee",35365,1363,3.8540930298317546
47105,"Loudon County, Tennessee",55507,5307,9.560956275785037
47107,"McMinn County, Tennessee",53532,2421,4.522528581035642
47109,"McNairy County, Tennessee",25895,633,2.4444873527708055
47111,"Macon County, Tennessee",25365,1352,5.330179381036862
47113,"Madison County, Tennessee",98644,4219,4.276996066663964
47115,"Marion County, Tennessee",28852,609,2.1107722168307226
47117,"Marshall County, Tennessee",34567,2085,6.031764399571847
47119,"Maury County, Tennessee",102002,6747,6.614576184780691
47121,"Meigs County, Tennessee",12839,155,1.2072591323311783
47123,"Monroe County, Tennessee",46489,2124,4.568822732259244
