NAME,EMP,ESTAB,NAICS2017,state,county
"Accomack County, Virginia",25,8,11,51,001
"Albemarle County, Virginia",115,20,11,51,003
"Franklin County, Virginia",50,17,11,51,067
"Newport News city, Virginia",12,7,11,51,700
"Alleghany County, Virginia",4,3,11,51,005
"Bedford County, Virginia",52,10,11,51,019
"Goochland County, Virginia",24,7,11,51,075
"Montgomery County, Virginia",8,5,11,51,121
"Shenandoah County, Virginia",24,5,11,51,171
"Virginia Beach city, Virginia",20,13,11,51,810
"Amelia County, Virginia",34,7,11,51,007
"Amherst County, Virginia",33,8,11,51,009
"Appomattox County, Virginia",48,12,11,51,011
"Augusta County, Virginia",13,11,11,51,015
"Bath County, Virginia",4,4,11,51,017
"Brunswick County, Virginia",241,20,11,51,025
"Buchanan County, Virginia",7,3,11,51,027
"Buckingham County, Virginia",61,14,11,51,029
"Campbell County, Virginia",72,10,11,51,031
"Caroline County, Virginia",4,3,11,51,033
"Carroll County, Virginia",24,3,11,51,035
"Charles City County, Virginia",26,4,11,51,036
"Charlotte County, Virginia",90,16,11,51,037
"Chesterfield County, Virginia",29,11,11,51,041
"Clarke County, Virginia",18,7,11,51,043
"Culpeper County, Virginia",26,8,11,51,047
"Cumberland County, Virginia",34,3,11,51,049
"Dickenson County, Virginia",22,6,11,51,051
"Essex County, Virginia",17,4,11,51,057
"Dinwiddie County, Virginia",50,6,11,51,053
"Fairfax County, Virginia",210,6,11,51,059
"Fauquier County, Virginia",69,19,11,51,061
"Floyd County, Virginia",17,5,11,51,063
"Fluvanna County, Virginia",73,8,11,51,065
"Gloucester County, Virginia",7,5,11,51,073
"Grayson County, Virginia",4,3,11,51,077
"Halifax County, Virginia",143,9,11,51,083
"Hanover County, Virginia",10,7,11,51,085
"Henrico County, Virginia",20,5,11,51,087
"Henry County, Virginia",50,4,11,51,089
"Highland County, Virginia",14,4,11,51,091
"Isle of Wight County, Virginia",34,6,11,51,093
"James City County, Virginia",27,3,11,51,095
"King and Queen County, Virginia",53,10,11,51,097
"King George County, Virginia",44,6,11,51,099
"King William County, Virginia",65,8,11,51,101
"Lancaster County, Virginia",17,6,11,51,103
"Lee County, Virginia",27,8,11,51,105
"Loudoun County, Virginia",61,27,11,51,107
"Louisa County, Virginia",30,11,11,51,109
"Lunenburg County, Virginia",29,5,11,51,111
"Madison County, Virginia",26,7,11,51,113
"Mecklenburg County, Virginia",96,9,11,51,117
"Nelson County, Virginia",49,12,11,51,125
"New Kent County, Virginia",34,3,11,51,127
"Northampton County, Virginia",176,8,11,51,131
"Northumberland County, Virginia",28,6,11,51,133
"Nottoway County, Virginia",30,5,11,51,135
"Orange County, Virginia",86,13,11,51,137
"Page County, Virginia",1,3,11,51,139
"Patrick County, Virginia",301,7,11,51,141
"Pittsylvania County, Virginia",58,18,11,51,143
"Prince Edward County, Virginia",65,8,11,51,147
"Prince William County, Virginia",44,4,11,51,153
"Rappahannock County, Virginia",7,4,11,51,157
"Rockbridge County, Virginia",16,6,11,51,163
"Rockingham County, Virginia",12,7,11,51,165
"Russell County, Virginia",14,5,11,51,167
"Scott County, Virginia",33,6,11,51,169
"Southampton County, Virginia",80,14,11,51,175
"Spotsylvania County, Virginia",14,4,11,51,177
"Sussex County, Virginia",26,3,11,51,183
"Tazewell County, Virginia",4,3,11,51,185
"Washington County, Virginia",16,6,11,51,191
"Westmoreland County, Virginia",15,3,11,51,193
"York County, Virginia",23,8,11,51,199
"Chesapeake city, Virginia",5,3,11,51,550
"Suffolk city, Virginia",69,6,11,51,800
"Adams County, Pennsylvania",63,10,11,42,001
"Allegheny County, Pennsylvania",15,5,11,42,003
"Armstrong County, Pennsylvania",11,4,11,42,005
"Bedford County, Pennsylvania",19,8,11,42,009
"Blair County, Pennsylvania",12,6,11,42,013
"Bradford County, Pennsylvania",24,14,11,42,015
"Bucks County, Pennsylvania",9,9,11,42,017
"Cambria County, Pennsylvania",16,5,11,42,021
"Cameron County, Pennsylvania",14,4,11,42,023
"Centre County, Pennsylvania",82,12,11,42,027
"Chester County, Pennsylvania",562,54,11,42,029
"Clarion County, Pennsylvania",10,6,11,42,031
"Clearfield County, Pennsylvania",43,15,11,42,033
"Columbia County, Pennsylvania",27,4,11,42,037
"Crawford County, Pennsylvania",92,21,11,42,039
"Cumberland County, Pennsylvania",10,6,11,42,041
"Erie County, Pennsylvania",29,6,11,42,049
"Fayette County, Pennsylvania",10,3,11,42,051
"Franklin County, Pennsylvania",85,8,11,42,055
"Huntingdon County, Pennsylvania",5,5,11,42,061
"Jefferson County, Pennsylvania",16,4,11,42,065
"Juniata County, Pennsylvania",20,8,11,42,067
"Lackawanna County, Pennsylvania",10,4,11,42,069
"Lawrence County, Pennsylvania",5,5,11,42,073
"Luzerne County, Pennsylvania",11,3,11,42,079
"Lycoming County, Pennsylvania",7,4,11,42,081
"McKean County, Pennsylvania",67,21,11,42,083
"Mercer County, Pennsylvania",19,7,11,42,085
"Northampton County, Pennsylvania",4,6,11,42,095
"Perry County, Pennsylvania",12,5,11,42,099
"Pike County, Pennsylvania",9,5,11,42,103
"Schuylkill County, Pennsylvania",38,8,11,42,107
"Snyder County, Pennsylvania",16,3,11,42,109
"Somerset County, Pennsylvania",16,4,11,42,111
"Sullivan County, Pennsylvania",9,6,11,42,113
"Susquehanna County, Pennsylvania",68,8,11,42,115
"Tioga County, Pennsylvania",33,8,11,42,117
"Union County, Pennsylvania",23,5,11,42,119
"Venango County, Pennsylvania",8,5,11,42,121
"Washington County, Pennsylvania",21,12,11,42,125
"Wayne County, Pennsylvania",9,7,11,42,127
"Wyoming County, Pennsylvania",187,5,11,42,131
"Berks County, Pennsylvania",238,23,11,42,011
"Butler County, Pennsylvania",21,9,11,42,019
"Clinton County, Pennsylvania",42,3,11,42,035
"Dauphin County, Pennsylvania",64,8,11,42,043
"Elk County, Pennsylvania",60,28,11,42,047
"Indiana County, Pennsylvania",15,6,11,42,063
"Lancaster County, Pennsylvania",249,51,11,42,071
"Lebanon County, Pennsylvania",39,10,11,42,075
"Lehigh County, Pennsylvania",13,4,11,42,077
"Mifflin County, Pennsylvania",81,9,11,42,087
"Monroe County, Pennsylvania",22,5,11,42,089
"Montgomery County, Pennsylvania",30,9,11,42,091
"Potter County, Pennsylvania",22,5,11,42,105
"Warren County, Pennsylvania",14,8,11,42,123
"Westmoreland County, Pennsylvania",27,10,11,42,129
"York County, Pennsylvania",14,9,11,42,133
"Philadelphia County, Pennsylvania",19,6,11,42,101
"Allegany County, Maryland",11,3,11,24,001
"Anne Arundel County, Maryland",47,11,11,24,003
"Baltimore County, Maryland",34,12,11,24,005
"Caroline County, Maryland",9,5,11,24,011
"Carroll County, Maryland",21,8,11,24,013
"Cecil County, Maryland",49,11,11,24,015
"Charles County, Maryland",11,3,11,24,017
"Frederick County, Maryland",37,15,11,24,021
"Garrett County, Maryland",91,25,11,24,023
"Harford County, Maryland",7,6,11,24,025
"Howard County, Maryland",296,8,11,24,027
"Kent County, Maryland",44,5,11,24,029
"Prince George's County, Maryland",26,5,11,24,033
"Queen Anne's County, Maryland",11,6,11,24,035
"Wicomico County, Maryland",87,10,11,24,045
"Worcester County, Maryland",13,15,11,24,047
"Montgomery County, Maryland",54,20,11,24,031
"St. Mary's County, Maryland",19,7,11,24,037
"Somerset County, Maryland",10,8,11,24,039
"Talbot County, Maryland",23,6,11,24,041
"Washington County, Maryland",31,4,11,24,043
"Kent County, Delaware",27,8,11,10,001
"New Castle County, Delaware",52,10,11,10,003
"Sussex County, Delaware",56,20,11,10,005
"Boone County, West Virginia",4,3,11,54,005
"Fayette County, West Virginia",35,14,11,54,019
"Grant County, West Virginia",26,6,11,54,023
"Harrison County, West Virginia",15,8,11,54,033
"Kanawha County, West Virginia",16,10,11,54,039
"Lewis County, West Virginia",28,7,11,54,041
