fips,NAME,total_16_plus,in_labor_force,labor_force_participation_rate
13221,"Oglethorpe County, Georgia",12133,7435,61.2791560207698
13223,"Paulding County, Georgia",131973,88005,66.68409447386966
13225,"Peach County, Georgia",22841,12853,56.27161682938575
13227,"Pickens County, Georgia",27928,16154,57.841592666857636
13229,"Pierce County, Georgia",15429,8718,56.50398600038887
13231,"Pike County, Georgia",15223,9098,59.764829534257366
13233,"Polk County, Georgia",33335,19255,57.76211189440528
13235,"Pulaski County, Georgia",8219,3939,47.925538386665046
13237,"Putnam County, Georgia",18713,9674,51.69668145139742
13239,"Quitman County, Georgia",1957,686,35.05365355135412
13241,"Rabun County, Georgia",14612,7045,48.213796879277304
13243,"Randolph County, Georgia",4885,2651,54.268167860798364
13245,"Richmond County, Georgia",163866,101419,61.891423480160626
13247,"Rockdale County, Georgia",74145,46175,62.27662013621958
13249,"Schley County, Georgia",3686,1948,52.84861638632664
13251,"Screven County, Georgia",11351,6403,56.40912694916748
13253,"Seminole County, Georgia",7493,3507,46.80368343787535
13255,"Spalding County, Georgia",53286,30176,56.63025935517773
13257,"Stephens County, Georgia",21697,12005,55.33022998571231
13259,"Stewart County, Georgia",4663,1568,33.62642075916792
13261,"Sumter County, Georgia",23193,12995,56.029836588625884
13263,"Talbot County, Georgia",4948,2564,51.81891673403395
13265,"Taliaferro County, Georgia",1404,698,49.71509971509971
13267,"Tattnall County, Georgia",19908,8651,43.454892505525414
13269,"Taylor County, Georgia",6425,3230,50.27237354085603
13271,"Telfair County, Georgia",9906,3790,38.25964062184535
13273,"Terrell County, Georgia",7118,3684,51.75611126720989
13275,"Thomas County, Georgia",35878,22520,62.768270249177775
13277,"Tift County, Georgia",32078,18407,57.382006359498725
13279,"Toombs County, Georgia",20641,10854,52.58466159585291
13281,"Towns County, Georgia",11180,4900,43.82826475849731
13283,"Treutlen County, Georgia",5160,2494,48.333333333333336
13285,"Troup County, Georgia",54306,32667,60.15357419069716
13287,"Turner County, Georgia",6944,3592,51.728110599078335
13289,"Twiggs County, Georgia",6601,2857,43.28132101196788
13291,"Union County, Georgia",21620,10004,46.27197039777983
13293,"Upson County, Georgia",22142,11715,52.908499683858736
13295,"Walker County, Georgia",55234,32500,58.84056921461419
13297,"Walton County, Georgia",77390,49091,63.43326011112546
13299,"Ware County, Georgia",27935,13692,49.01378199391445
13301,"Warren County, Georgia",4241,2221,52.369724121669414
13303,"Washington County, Georgia",16304,8186,50.20853778213935
13305,"Wayne County, Georgia",23826,12120,50.86879879123647
13307,"Webster County, Georgia",1965,1090,55.470737913486005
13309,"Wheeler County, Georgia",6538,2953,45.166717650657695
13311,"White County, Georgia",23479,13066,55.64972954555134
13313,"Whitfield County, Georgia",79767,50278,63.03107801471787
13315,"Wilcox County, Georgia",7388,3064,41.47265836491608
13317,"Wilkes County, Georgia",7864,4090,52.009155645981686
13319,"Wilkinson County, Georgia",7063,3457,48.945207418943795
13321,"Worth County, Georgia",16518,9336,56.520159825644754
