NAME,EMP,ESTAB,NAICS2017,state,county
"Accomack County, Virginia",67,18,71,51,001
"Albemarle County, Virginia",1131,58,71,51,003
"Bath County, Virginia",13,4,71,51,017
"Botetourt County, Virginia",106,8,71,51,023
"Caroline County, Virginia",108,7,71,51,033
"Carroll County, Virginia",44,4,71,51,035
"Charles City County, Virginia",33,10,71,51,036
"Floyd County, Virginia",55,13,71,51,063
"Goochland County, Virginia",675,20,71,51,075
"Grayson County, Virginia",16,5,71,51,077
"Greene County, Virginia",41,5,71,51,079
"Halifax County, Virginia",223,13,71,51,083
"Lancaster County, Virginia",89,9,71,51,103
"Madison County, Virginia",8,4,71,51,113
"New Kent County, Virginia",790,14,71,51,127
"Northumberland County, Virginia",85,8,71,51,133
"Nottoway County, Virginia",3,3,71,51,135
"Page County, Virginia",151,8,71,51,139
"Prince Edward County, Virginia",96,9,71,51,147
"Scott County, Virginia",8,3,71,51,169
"Southampton County, Virginia",30,3,71,51,175
"Surry County, Virginia",8,4,71,51,181
"Tazewell County, Virginia",72,8,71,51,185
"Warren County, Virginia",189,16,71,51,187
"Westmoreland County, Virginia",52,10,71,51,193
"Bristol city, Virginia",74,6,71,51,520
"Manassas Park city, Virginia",14,5,71,51,685
"Martinsville city, Virginia",65,10,71,51,690
"Alleghany County, Virginia",15,4,71,51,005
"Amherst County, Virginia",40,5,71,51,009
"Appomattox County, Virginia",30,6,71,51,011
"Arlington County, Virginia",2147,112,71,51,013
"Augusta County, Virginia",52,10,71,51,015
"Charlotte County, Virginia",16,4,71,51,037
"Clarke County, Virginia",20,9,71,51,043
"Culpeper County, Virginia",270,19,71,51,047
"Dinwiddie County, Virginia",43,4,71,51,053
"Essex County, Virginia",22,5,71,51,057
"Fluvanna County, Virginia",48,7,71,51,065
"Franklin County, Virginia",102,21,71,51,067
"Gloucester County, Virginia",194,21,71,51,073
"Henry County, Virginia",122,8,71,51,089
"Isle of Wight County, Virginia",97,8,71,51,093
"King George County, Virginia",278,9,71,51,099
"King William County, Virginia",25,6,71,51,101
"Louisa County, Virginia",98,9,71,51,109
"Mecklenburg County, Virginia",75,14,71,51,117
"Middlesex County, Virginia",73,15,71,51,119
"Nelson County, Virginia",26,13,71,51,125
"Northampton County, Virginia",94,4,71,51,131
"Orange County, Virginia",77,10,71,51,137
"Patrick County, Virginia",29,5,71,51,141
"Pittsylvania County, Virginia",28,8,71,51,143
"Powhatan County, Virginia",100,8,71,51,145
"Prince George County, Virginia",93,8,71,51,149
"Pulaski County, Virginia",94,10,71,51,155
"Rappahannock County, Virginia",3,6,71,51,157
"Rockbridge County, Virginia",123,8,71,51,163
"Russell County, Virginia",0,3,71,51,167
"Shenandoah County, Virginia",238,11,71,51,171
"Smyth County, Virginia",51,6,71,51,173
"Washington County, Virginia",172,21,71,51,191
"Wise County, Virginia",121,4,71,51,195
"Wythe County, Virginia",67,8,71,51,197
"York County, Virginia",357,32,71,51,199
"Colonial Heights city, Virginia",163,9,71,51,570
"Emporia city, Virginia",64,4,71,51,595
"Falls Church city, Virginia",128,13,71,51,610
"Franklin city, Virginia",46,4,71,51,620
"Harrisonburg city, Virginia",242,27,71,51,660
"Hopewell city, Virginia",10,4,71,51,670
"Lexington city, Virginia",23,4,71,51,678
"Petersburg city, Virginia",66,7,71,51,730
"Salem city, Virginia",84,12,71,51,775
"Staunton city, Virginia",179,15,71,51,790
"Waynesboro city, Virginia",127,14,71,51,820
"Williamsburg city, Virginia",1040,11,71,51,830
"Chesterfield County, Virginia",2772,124,71,51,041
"Montgomery County, Virginia",372,38,71,51,121
"Prince William County, Virginia",1864,136,71,51,153
"Roanoke County, Virginia",502,31,71,51,161
"Norfolk city, Virginia",1184,76,71,51,710
"Virginia Beach city, Virginia",2909,202,71,51,810
"Winchester city, Virginia",239,21,71,51,840
"Bedford County, Virginia",323,26,71,51,019
"Campbell County, Virginia",187,15,71,51,031
"Fairfax County, Virginia",6067,429,71,51,059
"Fauquier County, Virginia",228,32,71,51,061
"Frederick County, Virginia",82,20,71,51,069
"Hanover County, Virginia",1226,52,71,51,085
"Henrico County, Virginia",2586,162,71,51,087
"James City County, Virginia",2455,42,71,51,095
"Loudoun County, Virginia",2945,188,71,51,107
"Rockingham County, Virginia",222,17,71,51,165
"Spotsylvania County, Virginia",702,38,71,51,177
"Stafford County, Virginia",829,35,71,51,179
"Alexandria city, Virginia",996,76,71,51,510
"Charlottesville city, Virginia",653,64,71,51,540
"Chesapeake city, Virginia",1105,56,71,51,550
"Danville city, Virginia",160,18,71,51,590
"Fairfax city, Virginia",430,28,71,51,600
"Fredericksburg city, Virginia",267,23,71,51,630
"Hampton city, Virginia",239,39,71,51,650
"Lynchburg city, Virginia",619,47,71,51,680
"Manassas city, Virginia",113,16,71,51,683
"Newport News city, Virginia",862,47,71,51,700
"Portsmouth city, Virginia",163,24,71,51,740
"Richmond city, Virginia",2058,134,71,51,760
"Roanoke city, Virginia",476,52,71,51,770
"Suffolk city, Virginia",255,20,71,51,800
"Adams County, Pennsylvania",434,47,71,42,001
"Allegheny County, Pennsylvania",10152,644,71,42,003
"Sullivan County, Pennsylvania",28,8,71,42,113
"Armstrong County, Pennsylvania",116,15,71,42,005
"Beaver County, Pennsylvania",305,50,71,42,007
"Bedford County, Pennsylvania",59,13,71,42,009
"Bradford County, Pennsylvania",51,20,71,42,015
"Cameron County, Pennsylvania",4,3,71,42,023
"Clinton County, Pennsylvania",26,9,71,42,035
"Greene County, Pennsylvania",26,8,71,42,059
"Huntingdon County, Pennsylvania",131,16,71,42,061
"Jefferson County, Pennsylvania",73,12,71,42,065
"Juniata County, Pennsylvania",97,4,71,42,067
"Pike County, Pennsylvania",187,29,71,42,103
"Potter County, Pennsylvania",140,5,71,42,105
"Susquehanna County, Pennsylvania",261,10,71,42,115
"Tioga County, Pennsylvania",28,7,71,42,117
"Wyoming County, Pennsylvania",24,8,71,42,131
"Franklin County, Pennsylvania",1036,48,71,42,055
"Westmoreland County, Pennsylvania",1884,156,71,42,129
"York County, Pennsylvania",2271,140,71,42,133
"Berks County, Pennsylvania",1824,145,71,42,011
"Blair County, Pennsylvania",478,49,71,42,013
"Bucks County, Pennsylvania",5108,314,71,42,017
"Butler County, Pennsylvania",889,78,71,42,019
"Cambria County, Pennsylvania",381,51,71,42,021
"Carbon County, Pennsylvania",1675,31,71,42,025
"Centre County, Pennsylvania",856,78,71,42,027
"Chester County, Pennsylvania",3892,265,71,42,029
"Clarion County, Pennsylvania",55,10,71,42,031
"Clearfield County, Pennsylvania",91,19,71,42,033
"Columbia County, Pennsylvania",146,19,71,42,037
"Crawford County, Pennsylvania",354,31,71,42,039
"Cumberland County, Pennsylvania",1062,76,71,42,041
"Dauphin County, Pennsylvania",3079,128,71,42,043
"Delaware County, Pennsylvania",3275,218,71,42,045
"Elk County, Pennsylvania",77,11,71,42,047
