region_key,region_name,state_name,entrepreneurial_activity,proprietors_per_1000,establishments_per_1000,telecommuter_pct
13_1,Northwest Georgia Regional Commission,Georgia,0.002793669711900772,2834.944034172159,17.195912477340176,75.91507171272528
13_10,Southwest Georgia Regional Commission,Georgia,0.00330924447007832,2115.837832744674,20.569281417121843,68.1721069088954
13_11,Southern Georgia Regional Commission,Georgia,0.002988038231504452,1879.9039404603934,19.832112156003,70.0615566529874
13_12,Coastal Regional Commission of Georgia,Georgia,0.0039869799546915505,2761.3932211799283,22.554720447959347,67.73204054649625
13_2,Georgia Mountains Regional Commission,Georgia,0.003795621034730852,3541.5351723461313,22.493704624239648,73.92376834679713
13_3,Atlanta Regional Commission,Georgia,0.006183294768748483,5184.580545921404,28.03747732211015,75.69903728024109
13_4,Three Rivers Regional Commission,Georgia,0.003707354056103108,2068.174753601213,18.898786959818047,75.284507138233
13_5,Northeast Georgia Regional Commission,Georgia,0.003608533048274321,3128.3792251165983,19.86354007660961,70.15848223650029
13_6,Middle Georgia Regional Commission,Georgia,0.0033632023330746256,1818.5027085930212,19.86758860744608,67.03930266662402
13_7,Central Savannah River Area Regional Commission,Georgia,0.003036468290887528,2763.192278987026,18.519389434726154,66.70093877796766
13_8,River Valley Regional Commission,Georgia,0.0033024377995392964,1534.5063810740292,19.293332896647343,63.786907378540725
13_9,Heart of Georgia-Altamaha Regional Commission,Georgia,0.0026960584576100834,1423.624127346318,17.700948034661668,69.00796390922063
21_1,Barren River Area Development District,Kentucky,0.0027490772551373582,3473.0073181011253,18.279288368944684,72.70749122769095
21_10,Kentucky River Area Development District,Kentucky,0.002284721632159817,1529.7910707036376,13.604478809678913,62.152549465000895
21_11,Lake Cumberland Area Development District,Kentucky,0.002612567366570728,3873.1335355135316,18.268654986574976,70.43847241867044
21_12,Lincoln Trail Area Development District,Kentucky,0.002925754101565972,3193.8783128032846,18.027337848166518,69.20300141959035
21_13,Northern Kentucky Area Development District,Kentucky,0.0030606673321218634,3437.0611621577814,19.332326619061025,75.56185402237614
21_14,Pennyrile Area Development District,Kentucky,0.002480487145295001,3220.5255648703337,17.680464764959854,63.798067991826116
21_15,Purchase Area Development District,Kentucky,0.003706530033794833,5912.339353416427,24.449774095473433,73.25289944347678
21_2,Big Sandy Area Development District,Kentucky,0.0031457807842238017,1758.8210846136208,17.226553542765423,66.9983648680215
21_3,Bluegrass Area Development District,Kentucky,0.003720713493050985,3659.8513636210782,22.190969403196597,68.3718910622141
21_4,Buffalo Trace Area Development District,Kentucky,0.002273174748071381,2882.2602874581607,15.607940002505863,70.58713886300093
21_5,Cumberland Valley Area Development District,Kentucky,0.0024212969616207013,1881.6308044715606,15.677462341428999,67.48734941306414
21_6,FIVCO Area Development District,Kentucky,0.0026344774208912573,1957.5804483076831,17.168755395469294,67.50210970464136
21_7,Gateway Area Development District,Kentucky,0.002585037196462827,1881.485986992935,16.58634726056239,68.11237661351556
21_8,Green River Area Development District,Kentucky,0.0031784218927109116,3558.6990214902034,20.643549469106386,72.83152826639173
21_9,Kentuckiana Regional Planning and Development Agency,Kentucky,0.004119004782665725,4172.15443135612,23.723431538185952,75.25002995566561
24_1,Tri-County Council for Western Maryland,Maryland,0.0035682780872757906,3120.5704476639303,23.18188681644428,67.50171303275319
24_2,Mid-Shore Regional Council,Maryland,0.004172300560169983,4243.673942437705,26.19277573884489,64.30608666258213
24_3,Tri-County Council for the Lower Eastern Shore,Maryland,0.004224715135069548,3545.2640171194726,27.63713778307246,66.53812278321313
24_4,Upper Shore Regional Council,Maryland,0.003279898086822188,3620.5002276906403,21.49514932470991,66.6730010926885
24_5,Tri-County Council for Southern Maryland,Maryland,0.003017966120723991,1857.1959379084878,17.24972132598044,54.862857262593245
37_1,Southwestern Commission,North Carolina,0.0043902893666701,3275.499242123232,24.987859255662002,67.95088058697934
37_10,Upper Coastal Plain Council of Governments,North Carolina,0.003061764614304149,2183.190393324315,20.07618085514913,73.54759779122442
37_11,Mid-Carolina Council of Governments,North Carolina,0.0028323526855389405,1974.8470453970017,16.38758828664392,59.076678996843924
37_12,Lumber River Council of Governments,North Carolina,0.002448055436377599,1711.1402746581196,15.236350919192539,70.63453540054631
37_13,Cape Fear Council of Governments,North Carolina,0.00494301169748935,4368.321000095779,27.496803907769316,71.39310943058446
37_14,Eastern Carolina Council of Governments,North Carolina,0.0031287922673461153,2800.39781031638,19.105570443352846,56.78195272254916
37_15,Albemarle Commission,North Carolina,0.0044329004329004325,4995.070707070707,27.901875901875904,63.660317215495745
37_16,Mid-East Commission,North Carolina,0.003565891472868217,3269.872002884442,21.575626464755725,66.79803597456213
37_2,Land of Sky Regional Council,North Carolina,0.006111750589720363,4950.1751565965815,30.983306202791155,72.32030112292142
37_3,Isothermal Planning & Development Commission,North Carolina,0.003130829253767942,2372.170212020633,19.66948952157426,73.20137078462703
37_4,High Country Council of Governments,North Carolina,0.0038880063353035747,3789.9283938955914,23.194462334044147,67.81970181281713
37_5,Western Piedmont Council of Governments,North Carolina,0.0029888178870095703,2666.279632053023,21.031005570566425,75.17552138833916
37_6,Centralina Regional Council,North Carolina,0.005190538254719788,6550.6102278833905,26.522421313855265,78.09468102035638
37_7,Piedmont Triad Council of Governments,North Carolina,0.0035107603343101043,3765.0993636281332,21.75960889430818,73.52574512204262
37_8,Triangle J Council of Governments,North Carolina,0.004928660678021634,4867.267857610222,25.394549732023158,70.83489365696121
37_9,Kerr-Tar Council of Governments,North Carolina,0.003039776535346591,2346.923685610139,16.837681121820236,72.42421250123432
