region_key,region_name,state_name,mean_commute_time,housing_pre1960_pct,relative_weekly_wage,violent_crime_rate,property_crime_rate,natural_amenities_scale,healthcare_workers_per_1k,park_count
13_1,Northwest Georgia Regional Commission,Georgia,28.418255148021004,104.69487783888951,0.7494376678151922,255.33423447033914,1141.065639819961,3.6,16.79899171251192,0
13_10,Southwest Georgia Regional Commission,Georgia,22.577825138238893,80.51592928036112,0.7316863455639259,436.28348147365597,1601.228903209596,3.642857142857143,23.820148379314418,0
13_11,Southern Georgia Regional Commission,Georgia,21.855086741754263,73.84434309254083,0.6549054560859372,283.1785226638974,1630.800592319083,3.611111111111111,18.15751695460621,0
13_12,Coastal Regional Commission of Georgia,Georgia,24.36341749592072,100.4203411074802,0.7903653894827114,151.30077776778194,824.9300063519066,3.7,31.627314833746347,0
13_2,Georgia Mountains Regional Commission,Georgia,27.07908060437556,126.23869710745866,0.8035111984318261,177.41513506442539,1090.6534109490483,4.166666666666667,18.796193341618157,0
13_3,Atlanta Regional Commission,Georgia,31.174175847570524,206.0993286115529,1.1847816661030306,351.98704149361294,1979.1741168340707,3.272727272727273,39.77568406387786,0
13_4,Three Rivers Regional Commission,Georgia,28.951890742768796,119.04299519163438,0.772080187345935,376.9901440485216,1469.86353297953,3.4,18.335203086157822,0
13_5,Northeast Georgia Regional Commission,Georgia,29.89717315424046,133.77713432065067,0.7537690600620517,231.3084782408477,1458.3606993004882,3.4166666666666665,22.375924592228216,0
13_6,Middle Georgia Regional Commission,Georgia,24.349799872410962,117.82260243133723,0.733234681738514,635.598203156236,2421.46648165134,3.8181818181818183,40.176121211873905,0
13_7,Central Savannah River Area Regional Commission,Georgia,24.453382352562304,108.42977495672244,0.8083324122139292,337.5898416333541,1877.7029168498432,3.4615384615384617,54.37703413168656,0
13_8,River Valley Regional Commission,Georgia,22.10931904942051,95.60002352456846,0.7582673028701331,559.5039247153353,2040.688217120274,3.4375,39.57561903232191,0
13_9,Heart of Georgia-Altamaha Regional Commission,Georgia,26.48941425094992,79.16230186078566,0.6614582546623776,187.43378697742645,1006.7774970798359,3.4705882352941178,13.965004833487262,0
21_1,Barren River Area Development District,Kentucky,23.876462439165426,109.91839987854866,0.8948581886093184,134.7399072785093,1393.3766714772858,2.9,25.514374385368907,0
21_10,Kentucky River Area Development District,Kentucky,29.379951086007104,77.63850287196591,0.8122164921914704,80.24848707999358,337.04364573597303,3.25,21.393302555678286,0
21_11,Lake Cumberland Area Development District,Kentucky,24.410860454534568,88.63292289059346,0.745470662386948,113.96781857868608,592.5360737120672,3.7,19.36004172381155,0
21_12,Lincoln Trail Area Development District,Kentucky,25.62408048842945,119.75202771206489,0.8710322319119015,94.56264775413712,760.0561687907713,3.375,30.028973142075046,0
21_13,Northern Kentucky Area Development District,Kentucky,24.762479978175197,145.40044023027428,1.0861205987550213,122.42669328487455,1103.1199610964654,3.5,27.556670335201726,0
21_14,Pennyrile Area Development District,Kentucky,22.54858221273021,92.09697328790796,0.8659497775066307,144.0734074992773,1109.691617631974,3.5555555555555554,18.35187481932542,0
21_15,Purchase Area Development District,Kentucky,18.624597075063424,115.58249054273142,0.8674457942891047,159.88953086958102,1298.496796152961,2.857142857142857,35.51172621604627,0
21_2,Big Sandy Area Development District,Kentucky,26.65784267047559,89.73251028806584,0.8562872625553366,87.4226094932355,392.6851639532217,3.2,27.394806237101584,0
21_3,Bluegrass Area Development District,Kentucky,23.56861588118488,138.65386824185742,0.9756643683448067,185.79547365235229,1822.0446869940768,2.9411764705882355,39.433798202335716,0
21_4,Buffalo Trace Area Development District,Kentucky,34.06982708022935,114.24082708291101,0.8502955222800171,84.12536469240546,721.3302547029659,3.6,18.83205870651165,0
21_5,Cumberland Valley Area Development District,Kentucky,24.878794578118757,97.92748805318928,0.7598779168552069,104.08093054448696,852.2442722826821,3.5,22.401351745641886,2
21_6,FIVCO Area Development District,Kentucky,25.9882994860857,125.7205747985713,0.9178114080960956,116.09561515791981,882.624356264698,3.8,16.88595838418718,0
21_7,Gateway Area Development District,Kentucky,27.306924099274795,102.56134546457127,0.8159099302124672,132.17611004538438,828.1476629392223,3.8,14.20015907921209,0
21_8,Green River Area Development District,Kentucky,22.689579856450955,106.67945823927765,0.9408091804044525,190.15013069929907,1581.8085081773809,3.142857142857143,19.87091998426982,0
21_9,Kentuckiana Regional Planning and Development Agency,Kentucky,23.576308911517835,134.9860133607531,1.1560810915282314,551.7782785144175,2894.070708276968,3.4285714285714284,50.97170533454189,0
24_1,Tri-County Council for Western Maryland,Maryland,27.172393741208545,122.06674281984334,0.9340478181352208,275.7667029587304,1110.2192623439375,4.0,35.98874681119915,2
24_2,Mid-Shore Regional Council,Maryland,28.05200651335119,140.8433981576254,0.9591165876833362,313.8883523276029,1445.8180413366813,3.6666666666666665,22.03013328182345,4
24_3,Tri-County Council for the Lower Eastern Shore,Maryland,23.436627767083735,102.1071006828567,0.9335995994581944,362.90633927882016,1512.2935901254177,3.3333333333333335,22.932592077831828,5
24_4,Upper Shore Regional Council,Maryland,30.39070138038005,201.94495980210266,0.9928721186448994,210.39768043762717,1048.5298101809421,3.3333333333333335,13.667202748427782,8
24_5,Tri-County Council for Southern Maryland,Maryland,39.09483088188197,231.19056675542026,1.147482720920158,227.75085339741722,924.6363872085283,4.0,13.742572034226782,7
37_1,Southwestern Commission,North Carolina,22.654073150939023,78.18538248455145,0.6864653202518041,322.77211209708673,1567.750258757278,4.857142857142857,16.85969223826272,4
