region_key,region_name,state_name,hs_attainment,associates_attainment,bachelors_attainment,labor_force_participation,knowledge_workers_pct
13_1,Northwest Georgia Regional Commission,Georgia,34.21559661679845,7.849239003874249,13.074110436129338,60.73514999206101,31.144509710611235
13_10,Southwest Georgia Regional Commission,Georgia,33.876699893810155,9.844825814407564,11.436388860343232,56.651260397416394,32.7928590764276
13_11,Southern Georgia Regional Commission,Georgia,37.30593945681574,9.32639223387306,10.602097150691023,55.83792320781058,29.054874650176306
13_12,Coastal Regional Commission of Georgia,Georgia,28.24517010248288,8.725886839139035,18.38796526749962,63.20831523170652,36.03038798513263
13_2,Georgia Mountains Regional Commission,Georgia,30.48740127194826,7.569672412199492,15.189137454493412,58.47547397687672,32.8336895802274
13_3,Atlanta Regional Commission,Georgia,20.9293496566737,7.912441616738028,27.51058203690754,68.33486266951984,46.29328122021573
13_4,Three Rivers Regional Commission,Georgia,34.19906696186517,8.53769428881258,14.317786463039942,60.027772409399674,33.33541958742239
13_5,Northeast Georgia Regional Commission,Georgia,30.048157740365554,7.969561154765575,17.014498331752804,62.8690194059346,37.79178508486417
13_6,Middle Georgia Regional Commission,Georgia,31.707001955591053,9.634956336878455,14.484587241089727,58.38503809197741,35.67453621776845
13_7,Central Savannah River Area Regional Commission,Georgia,31.578835101747288,10.008958880566542,15.372402991169103,60.470646430347266,34.94272307604628
13_8,River Valley Regional Commission,Georgia,30.569262442403843,8.957632103526029,14.517090944740369,57.79791587852942,34.335668671337345
13_9,Heart of Georgia-Altamaha Regional Commission,Georgia,40.46547945895569,7.785698093247022,8.259741568222463,50.47816248986039,29.415047298452784
21_1,Barren River Area Development District,Kentucky,36.49359799800773,8.341796447921475,13.340460166670717,60.57196549896401,31.752945775395098
21_10,Kentucky River Area Development District,Kentucky,36.04343291166324,8.30948624000428,6.612553823112513,43.84440691783614,31.368698710433762
21_11,Lake Cumberland Area Development District,Kentucky,38.374337044955986,8.758642712353872,9.072418293394053,52.27506765332759,29.771838569392507
21_12,Lincoln Trail Area Development District,Kentucky,36.562130734400654,10.301791297618923,11.506969643099897,59.67806425237319,32.2496278446241
21_13,Northern Kentucky Area Development District,Kentucky,30.128949978744508,8.739313211468518,21.134885771416876,66.93542505692545,40.316429645434155
21_14,Pennyrile Area Development District,Kentucky,38.38869597810482,9.88323986393307,9.854951520852046,55.229514112795876,29.854231705218652
21_15,Purchase Area Development District,Kentucky,35.206465912428904,9.758507428144165,14.87320082248115,55.881211759438884,33.78496929525295
21_2,Big Sandy Area Development District,Kentucky,39.16183367794644,7.400272328407888,7.638307529376166,42.01714013648627,34.53019299079165
21_3,Bluegrass Area Development District,Kentucky,27.891012949920484,8.391483561065852,19.75647225557972,63.45899554517666,40.55820796776949
21_4,Buffalo Trace Area Development District,Kentucky,39.65535139624208,10.261600747430707,9.747742136406105,53.171700753984375,30.822042375193238
21_5,Cumberland Valley Area Development District,Kentucky,39.69725446371879,6.92098646280446,7.85563711172631,46.8504604877942,29.88182753343202
21_6,FIVCO Area Development District,Kentucky,37.0190484217624,10.90437860845379,9.26714147245986,47.63038621716787,36.03191291978477
21_7,Gateway Area Development District,Kentucky,39.503138537706654,6.8004597294668905,10.276721775263018,51.2886076680824,30.877566719924253
21_8,Green River Area Development District,Kentucky,37.38154427653103,10.415975181028118,12.603214815517278,58.50090447569586,30.53041047889204
21_9,Kentuckiana Regional Planning and Development Agency,Kentucky,27.46462462343708,8.561836822027855,20.25735507005871,65.42469855684661,39.47422090095461
24_1,Tri-County Council for Western Maryland,Maryland,38.154516586717115,8.642997094790893,13.115104835258878,56.90337736916139,36.23356744102287
24_2,Mid-Shore Regional Council,Maryland,33.775923623089575,6.97313704253413,15.179108668618877,59.39775100591157,36.33546186326102
24_3,Tri-County Council for the Lower Eastern Shore,Maryland,32.335309859040365,8.015909811864034,17.474764728370058,61.26082771896054,35.580106605302085
24_4,Upper Shore Regional Council,Maryland,33.69059209503629,7.544977787231953,18.80681027923454,63.588846472558835,39.8283812970638
24_5,Tri-County Council for Southern Maryland,Maryland,29.580750253036435,8.441137398785425,18.963894863360323,68.2493501940147,46.647606263509196
37_1,Southwestern Commission,North Carolina,29.641253797145083,11.674372967015243,16.323019436006344,53.339322977046145,34.064616333382816
37_10,Upper Coastal Plain Council of Governments,North Carolina,34.54491550548473,10.156636031228382,13.092202786836642,56.932606732049365,31.799448874582385
37_11,Mid-Carolina Council of Governments,North Carolina,28.31918092306595,11.618841621753315,15.96855372072709,62.327859911568204,33.86616371919855
37_12,Lumber River Council of Governments,North Carolina,32.4297554843239,11.337625373467356,10.961028783516824,53.217362476459726,29.0277111899511
37_13,Cape Fear Council of Governments,North Carolina,24.57339835018779,11.171103704931715,22.714072566584157,57.643486017727106,39.61096495413094
37_14,Eastern Carolina Council of Governments,North Carolina,29.226720323105077,11.479270097471003,15.036196225094592,61.2142115267789,32.80684237750965
37_15,Albemarle Commission,North Carolina,30.091757696127107,9.743793445878849,17.596027805362464,59.261510193986076,35.67474537304614
37_16,Mid-East Commission,North Carolina,28.0721638195357,12.014345159877355,16.26149802890933,59.151123706584066,37.379535774956324
37_2,Land of Sky Regional Council,North Carolina,24.135662998398306,9.246289608467672,24.062277330832334,58.889700984133576,39.51451879742142
37_3,Isothermal Planning & Development Commission,North Carolina,32.7987606240968,12.450706640213584,13.373502829010214,55.37483302164039,30.36015121009163
37_4,High Country Council of Governments,North Carolina,29.59835193320418,10.323610466861306,15.132745777510983,55.25041018829596,33.098576241712856
