region_key,region_name,state_name,orgs_per_1000,org_count_501c3,total_population,volunteering_rate,social_associations_per_10k,voter_turnout_pct,civic_organizations_per_1k
13_1,Northwest Georgia Regional Commission,Georgia,2.915464576724784,2681,919579.0,0.05791781250910797,7.824802901672184,62.764090246190534,0.01441537827803908
13_10,Southwest Georgia Regional Commission,Georgia,3.363494379423866,1178,350231.0,0.042778769861262986,10.159471246267008,59.65116487849885,0.012557445332841468
13_11,Southern Georgia Regional Commission,Georgia,3.0313082943902767,1261,415992.0,0.041715582436106936,9.338807528760253,54.40026876811585,0.013037685856442915
13_12,Coastal Regional Commission of Georgia,Georgia,3.7293597114653276,2736,733638.0,0.06511317978737333,9.392851970644974,60.713955323174,0.015133695251408869
13_2,Georgia Mountains Regional Commission,Georgia,3.8875989273333773,1902,489248.0,0.04367530462686,9.055289218660455,67.64680692320144,0.018299465966397414
13_3,Atlanta Regional Commission,Georgia,4.402306017787726,21851,4963535.0,0.05161365376374862,7.567579743310854,72.86577307159143,0.01639289161937329
13_4,Three Rivers Regional Commission,Georgia,4.046626231993935,2135,527600.0,0.05818028531778999,9.198607612620622,65.18369834789569,0.014815814100513646
13_5,Northeast Georgia Regional Commission,Georgia,3.2023843495354956,2121,662319.0,0.0563824719790388,8.143779130537038,68.77499443802468,0.014814498761424478
13_6,Middle Georgia Regional Commission,Georgia,3.768903313812648,1923,510228.0,0.04661734670888898,9.15106956735707,63.66717376595635,0.014802529334669991
13_7,Central Savannah River Area Regional Commission,Georgia,4.017952990972386,1965,489055.0,0.04610133971268058,9.091674827108873,63.73870348314576,0.014641294394381
13_8,River Valley Regional Commission,Georgia,4.15397548008166,1522,366396.0,0.05275554629087927,9.559957288525396,55.89249336535546,0.015795515133746274
13_9,Heart of Georgia-Altamaha Regional Commission,Georgia,3.0967321326705237,912,294504.0,0.051248383530974106,10.664374761684273,55.093629066792914,0.013675446834985602
21_1,Barren River Area Development District,Kentucky,2.650097702397221,830,313196.0,0.07528070184408167,8.286738364304927,60.16883791838533,0.014682382789052224
21_10,Kentucky River Area Development District,Kentucky,3.1060884999197516,329,105921.0,0.07091008001696546,4.168736027403979,53.76728060049367,0.012434199639353858
21_11,Lake Cumberland Area Development District,Kentucky,2.627054801135815,544,207076.0,0.054149385237473195,8.240839329769184,61.24758859805979,0.015208548976409627
21_12,Lincoln Trail Area Development District,Kentucky,2.8830942604738796,811,281295.0,0.0597518257557333,8.449102234341359,63.02105916691953,0.014778408912003412
21_13,Northern Kentucky Area Development District,Kentucky,3.337940330850673,1565,468852.0,0.06664169643465528,6.695311009418188,66.9960021857075,0.013040237481412045
21_14,Pennyrile Area Development District,Kentucky,3.156559769482548,677,214474.0,0.07038728512861699,15.119741598851448,56.99304293486334,0.019937872019088563
21_15,Purchase Area Development District,Kentucky,4.057802487978003,670,165114.0,0.08547197279807285,13.892579284745194,62.36947947298824,0.01819535872249476
21_2,Big Sandy Area Development District,Kentucky,2.601180921806925,363,139552.0,0.06576393949092095,6.039643445471681,55.60140567798248,0.011318944104495816
21_3,Bluegrass Area Development District,Kentucky,4.664703423825057,3884,832636.0,0.07238256912653428,10.700516467077142,65.4597769257018,0.016766396277136705
21_4,Buffalo Trace Area Development District,Kentucky,3.579802752868317,200,55869.0,0.0422339575700657,9.672675551090473,62.350410147933374,0.016432900794931
21_5,Cumberland Valley Area Development District,Kentucky,2.2558126369056173,518,229629.0,0.03532298687822967,6.471923042754628,56.06418021462151,0.011282499941322743
21_6,FIVCO Area Development District,Kentucky,2.9098324055606826,391,134372.0,0.06071391985553537,9.660191556244534,59.627588220797335,0.012275216123039024
21_7,Gateway Area Development District,Kentucky,3.4623122631357317,296,85492.0,0.06977488014828288,5.4705801329095936,56.574391648648295,0.013129676153895101
21_8,Green River Area Development District,Kentucky,3.2755788937981447,708,216145.0,0.0541043050988133,13.097925859546606,63.60761688800855,0.01579424861168197
21_9,Kentuckiana Regional Planning and Development Agency,Kentucky,4.288345996401744,4381,1021606.0,0.08716490442538316,9.131194463201755,68.56842637335531,0.01591522793452466
24_1,Tri-County Council for Western Maryland,Maryland,6.230579110076214,1568,251662.0,0.08746679559660181,13.25871571424239,58.23812241661188,0.02137618347368693
24_2,Mid-Shore Regional Council,Maryland,5.901101023758934,611,103540.0,0.051877681172938,10.372588945087404,69.70696992422407,0.02572925709658103
24_3,Tri-County Council for the Lower Eastern Shore,Maryland,3.656639862338264,663,181314.0,0.05733871578053543,10.96656712952538,63.55671486666236,0.021775711707319897
24_4,Upper Shore Regional Council,Maryland,4.450055049256115,772,173481.0,0.08936068537646197,7.904577945050208,66.89282553781884,0.020159069644670024
24_5,Tri-County Council for Southern Maryland,Maryland,4.541651407537698,1699,374093.0,0.06320477257921693,6.350365612388139,71.34649080290403,0.013382928549852577
37_1,Southwestern Commission,North Carolina,4.728758602759751,964,203859.0,0.07653886788104033,13.930121806653833,69.98109303931295,0.025227032615371407
37_10,Upper Coastal Plain Council of Governments,North Carolina,4.64627104746946,1343,289049.0,0.030728572448266555,11.628993436340265,68.54083410652028,0.016079034532356103
37_11,Mid-Carolina Council of Governments,North Carolina,3.949044104587315,2090,529242.0,0.045555250096252754,9.310875825067102,61.23308125914738,0.01359207118860559
37_12,Lumber River Council of Governments,North Carolina,3.627015860082275,1006,277363.0,0.03585396231494828,11.855710195389575,55.629835982495536,0.01201189435771462
37_13,Cape Fear Council of Governments,North Carolina,3.550056842552376,1705,480274.0,0.0792795063534399,9.117239260695898,72.89020854833522,0.01782913459816688
