region_key,region_name,state_name,proprietor_income_pct,income_stability_cv,life_expectancy,poverty_pct,dir_income_share
13_1,Northwest Georgia Regional Commission,Georgia,6.042345544134776,0.2120512200874721,74.17074953996993,10.065937969184573,13.435773138758567
13_10,Southwest Georgia Regional Commission,Georgia,4.658192391381899,0.15238283338513992,71.93954113357222,21.334240747641108,14.904277022870987
13_11,Southern Georgia Regional Commission,Georgia,4.546587720582396,0.1688228673767371,72.03246232604445,22.510734164349138,13.915892676518531
13_12,Coastal Regional Commission of Georgia,Georgia,5.2306438759038,0.19861383504898297,75.08743330478929,15.114885911869843,19.54272044201052
13_2,Georgia Mountains Regional Commission,Georgia,6.655503030084202,0.24788158933118146,75.70884950397834,11.632775749320832,18.24847804384509
13_3,Atlanta Regional Commission,Georgia,7.464041020274401,0.24456866305065444,78.12521804482834,8.56797684062008,19.98331095011696
13_4,Three Rivers Regional Commission,Georgia,4.040909445246102,0.21913196317529635,73.28472191530805,14.359351479272812,14.240318363977705
13_5,Northeast Georgia Regional Commission,Georgia,5.885953150655357,0.2654591870797879,75.44060121218888,15.903138183987927,16.98331354290357
13_6,Middle Georgia Regional Commission,Georgia,3.7949141211675896,0.1610861662068798,72.99747802219625,13.986964642982286,17.79779062084417
13_7,Central Savannah River Area Regional Commission,Georgia,5.635757115693181,0.18599975247071956,73.75129368516198,19.603070845984828,15.779121516971376
13_8,River Valley Regional Commission,Georgia,3.244977858610232,0.15066600756967327,72.78375244225089,16.186198722974616,21.240254885413417
13_9,Heart of Georgia-Altamaha Regional Commission,Georgia,3.6550203646102126,0.14648523586521667,71.1330177082568,22.494690635719213,12.054314926143416
21_1,Barren River Area Development District,Kentucky,7.670008525820063,0.19569313889261652,74.21447339640038,17.686670531245294,13.448619118243627
21_10,Kentucky River Area Development District,Kentucky,3.8194834031840617,0.11333707310931301,66.9314399649003,32.92459098086452,8.12852691178065
21_11,Lake Cumberland Area Development District,Kentucky,8.828700859486,0.19182411904770907,71.96784771046659,21.77140568407553,10.360780693636542
21_12,Lincoln Trail Area Development District,Kentucky,6.394939636778601,0.1863161566347237,73.52471340896572,15.749476057699082,14.346372597756757
21_13,Northern Kentucky Area Development District,Kentucky,5.526032024775144,0.20834671437916852,76.29689425884678,13.369818664622413,18.774493137095043
21_14,Pennyrile Area Development District,Kentucky,7.1350005795027105,0.12257435474049773,72.27835287829731,16.59397656095072,13.81944554916094
21_15,Purchase Area Development District,Kentucky,11.082257274430637,0.16478619937649874,73.30134497598864,17.22891255346943,14.975640739649657
21_2,Big Sandy Area Development District,Kentucky,4.322300136300721,0.08848120584597279,68.72940636378739,25.337037290611164,10.205278747301282
21_3,Bluegrass Area Development District,Kentucky,6.719079320738247,0.19159604188609464,74.92064166517349,14.128748115528047,18.079133254634165
21_4,Buffalo Trace Area Development District,Kentucky,6.586632362354972,0.16722911265991772,71.66817177525752,19.109908658334927,12.029892199109533
21_5,Cumberland Valley Area Development District,Kentucky,4.780434072357784,0.1502132676701274,69.4444719406795,25.484557542508856,9.334203099271368
21_6,FIVCO Area Development District,Kentucky,4.57999822750635,0.12550153250427615,71.73721441381126,22.011129880015947,10.419267876547385
21_7,Gateway Area Development District,Kentucky,4.765684417546389,0.17109691268416863,71.4530422689973,21.894924356191865,11.184627459067027
21_8,Green River Area Development District,Kentucky,7.108904654107767,0.1534677748816551,73.95006486524764,14.870868389857463,14.150971122243828
21_9,Kentuckiana Regional Planning and Development Agency,Kentucky,6.602157369743137,0.1994133298528052,74.09728215933187,8.295290684571912,19.402738603981433
24_1,Tri-County Council for Western Maryland,Maryland,6.040082578331664,0.14789151145989732,74.49567073483901,14.61522674682641,13.404781033748916
24_2,Mid-Shore Regional Council,Maryland,6.111362859370641,0.16508860822009244,75.98087001750442,11.699215924808772,24.282176696122605
24_3,Tri-County Council for the Lower Eastern Shore,Maryland,6.71026348603703,0.14671805504168406,75.8354393028117,11.684113192660375,17.822462574815138
24_4,Upper Shore Regional Council,Maryland,5.510407640215181,0.17073486333073737,75.75590581901629,8.98097936013052,17.66269853002396
24_5,Tri-County Council for Southern Maryland,Maryland,2.766375377887823,0.15592991159541322,77.27457665229313,6.479842059241447,16.23370330145864
37_1,Southwestern Commission,North Carolina,6.8138924873605635,0.20610647400616725,74.64988349827105,16.231170697229537,20.31316312718215
37_10,Upper Coastal Plain Council of Governments,North Carolina,4.525351510399863,0.12914474589121414,72.15515464925892,20.852840691393197,14.56124243451891
37_11,Mid-Carolina Council of Governments,North Carolina,4.2075903227016775,0.15600135324372918,73.27051507339387,17.7294561865523,15.804715558147059
37_12,Lumber River Council of Governments,North Carolina,3.9328084694176035,0.14884368129402203,69.42370034050563,23.12473989317267,11.028249345991718
37_13,Cape Fear Council of Governments,North Carolina,7.209942147354735,0.26669122825846514,76.36787663255859,12.273778483418681,23.594530359089994
37_14,Eastern Carolina Council of Governments,North Carolina,5.227993655073349,0.1407857231425505,73.7179898879311,18.626732688085465,16.475221090764556
37_15,Albemarle Commission,North Carolina,8.634924309360017,0.19746427696794455,75.49190950063941,14.65370994538441,17.411516312289557
37_16,Mid-East Commission,North Carolina,6.272718658332543,0.17167383811076095,74.039907589466,18.53603231677993,15.29311106853518
37_2,Land of Sky Regional Council,North Carolina,8.260468504489184,0.23941629003635964,77.38818417606706,12.361401977375968,25.78052952159296
37_3,Isothermal Planning & Development Commission,North Carolina,5.084891964513078,0.17848450962820403,72.80769839083484,15.535356453260505,15.371806126796317
