region_key,region_name,state_name,population_growth,dependency_ratio,median_age,millennial_genz_change,hispanic_pct,nonwhite_pct
13_1,Northwest Georgia Regional Commission,Georgia,31.856296869847007,0.5396344372989815,39.542524024580814,5.391250298307538,11.66740432306523,19.056872764602062
13_10,Southwest Georgia Regional Commission,Georgia,-0.7506801178871004,0.5871111876450116,38.56446316859444,5.397594634668693,6.490858890275275,49.88136401403645
13_11,Southern Georgia Regional Commission,Georgia,13.993834349523876,0.545990381971027,36.09536962249273,5.653164668562129,7.8340448854785665,36.79061135791073
13_12,Coastal Regional Commission of Georgia,Georgia,31.393928539446588,0.5142479720943672,35.88169546833724,4.596914181227895,7.051570393027625,41.83166629863775
13_2,Georgia Mountains Regional Commission,Georgia,37.06921428271254,0.5853431710881477,41.28407024658251,4.715676663126032,16.222856301916412,19.502379161488655
13_3,Atlanta Regional Commission,Georgia,40.69830199450874,0.46766300081225787,36.67268418576679,5.9455417750069826,12.119165070861795,56.743732037751315
13_4,Three Rivers Regional Commission,Georgia,30.612164062345276,0.5320552654962337,38.24099222896133,5.558076270355711,5.635898407884761,31.968347232752087
13_5,Northeast Georgia Regional Commission,Georgia,51.11088295687885,0.5062152623008979,37.09065057774275,5.41473647748273,8.130372222448699,32.702519480793995
13_6,Middle Georgia Regional Commission,Georgia,15.929028608041879,0.5459486974385078,38.134260369873864,5.311413432388362,4.7784519861708885,47.47916617668964
13_7,Central Savannah River Area Regional Commission,Georgia,16.543225763403345,0.5420208606598729,37.39862776170369,4.947643609407924,5.4897710891413025,50.555663473433455
13_8,River Valley Regional Commission,Georgia,3.7143973233241057,0.5413376634849587,37.35777765041103,5.322366703204142,7.0587560999574235,54.01887575191869
13_9,Heart of Georgia-Altamaha Regional Commission,Georgia,7.918825624601494,0.5685129953131658,39.01848361991688,5.5015685492685575,7.648792546111428,36.61546192920979
21_1,Barren River Area Development District,Kentucky,22.713684004309922,0.5390920616824083,37.584552484706066,5.745227023881175,4.0789154395330725,13.755603519840612
21_10,Kentucky River Area Development District,Kentucky,-12.212405516509747,0.5699675396860687,42.61479026821876,4.937160869288044,1.0045222382719197,4.039803249591676
21_11,Lake Cumberland Area Development District,Kentucky,7.042573868453156,0.5970692580595404,41.405977998416034,5.946183177795266,2.745368850084027,6.298170719928915
21_12,Lincoln Trail Area Development District,Kentucky,15.663111323097672,0.5528462914302118,39.114296379245985,5.643567283875446,3.8660480989708312,13.934481594056061
21_13,Northern Kentucky Area Development District,Kentucky,19.783249066851976,0.5322461518350273,38.247775843976356,5.856175605654109,3.5599720167558204,10.513978824874375
21_14,Pennyrile Area Development District,Kentucky,-0.48487604341148577,0.596632149424175,37.833760269310034,5.42826080763406,4.4383002135456975,17.045889012187956
21_15,Purchase Area Development District,Kentucky,1.0675154557140234,0.588001077171655,40.45820584565815,5.5783733698328755,3.6841212737865963,14.03878532407912
21_2,Big Sandy Area Development District,Kentucky,-13.069045423965314,0.5644141518317565,42.16242619238707,5.178066594175536,0.8118837422609493,4.117461591378124
21_3,Bluegrass Area Development District,Kentucky,21.374979409711038,0.5067907613072283,37.67163718599724,5.834191177600006,4.993058191094308,17.33398507871387
21_4,Buffalo Trace Area Development District,Kentucky,1.1588114939615057,0.6053849027326801,41.65916876980078,5.372998615212564,1.3281068213141454,6.3004528450482375
21_5,Cumberland Valley Area Development District,Kentucky,-3.6265581063499392,0.5708861798629069,39.92427088912986,6.129467498740096,1.2951325834280514,4.390995910795239
21_6,FIVCO Area Development District,Kentucky,-1.0872365641263462,0.6078206140665757,42.487563629327525,5.435172007533572,1.460869824070491,4.985413627839133
21_7,Gateway Area Development District,Kentucky,12.13977465010428,0.5200739660751751,38.008804332569134,5.645020086745777,2.1990361671267484,5.592336125017545
21_8,Green River Area Development District,Kentucky,4.228048433529273,0.5893949644096712,39.947454717897706,5.575529640975011,3.2593860602836062,10.975965208540563
21_9,Kentuckiana Regional Planning and Development Agency,Kentucky,17.519722629315797,0.5338439109787206,39.03336726683281,5.886533759298126,5.863610824525305,27.15038870171084
24_1,Tri-County Council for Western Maryland,Maryland,6.321530720450869,0.5538432091676391,41.93907701599765,5.459082714626244,4.517567213166868,16.874617542576946
24_2,Mid-Shore Regional Council,Maryland,9.847440005092405,0.6692730585067793,45.18074946880432,5.188802280078858,7.216534672590304,27.558431524048675
24_3,Tri-County Council for the Lower Eastern Shore,Maryland,16.276116818654046,0.5664682453972889,40.583207584632184,4.698205240309965,4.941703343371168,33.517544149927744
24_4,Upper Shore Regional Council,Maryland,19.058272882623825,0.5572101790763431,42.878044857938335,4.874297990950407,4.76824551391795,15.967166433211707
24_5,Tri-County Council for Southern Maryland,Maryland,32.97774776055738,0.4918546640771743,38.65117390595387,6.038307549360815,5.896662059969046,41.36164001999503
37_1,Southwestern Commission,North Carolina,19.216486646120735,0.6581181982333707,47.030200776026575,3.952751024926884,5.545990120622587,12.573396318043354
37_10,Upper Coastal Plain Council of Governments,North Carolina,-2.4458649458649457,0.6112702907599001,42.36803656127508,4.574162456939851,7.133738570277012,55.591612494767325
37_11,Mid-Carolina Council of Governments,North Carolina,16.534881723839533,0.5238010232726875,33.47634673740935,5.306064074098217,13.780274430222846,48.63654056178459
37_12,Lumber River Council of Governments,North Carolina,2.037340200496643,0.572691396105737,37.84007347771693,4.985368571004022,9.191204306270123,60.87221439052794
37_13,Cape Fear Council of Governments,North Carolina,45.855363655965576,0.5969741304781538,45.18636091064684,3.8781194844673137,5.990538734139262,22.12757717469611
